VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour mai 2018,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1272539,05-09-18,EXPERTMED SOLUTIONS INC.,,"1 259,85",Médecin
,1275245,05-22-18,HOMEWOOD SANTE INC.,,"1 627,31","Psychologue, Travailleur social"
,1276508,05-28-18,MAUREEN FLYNN ARBITRE & MEDIATRICE S.A.,,"196,85",Conseiller en relation de travail
,1276515,05-28-18,ROBERT BOILEAU INC,,"2 829,41",Accessoire et pièce de remplacement pour équipement industriel
,1272551,05-09-18,P.LAPLANTE & ASSOCIES INC.,,"1 398,96",Conseiller en relation de travail
"BAUDIN, CYRIL",1275672,05-23-18,ENTRAC INC.,,"872,45",Service - Formation en développement organisationnel et technique
,1273562,05-14-18,LES DECORATEURS DE MONTREAL INC.,,"324,79",Accessoire et fourniture de peinture
,1272591,05-09-18,RECYCLAGE NOTRE-DAME INC.,,"2 565,79",Service - Enfouissement
,1252649,05-16-18,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.",,"2 099,75",Huissier de justice
,1270085,05-02-18,SIGNEL SERVICES INC,1269919,"26,25",Service - Transport de colis (Frais de transport)
,1277544,05-31-18,SANIVAC,,"564,03",Location - Toilette chimique
,1277545,05-31-18,,,"564,03",Location - Toilette chimique
,1277549,05-31-18,,,"564,03",Location - Toilette chimique
,1275967,05-24-18,TENAQUIP LIMITED,1239113,"146,88",Mobilier pour propreté
,1274594,05-17-18,U. CAYOUETTE INC.,,"256,06",Bois de construction
,,05-17-18,,,"12,56",Accessoire et pièce de remplacement pour outil
,1274661,05-17-18,,,"297,64",Bois de construction
,,05-17-18,,,"178,27",Poubelle et conteneur
,1273027,05-10-18,VIA PREVENTION,,"629,92",Service - Formation en développement organisationnel et technique
,1275660,05-23-18,,,"724,26",Service - Formation en développement organisationnel et technique
"BEAUCHEMIN, SONIA",1269131,05-11-18,BOO! DESIGN INC.,,"1 842,53",Service - Impression
,1272477,05-08-18,,,"682,42",Service - Impression
,1276209,05-25-18,,,"446,20","Service - Infographie, graphisme"
,1273279,05-11-18,,,"131,23","Service - Infographie, graphisme"
,1273886,05-15-18,,,"89,24","Service - Infographie, graphisme"
,1273893,05-15-18,DISTRIBUTIONS LG INC.,1152445,"456,70",Service - Distribution
,1266530,05-31-18,,,"1 253,55",Service - Distribution
,1270582,05-01-18,L'EMPREINTE IMPRIMERIE INC.,,"493,44","Reliure, porte-document"
,1276624,05-28-18,BUFFETS INSERE-JEUNES,,"1 519,20",Service - Traiteur
,1270695,05-01-18,LES MORDUS DE LA LANGUE INC.,,"356,96","Service - Rédaction, révision"
,1272070,05-07-18,LES TRADUCTIONS TERRY KNOWLES INC.,,"414,70","Service - Rédaction, révision"
,1270734,05-01-18,L.L. LOZEAU LTEE.,,"517,06",Service - Transport de colis (Frais de transport)
,1257650,05-08-18,PUBLICATION 9417,,"1 196,86","Service - Postal, messagerie"
,1270652,05-01-18,TABASKO COMMUNICATIONS INC.,,"1 952,77","Service - Infographie, graphisme"
,1272476,05-08-18,,,"251,97","Service - Infographie, graphisme"
,,05-08-18,,,"335,96",Service - Impression
,1266507,05-25-18,,,"47,24","Service - Infographie, graphisme"
,1268452,05-31-18,,,"133,33",Service - Impression
,1272505,05-09-18,,,"309,70",Service - Accès aux bases de données
,1272066,05-07-18,TRADUCTIONS TOM DONOVAN INC.,,"1 120,71","Service - Rédaction, révision"
,1273911,05-15-18,,,"294,52","Service - Rédaction, révision"
,1276609,05-28-18,,,"137,16","Service - Rédaction, révision"
,1274257,05-16-18,,,"2 507,44","Service - Rédaction, révision"
"BEDARD, LUCIE",1275304,05-22-18,CUISINE-ATOUT ENTREPRISE D'INSERTION INC.,,"239,79",Service - Traiteur
,1276767,05-29-18,AVEC PLAISIRS,,"209,60",Service - Traiteur
,1276220,05-25-18,BINETTE SABRAYNA,,"6 600,00",Inspecteur en bâtiment
,1271877,05-07-18,GROUPE CT INC.,,"225,72",Réparation/Entretien - Accessoire et fourniture de mobilier de bureau
,1276121,05-25-18,,,"858,00",Réparation/Entretien - Accessoire et fourniture de mobilier de bureau
,1275307,05-22-18,IMPRIMERIE MULTI-FORMAT,,"124,94","Service - Infographie, graphisme"
,1273434,05-11-18,"INGETEC, EXPERTS-CONSEILS EN BATIMENT INC.",,"6 824,20",Ingénieur civil - Structure de bâtiment
"BOUTIN, PIERRE",1272236,05-08-18,DISCOUNT LOCATION D'AUTOS ET CAMIONS,1266097,"13 845,75","Location - Automobile, camionnette et fourgonnette"
,1270619,05-01-18,LOCATION LORDBEC INC.,,"19 711,40",1.4 - Entrepreneur en routes et canalisation
,1270631,05-01-18,,,"22 080,97",1.4 - Entrepreneur en routes et canalisation
,1270635,05-01-18,,,"21 889,89",1.4 - Entrepreneur en routes et canalisation
,1267712,05-16-18,PEPINIERE A. MUCCI INC.,,"4 086,64","Terre, terreau, compost et engrais"
,1276420,05-28-18,MANOREX INC.,,"22 821,66",1.4 - Entrepreneur en routes et canalisation
"BROUSSEAU, HELENE",1271755,05-04-18,BUREAU EN GROS,,"73,48",Accessoire et fourniture de mobilier de bureau
,1271730,05-04-18,L.L. LOZEAU LTEE.,,"14,49",Accessoire et fourniture de mobilier de bureau
,,05-04-18,,,"10,49",Service - Transport de colis (Frais de transport)
,,05-04-18,,,"358,85",Appareil électronique
,,05-04-18,,,"24,99",Composante électronique
,1277233,05-30-18,"COMAQ, CORPORATION DES OFFICIERS MUNICIPAUX AGREES DU QUEBEC",,"183,73","Frais - Inscription pour colloque, conférence, séminaire et congrès"
,1273445,05-11-18,LOCATION SAUVAGEAU INC.,1263855,"4 619,45","Location - Automobile, camionnette et fourgonnette"
"CARRIER, RAYMOND",1271411,05-03-18,7322046 CANADA INCORPORATED,,"8 579,58",Réparation/Entretien - Ordinateur et accessoire
,1274752,05-17-18,BRODART CANADA COMPAGNY,,"1 168,14",Table de travail et table de conférence
,,05-17-18,,,"157,48",Service - Transport de colis (Frais de transport)
,1273867,05-15-18,CENTAURECOM INC.,,"503,31",Accessoire vestimentaire
,1275234,05-22-18,CHRISTIAN PAQUIN,,"8 140,00","Service - Recherche, étude de marché"
,1250082,05-24-18,COOPERATIVE DE TAXI MONTREAL,,"314,96","Frais - Transport en commun, taxi, stationnement"
,1275587,05-23-18,CORDONNERIE MICHO,,"3 417,35","Garage en toile, serre et abris temporaires"
,1274010,05-15-18,C.P.U. DESIGN INC.,1164102,"1 076,12","Photocopieur, télécopieur, imprimante et numériseur"
,,05-15-18,,,"21,00",Service - Transport de colis (Frais de transport)
,,05-15-18,,,"208,93","Encre, toner"
,1265503,05-14-18,LE MARCHE DU STORE,,"141,36",Accessoire et fourniture de décoration
,1271410,05-03-18,PRISMA-SCENE INC.,,"497,64",Appareil et système de ventilation
,1274060,05-15-18,REGROUPEMENT DES CENTRES D'ARTISTES AUTOGERES DU QUEBEC INC.,,"656,17",Service - Droit d'auteur
,1277047,05-30-18,LOCATION D'OUTILS SIMPLEX S.E.C.,,"121,26",14.3 - Entrepreneur en autres types d'appareils élévateurs
,,05-30-18,,,"1 373,12","Pile, batterie"
,1276382,05-28-18,PAUL CARGNELLO,,"5 249,37",Service - Artiste musical
,1257717,05-25-18,SOLOTECH INC,,"25,12",Service - Transport de colis (Frais de transport)
,1263085,05-24-18,,,"46,24",Service - Transport de colis (Frais de transport)
,1251802,05-29-18,TOSHIBA SOLUTIONS D'AFFAIRES,,"262,47","Réparation/Entretien - Photocopieur, télécopieur, imprimante"
,1277147,05-30-18,ACCES COMMUNICATIONS,,"1 091,87",Location - Appareil de communication
,1266112,05-22-18,LOCATION SAUVAGEAU INC.,,"5 100,29","Location - Automobile, camionnette et fourgonnette"
,1274302,05-16-18,TRANSPORT & ACCORD,,"1 469,82",Service - Artiste musical
"CHAMBEROT, ROBERT",1271174,05-02-18,R.M. LEDUC & CIE INC.,,"689,76",Matériel artistique
,1275804,05-24-18,C.P.U. DESIGN INC.,,"404,46","Photocopieur, télécopieur, imprimante et numériseur"
"DESJARDINS, STEVE",1273245,05-11-18,LES TRADUCTIONS TERRY KNOWLES INC.,,"78,74","Service - Rédaction, révision"
