champ,description_question,variable_reponse,description_reponse
record,,,Identifiant unique du répondant
SEXE,Quel est votre sexe à la naissance ?,1,Masculin
SEXE,Quel est votre sexe à la naissance ?,2,Féminin
AGE,Quel âge avez-vous?,1,18 à 19 ans
AGE,Quel âge avez-vous?,2,20 à 24 ans
AGE,Quel âge avez-vous?,3,25 à 29 ans
AGE,Quel âge avez-vous?,4,30 à 34 ans
AGE,Quel âge avez-vous?,5,35 à 39 ans
AGE,Quel âge avez-vous?,6,40 à 44 ans
AGE,Quel âge avez-vous?,7,45 à 49 ans
AGE,Quel âge avez-vous?,8,50 à 54 ans
AGE,Quel âge avez-vous?,9,55 à 59 ans
AGE,Quel âge avez-vous?,10,60 à 64 ans
AGE,Quel âge avez-vous?,11,65 à 69 ans
AGE,Quel âge avez-vous?,12,70 à 74 ans
AGE,Quel âge avez-vous?,13,75 ans ou plus
LANGU,Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,1,Français
LANGU,Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,2,Anglais
LANGU,Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,4,Français et anglais
LANGU,Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,5,Français et autres
LANGU,Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,6,Anglais et autres
LANGU,Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,7,Autre que le français ou l'anglais
LANGU,Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,9,Je préfère ne pas répondre
Q0QC,Dans quelle région du Québec demeurez-vous?,1,Bas-Saint-Laurent
Q0QC,Dans quelle région du Québec demeurez-vous?,2,Saguenay-Lac-Saint-Jean
Q0QC,Dans quelle région du Québec demeurez-vous?,3,Capitale-Nationale
Q0QC,Dans quelle région du Québec demeurez-vous?,4,Mauricie
Q0QC,Dans quelle région du Québec demeurez-vous?,5,Estrie
Q0QC,Dans quelle région du Québec demeurez-vous?,6,L’île de Montréal
Q0QC,Dans quelle région du Québec demeurez-vous?,7,Outaouais
Q0QC,Dans quelle région du Québec demeurez-vous?,8,Abitibi-Témiscamingue
Q0QC,Dans quelle région du Québec demeurez-vous?,9,Côte-Nord
Q0QC,Dans quelle région du Québec demeurez-vous?,10,Nord-du-Québec
Q0QC,Dans quelle région du Québec demeurez-vous?,11,Gaspésie/Îles-de-la-Madeleine
Q0QC,Dans quelle région du Québec demeurez-vous?,12,Chaudière-Appalaches
Q0QC,Dans quelle région du Québec demeurez-vous?,13,Laval
Q0QC,Dans quelle région du Québec demeurez-vous?,14,Lanaudière
Q0QC,Dans quelle région du Québec demeurez-vous?,15,Laurentides
Q0QC,Dans quelle région du Québec demeurez-vous?,16,Montérégie
Q0QC,Dans quelle région du Québec demeurez-vous?,17,Centre-du-Québec
Q0QCP,Quel est votre arrondissement ou ville de résidence?,1,Ahuntsic-Cartierville
Q0QCP,Quel est votre arrondissement ou ville de résidence?,2,Anjou
Q0QCP,Quel est votre arrondissement ou ville de résidence?,3,Baie d'Urfé
Q0QCP,Quel est votre arrondissement ou ville de résidence?,4,Beaconsfield
Q0QCP,Quel est votre arrondissement ou ville de résidence?,5,Côte-des-Neiges-Notre-Dame-de-Grâce
Q0QCP,Quel est votre arrondissement ou ville de résidence?,6,Côte-Saint-Luc
Q0QCP,Quel est votre arrondissement ou ville de résidence?,7,Dollard-des-Ormeaux
Q0QCP,Quel est votre arrondissement ou ville de résidence?,8,Dorval
Q0QCP,Quel est votre arrondissement ou ville de résidence?,9,Hampstead
Q0QCP,Quel est votre arrondissement ou ville de résidence?,10,Kirkland
Q0QCP,Quel est votre arrondissement ou ville de résidence?,11,L'Île-Bizard-Sainte-Geneviève
Q0QCP,Quel est votre arrondissement ou ville de résidence?,12,Lachine
Q0QCP,Quel est votre arrondissement ou ville de résidence?,13,LaSalle
Q0QCP,Quel est votre arrondissement ou ville de résidence?,14,Le Plateau-Mont-Royal
Q0QCP,Quel est votre arrondissement ou ville de résidence?,15,Le Sud-Ouest
Q0QCP,Quel est votre arrondissement ou ville de résidence?,16,Mercier-Hochelaga-Maisonneuve
Q0QCP,Quel est votre arrondissement ou ville de résidence?,17,Montréal-Est
Q0QCP,Quel est votre arrondissement ou ville de résidence?,18,Montréal-Nord
Q0QCP,Quel est votre arrondissement ou ville de résidence?,19,Montréal-Ouest
Q0QCP,Quel est votre arrondissement ou ville de résidence?,20,Outremont
Q0QCP,Quel est votre arrondissement ou ville de résidence?,21,Pierrefonds-Roxboro
Q0QCP,Quel est votre arrondissement ou ville de résidence?,22,Pointe-Claire
Q0QCP,Quel est votre arrondissement ou ville de résidence?,23,Rivière-des-Praires-Pointe-aux-Trembles
Q0QCP,Quel est votre arrondissement ou ville de résidence?,24,Rosemont-La Petite-Patrie
Q0QCP,Quel est votre arrondissement ou ville de résidence?,25,Sainte-Anne-de-Bellevue
Q0QCP,Quel est votre arrondissement ou ville de résidence?,26,Saint-Laurent
Q0QCP,Quel est votre arrondissement ou ville de résidence?,27,Saint-Léonard
Q0QCP,Quel est votre arrondissement ou ville de résidence?,28,Senneville
Q0QCP,Quel est votre arrondissement ou ville de résidence?,29,Verdun
Q0QCP,Quel est votre arrondissement ou ville de résidence?,30,Ville-Marie
Q0QCP,Quel est votre arrondissement ou ville de résidence?,31,Ville Mont-Royal
Q0QCP,Quel est votre arrondissement ou ville de résidence?,32,Villeray-Saint-Michel-Parc-Extension
Q0QCP,Quel est votre arrondissement ou ville de résidence?,33,Westmount
Q0QCP,Quel est votre arrondissement ou ville de résidence?,96,Autre
Q1Ar1,Quel est votre statut actuel? - Étudiant à temps plein,0,Non
Q1Ar1,Quel est votre statut actuel? - Étudiant à temps plein,1,Oui
Q1Ar2,Quel est votre statut actuel? - Étudiant à temps partiel,0,Non
Q1Ar2,Quel est votre statut actuel? - Étudiant à temps partiel,1,Oui
Q1Ar3,Quel est votre statut actuel? - Employé à temps plein,0,Non
Q1Ar3,Quel est votre statut actuel? - Employé à temps plein,1,Oui
Q1Ar4,Quel est votre statut actuel? - Employé à temps partiel,0,Non
Q1Ar4,Quel est votre statut actuel? - Employé à temps partiel,1,Oui
Q1Ar5,Quel est votre statut actuel? - Unique propriétaire d’une entreprise (incluant les travailleurs autonomes),0,Non
Q1Ar5,Quel est votre statut actuel? - Unique propriétaire d’une entreprise (incluant les travailleurs autonomes),1,Oui
Q1Ar6,Quel est votre statut actuel? - Propriétaire associé dans une entreprise immatriculée ou incorporée (incluant les coopératives),0,Non
Q1Ar6,Quel est votre statut actuel? - Propriétaire associé dans une entreprise immatriculée ou incorporée (incluant les coopératives),1,Oui
Q1Ar7,Quel est votre statut actuel? - Employé saisonnier ou temporaire,0,Non
Q1Ar7,Quel est votre statut actuel? - Employé saisonnier ou temporaire,1,Oui
Q1Ar8,Quel est votre statut actuel? - Sans emploi,0,Non
Q1Ar8,Quel est votre statut actuel? - Sans emploi,1,Oui
Q1Ar9,Quel est votre statut actuel? - Retraité,0,Non
Q1Ar9,Quel est votre statut actuel? - Retraité,1,Oui
Q1Ar96,Quel est votre statut actuel? - Autre,0,Non
Q1Ar96,Quel est votre statut actuel? - Autre,1,Oui
Q1C,"Au cours des 12 derniers mois, seul(e) ou avec d'autres personnes, avez-vous réalisé des démarches pour créer une nouvelle entreprise ou reprendre une entreprise existante (ex.: rechercher de l'équipement ou un emplacement, organiser une équipe de travail, élaborer un plan d'entreprise, commencer à épargner de l'argent ou d'autres activités qui aideraient à lancer une entreprise)?",1,"Oui, je suis toujours en démarche"
Q1C,"Au cours des 12 derniers mois, seul(e) ou avec d'autres personnes, avez-vous réalisé des démarches pour créer une nouvelle entreprise ou reprendre une entreprise existante (ex.: rechercher de l'équipement ou un emplacement, organiser une équipe de travail, élaborer un plan d'entreprise, commencer à épargner de l'argent ou d'autres activités qui aideraient à lancer une entreprise)?",2,"Oui, mais j’ai abandonné le projet"
Q1C,"Au cours des 12 derniers mois, seul(e) ou avec d'autres personnes, avez-vous réalisé des démarches pour créer une nouvelle entreprise ou reprendre une entreprise existante (ex.: rechercher de l'équipement ou un emplacement, organiser une équipe de travail, élaborer un plan d'entreprise, commencer à épargner de l'argent ou d'autres activités qui aideraient à lancer une entreprise)?",3,Non
Q1C,"Au cours des 12 derniers mois, seul(e) ou avec d'autres personnes, avez-vous réalisé des démarches pour créer une nouvelle entreprise ou reprendre une entreprise existante (ex.: rechercher de l'équipement ou un emplacement, organiser une équipe de travail, élaborer un plan d'entreprise, commencer à épargner de l'argent ou d'autres activités qui aideraient à lancer une entreprise)?",98,Je ne sais pas
Q1B,"Au cours des 12 prochains mois, avez-vous l’intention, seul(e) ou avec d'autres personnes, de créer une nouvelle entreprise ou de reprendre une entreprise existante?",1,Oui
Q1B,"Au cours des 12 prochains mois, avez-vous l’intention, seul(e) ou avec d'autres personnes, de créer une nouvelle entreprise ou de reprendre une entreprise existante?",2,Non
Q1B,"Au cours des 12 prochains mois, avez-vous l’intention, seul(e) ou avec d'autres personnes, de créer une nouvelle entreprise ou de reprendre une entreprise existante?",98,Je ne sais pas
Q2,Quel est le diplôme d’études (équivalence québécoise) le plus élevé que vous avez obtenu?,1,Primaire (7 ans ou moins)
