NUMEROTATION,TYPE_DE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,Soins physiques et psychiatriques de courte durée,Certaines maladies infectieuses et parasitaires (A00-B99),9806,9011,18817,66118,66092,132210,6.7,7.3,7,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
2,Soins physiques et psychiatriques de courte durée,Tumeurs (C00-D48),30294,26925,57219,261565,269995,531560,8.6,10,9.3,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
3,Soins physiques et psychiatriques de courte durée,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89),3550,3060,6610,24942,21117,46059,7,6.9,7,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
4,Soins physiques et psychiatriques de courte durée,Maladies endocriniennes  nutritionnelles et métaboliques (E00-E90),9196,6764,15960,53071,50307,103378,5.8,7.4,6.5,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
5,Soins physiques et psychiatriques de courte durée,Troubles mentaux et du comportement (F00-F99),25781,28689,54472,545366,686222,1231638,21.2,23.9,22.6,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
6,Soins physiques et psychiatriques de courte durée,Maladies du système nerveux (G00-G99),8709,8409,17118,126590,122839,249429,14.5,14.6,14.6,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
7,Soins physiques et psychiatriques de courte durée,Maladies de l'oeil et de ses annexes (H00-H59),627,638,1265,2645,2134,4779,4.2,3.3,3.8,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
8,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille et de l'apophyse mastoïde (H60-H95),1781,1551,3332,6325,4994,11319,3.6,3.2,3.4,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
9,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil circulatoire (I00-I99),44153,60693,104846,399905,462094,861999,9.1,7.6,8.2,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
10,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil respiratoire (J00-J99),40229,40086,80315,298747,269118,567865,7.4,6.7,7.1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
11,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil digestif (K00-K93),34730,34229,68959,204070,191606,395676,5.9,5.6,5.7,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
12,Soins physiques et psychiatriques de courte durée,Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99),4259,4903,9162,35552,37931,73483,8.3,7.7,8,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
13,Soins physiques et psychiatriques de courte durée,Maladies du système ostéo-articulaire  des muscles et du tissu conjonctif (M00-M99),24334,20574,44908,205383,157555,362938,8.4,7.7,8.1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
14,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil génito-urinaire (N00-N99),20168,16691,36859,98696,90264,188960,4.9,5.4,5.1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
15,Soins physiques et psychiatriques de courte durée,Grossesse  accouchement et puerpéralité (O00-O99),89668,0,89668,214816,0,214816,2.4,0,2.4,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
16,Soins physiques et psychiatriques de courte durée,Certaines affections dont l'origine se situe dans la période périnatale (P00-P96),12065,14412,26477,58494,68999,127493,4.8,4.8,4.8,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
