NUMEROTATION,TYPE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,Soins physiques et psychiatriques de courte durée,Certaines maladies infectieuses et parasitaires (A00-B99),9161,8329,17490,71244,65165,136409,7.8,7.8,7.8,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
2,Soins physiques et psychiatriques de courte durée,Tumeurs (C00-D48),31448,27639,59087,308254,308831,617085,9.8,11.2,10.4,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
3,Soins physiques et psychiatriques de courte durée,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89),3509,2678,6187,25834,19986,45820,7.4,7.5,7.4,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
4,Soins physiques et psychiatriques de courte durée,Maladies endocriniennes  nutritionnelles et métaboliques (E00-E90),7259,5576,12835,50252,45525,95777,6.9,8.2,7.5,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
5,Soins physiques et psychiatriques de courte durée,Troubles mentaux et du comportement (F00-F99),22287,22875,45162,566447,697519,1263966,25.4,30.5,28.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
6,Soins physiques et psychiatriques de courte durée,Maladies du système nerveux (G00-G99),8419,7707,16126,157979,143655,301634,18.8,18.6,18.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
7,Soins physiques et psychiatriques de courte durée,Maladies de l'oeil et de ses annexes (H00-H59),787,768,1555,3198,2766,5964,4.1,3.6,3.8,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
8,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille et de l'apophyse mastoïde (H60-H95),1837,1495,3332,5998,4395,10393,3.3,2.9,3.1,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
9,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil circulatoire (I00-I99),40372,56425,96797,400166,457344,857510,9.9,8.1,8.9,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
10,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil respiratoire (J00-J99),32772,34344,67116,263876,244875,508751,8.1,7.1,7.6,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
