NUMEROTATION,TYPE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,Soins physiques et psychiatriques de courte durée,Certaines maladies infectieuses et parasitaires (A00-B99),9244,8409,17653,65184,58716,123900,7.1,7.0,7.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
2,Soins physiques et psychiatriques de courte durée,Tumeurs (C00-D48),30149,27367,57516,273907,285067,558974,9.1,10.4,9.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
3,Soins physiques et psychiatriques de courte durée,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89),3330,2818,6148,23423,19713,43136,7.0,7.0,7.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
4,Soins physiques et psychiatriques de courte durée,Maladies endocriniennes nutritionnelles et métaboliques (E00-E90),8268,5963,14231,50853,47052,97905,6.2,7.9,6.9,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
5,Soins physiques et psychiatriques de courte durée,Troubles mentaux et du comportement (F00-F99),23900,25001,48901,598375,721705,1320080,25.0,28.9,27.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
6,Soins physiques et psychiatriques de courte durée,Maladies du système nerveux (G00-G99),8556,7926,16482,146782,134692,281474,17.2,17.0,17.1,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
7,Soins physiques et psychiatriques de courte durée,Maladies de l'oeil et de ses annexes (H00-H59),702,745,1447,2832,2857,5689,4.0,3.8,3.9,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
8,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille et de l'apophyse mastoïde (H60-H95),1762,1455,3217,5966,4223,10189,3.4,2.9,3.2,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
9,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil circulatoire (I00-I99),42243,59252,101495,403090,462079,865169,9.5,7.8,8.5,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
10,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil respiratoire (J00-J99),37650,37431,75081,284193,253837,538030,7.5,6.8,7.2,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
11,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil digestif (K00-K93),33332,32655,65987,203397,187877,391274,6.1,5.8,5.9,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
12,Soins physiques et psychiatriques de courte durée,Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99),4098,4332,8430,35537,34988,70525,8.7,8.1,8.4,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
