NUMEROTATION,TYPE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,Soins physiques et psychiatriques de courte durée,Certaines maladies infectieuses et parasitaires (A00-B99),9376,8372,17748,68545,63825,132370,7.3,7.6,7.5,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
2,Soins physiques et psychiatriques de courte durée,Tumeurs (C00-D48),31306,28012,59318,287361,290192,577553,9.2,10.4,9.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
3,Soins physiques et psychiatriques de courte durée,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89),3487,2863,6350,24532,19231,43763,7.0,6.7,6.9,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
4,Soins physiques et psychiatriques de courte durée,Maladies endocriniennes  nutritionnelles et métaboliques (E00-E90),7891,5692,13583,50845,44105,94950,6.4,7.7,7.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
5,Soins physiques et psychiatriques de courte durée,Troubles mentaux et du comportement (F00-F99),23340,24289,47629,561508,703734,1265242,24.1,29.0,26.6,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
6,Soins physiques et psychiatriques de courte durée,Maladies du système nerveux (G00-G99),8411,7487,15898,145579,129216,274795,17.3,17.3,17.3,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
7,Soins physiques et psychiatriques de courte durée,Maladies de l'oeil et de ses annexes (H00-H59),723,698,1421,3119,3208,6327,4.3,4.6,4.5,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
8,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille et de l'apophyse mastoïde (H60-H95),1743,1523,3266,6085,4608,10693,3.5,3.0,3.3,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
9,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil circulatoire (I00-I99),41297,57730,99027,398082,459513,857595,9.6,8.0,8.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
10,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil respiratoire (J00-J99),34944,36392,71336,266532,246060,512592,7.6,6.8,7.2,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
11,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil digestif (K00-K93),33365,32585,65950,209772,188913,398685,6.3,5.8,6.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
12,Soins physiques et psychiatriques de courte durée,Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99),3764,4417,8181,34111,37126,71237,9.1,8.4,8.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
13,Soins physiques et psychiatriques de courte durée,Maladies du système ostéo-articulaire  des muscles et du tissu conjonctif (M00-M99),22740,18736,41476,204446,148841,353287,9.0,7.9,8.5,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
14,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil génito-urinaire (N00-N99),20064,15476,35540,97645,85290,182935,4.9,5.5,5.1,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
15,Soins physiques et psychiatriques de courte durée,Grossesse  accouchement et puerpéralité (O00-O99),92967,0,92967,231629,0,231629,2.5,0.0,2.5,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
16,Soins physiques et psychiatriques de courte durée,Certaines affections dont l'origine se situe dans la période périnatale (P00- P96),11489,13624,25114,58645,67826,126472,5.1,5.0,5.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
17,Soins physiques et psychiatriques de courte durée,Malformations congénitales  déformations et anomalies chromosomiques (Q00-Q99),2201,2680,4881,13375,17194,30569,6.1,6.4,6.3,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
18,Soins physiques et psychiatriques de courte durée,Symptômes  signes et résultats anormaux d'examens cliniques et de laboratoire  non classés ailleurs (R00-R99),19449,17061,36510,213916,156349,370265,11.0,9.2,10.1,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
19,Soins physiques et psychiatriques de courte durée,Lésions traumatiques  empoisonnements et certaines autres conséquences de causes externes (S00-T98),30383,27477,57860,383724,252440,636164,12.6,9.2,11.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
20,Soins physiques et psychiatriques de courte durée,Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99),48249,46069,94318,226975,201529,428504,4.7,4.4,4.5,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
21,Soins physiques et psychiatriques de courte durée,Codes provisoires pour la recherche et les affectations temporaires (U00- U99),1,1,2,3,15,18,3.0,15.0,9.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
22,Soins physiques et psychiatriques de courte durée,TOTAL : Soins physiques et psychiatriques de courte durée,447190,351184,798375,3486429,3119215,6605645,7.8,8.9,8.3,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
23,Soins en chirurgie d'un jour,Certaines maladies infectieuses et parasitaires (A00-B99),324,364,688,324,364,688,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
24,Soins en chirurgie d'un jour,Tumeurs (C00-D48),21217,13490,34707,21217,13490,34707,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
25,Soins en chirurgie d'un jour,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89),60,49,109,60,49,109,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
26,Soins en chirurgie d'un jour,Maladies endocriniennes  nutritionnelles et métaboliques (E00-E90),529,305,834,529,305,834,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
27,Soins en chirurgie d'un jour,Troubles mentaux et du comportement (F00-F99),456,228,684,456,228,684,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
28,Soins en chirurgie d'un jour,Maladies du système nerveux (G00-G99),5047,3868,8915,5047,3868,8915,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
29,Soins en chirurgie d'un jour,Maladies de l'oeil et de ses annexes (H00-H59),64239,49418,113657,64239,49418,113657,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
30,Soins en chirurgie d'un jour,Maladies de l'oreille et de l'apophyse mastoïde (H60-H95),5170,7241,12411,5170,7241,12411,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
31,Soins en chirurgie d'un jour,Maladies de l'appareil circulatoire (I00-I99),1266,1296,2562,1266,1296,2562,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
32,Soins en chirurgie d'un jour,Maladies de l'appareil respiratoire (J00-J99),6535,7350,13885,6535,7350,13885,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
33,Soins en chirurgie d'un jour,Maladies de l'appareil digestif (K00-K93),17201,27684,44885,17201,27684,44885,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
34,Soins en chirurgie d'un jour,Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99),3063,3518,6581,3063,3518,6581,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
35,Soins en chirurgie d'un jour,Maladies du système ostéo-articulaire  des muscles et du tissu conjonctif (M00-M99),15794,16463,32257,15794,16463,32257,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
36,Soins en chirurgie d'un jour,Maladies de l'appareil génito-urinaire (N00-N99),22027,11377,33404,22027,11377,33404,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
