NUMEROTATION,TYPE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,Soins physiques et psychiatriques de courte durée,Certaines maladies infectieuses et parasitaires (A00-B99),9051,8146,17197,68178,59271,127449,7.5,7.3,7.4,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
2,Soins physiques et psychiatriques de courte durée,Tumeurs (C00-D48),31552,27925,59477,317685,316832,634517,10.1,11.3,10.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
3,Soins physiques et psychiatriques de courte durée,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89),3337,2721,6058,26038,20667,46705,7.8,7.6,7.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
4,Soins physiques et psychiatriques de courte durée,Maladies endocriniennes  nutritionnelles et métaboliques (E00-E90),6854,5130,11984,51621,44840,96461,7.5,8.7,8.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
5,Soins physiques et psychiatriques de courte durée,Troubles mentaux et du comportement (F00-F99),20821,21791,42612,552141,649463,1201604,26.5,29.8,28.2,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
6,Soins physiques et psychiatriques de courte durée,Maladies du système nerveux (G00-G99),8172,7595,15767,150820,133658,284478,18.5,17.6,18.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
7,Soins physiques et psychiatriques de courte durée,Maladies de l'oeil et de ses annexes (H00-H59),793,735,1528,2957,2941,5898,3.7,4.0,3.9,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
8,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille et de l'apophyse mastoïde (H60-H95),1739,1432,3171,6105,3869,9974,3.5,2.7,3.1,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
9,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil circulatoire (I00-I99),39500,54312,93812,408960,450956,859916,10.4,8.3,9.2,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
10,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil respiratoire (J00-J99),33502,34853,68355,276524,254134,530658,8.3,7.3,7.8,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
