NUMEROTATION,TYPE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,Soins physiques et psychiatriques de courte durée,Certaines maladies infectieuses et parasitaires (A00-B99),9178,8373,17551,70314,65528,135842,7.7,7.8,7.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
2,Soins physiques et psychiatriques de courte durée,Tumeurs (C00-D48),31305,28083,59388,298203,307702,605905,9.5,11.0,10.2,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
3,Soins physiques et psychiatriques de courte durée,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89),3532,2868,6400,25329,20774,46103,7.2,7.2,7.2,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
4,Soins physiques et psychiatriques de courte durée,Maladies endocriniennes  nutritionnelles et métaboliques (E00-E90),7624,5656,13280,50579,46033,96612,6.6,8.1,7.3,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
5,Soins physiques et psychiatriques de courte durée,Troubles mentaux et du comportement (F00-F99),22610,23117,45727,551425,677602,1229027,24.4,29.3,26.9,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
6,Soins physiques et psychiatriques de courte durée,Maladies du système nerveux (G00-G99),8525,8062,16587,145688,135229,280917,17.1,16.8,16.9,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
7,Soins physiques et psychiatriques de courte durée,Maladies de l'oeil et de ses annexes (H00-H59),759,702,1461,2987,2874,5861,3.9,4.1,4.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
8,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille et de l'apophyse mastoïde (H60-H95),1812,1425,3237,5749,3731,9480,3.2,2.6,2.9,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
9,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil circulatoire (I00-I99),40753,57014,97767,396789,456483,853272,9.7,8.0,8.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
10,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil respiratoire (J00-J99),37034,37626,74660,293778,261837,555615,7.9,7.0,7.4,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
11,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil digestif (K00-K93),32676,31766,64442,199789,187575,387364,6.1,5.9,6.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
12,Soins physiques et psychiatriques de courte durée,Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99),3736,4259,7995,33458,35844,69302,9.0,8.4,8.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
13,Soins physiques et psychiatriques de courte durée,Maladies du système ostéo-articulaire  des muscles et du tissu conjonctif (M00-M99),21877,17884,39761,199149,141999,341148,9.1,7.9,8.6,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
14,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil génito-urinaire (N00-N99),20219,15270,35489,98111,83918,182029,4.9,5.5,5.1,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
