ï»¿"Pays de rÃ©sidence"|"2019_T3"|"2019_T4"|"2020_T1"|"2020_T2"|"2020_T3"|"2020_T4"|"2021_T1"|"2021_T2"|"2021_T3"|"2021_T4"|"2022_T1"|"2022_T2"|"2022_T3"|"2022_T4"|"2023_T1"|"2023_T2"|"2023_T3"|"2023_T4"|"2024_T1"|"2024_T2"
Cameroun|5|*|*|*|6|10|28|24|508|70|626|*|1126|1089|1450|1560|2671|1270|2557|4957
Canada|1450|403|23|5|314|193|227|192|376|128|384|50|697|641|1116|1146|1845|1360|1384|1901
AlgÃ©rie|*|*|*|*|*|*|*|*|337|48|274|*|452|344|302|195|344|186|317|504
Tunisie|*|*|*|*|*|*|*|*|211|28|145|*|290|187|239|240|329|162|275|317
Maroc|*|9|*|*|*|*|*|*|243|27|170|*|228|170|191|155|183|89|141|210
CÃ´te d'Ivoire|*|*|*|*|10|11|20|7|165|5|106|*|167|167|176|145|196|72|150|330
Togo|*|*|*|*|*|*|*|*|56|*|57|12|152|57|121|91|178|63|196|359
France|57|22|*|*|*|*|*|*|112|12|42|*|104|64|63|141|186|105|114|241
Liban|*|*|*|*|*|*|*|*|144|24|113|*|141|55|47|30|38|9|18|27
BÃ©nin|*|*|*|*|*|*|*|*|39|*|18|*|49|34|31|40|58|30|69|133
SÃ©nÃ©gal|*|*|*|*|*|*|*|*|47|*|12|*|45|38|26|31|51|33|40|53
HaÃ¯ti|*|*|*|*|*|*|*|*|56|*|25|*|23|33|31|26|51|19|26|52
Maurice|*|*|*|*|*|*|*|*|21|*|17|*|45|30|25|36|30|23|32|37
Congo (RÃ©p. dÃ©m. du)|*|*|*|*|6|*|*|*|36|*|10|*|28|18|18|22|32|17|29|47
Burundi|*|*|*|*|*|*|*|*|13|*|8|*|10|10|17|15|35|16|36|66
Chine|11|*|*|*|*|*|*|*|7|*|7|*|7|7|29|33|43|35|22|12
Rwanda|*|*|*|*|*|*|*|*|11|5|18|*|28|22|9|11|17|12|26|31
Burkina Faso|*|*|*|*|*|*|10|*|21|*|8|*|13|8|*|*|11|13|*|34
GuinÃ©e|*|*|*|*|*|*|*|*|17|*|*|*|16|5|8|6|15|6|9|37
Inde|12|8|*|*|*|*|*|*|15|*|15|*|10|5|13|10|7|*|*|7
Nigeria|*|*|*|*|*|*|*|*|21|*|15|*|25|10|16|*|6|*|*|5
Belgique|8|6|*|*|5|*|*|*|8|*|5|*|7|*|6|7|17|6|10|17
Iran|*|*|*|*|*|*|*|*|17|*|7|*|21|10|13|10|6|*|7|5
Congo|*|*|*|*|*|*|*|*|12|*|5|*|8|5|8|5|11|12|10|13
BrÃ©sil|*|*|*|*|*|*|*|*|17|*|9|*|16|6|5|7|8|*|7|9
Madagascar|*|*|*|*|*|*|*|*|5|*|*|*|7|*|*|10|10|5|10|16
Colombie|*|*|*|*|*|*|*|*|24|*|5|*|12|*|*|*|6|*|*|*
Gabon|*|*|*|*|*|*|*|*|5|*|*|*|5|6|11|5|8|*|6|8
Mali|*|*|*|*|*|*|*|*|6|*|5|*|*|7|5|*|*|*|*|12
Ãgypte|*|*|*|*|*|*|*|*|6|*|5|*|5|*|5|*|*|*|*|6
Mexique|*|*|*|*|*|*|*|*|11|*|6|*|6|7|*|*|*|*|*|*
Djibouti|*|*|*|*|*|5|*|*|5|*|*|*|*|*|*|*|*|5|*|*
Arabie saoudite|*|*|*|*|*|*|*|*|*|*|*|*|7|*|*|*|*|*|*|5
Russie|*|*|*|*|*|*|*|*|5|*|*|*|5|*|5|*|*|*|*|*
Ãtats-Unis|*|*|*|*|*|*|*|*|*|*|*|*|5|*|*|*|5|*|*|*
Suisse|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|7|*|*|*
Niger|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Mauritanie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|6|*|6|6
Tchad|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|6|*|*|*|5
RÃ©publique centrafricaine|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|7
Ãquateur|*|*|*|*|*|*|*|*|9|*|*|*|*|*|*|*|*|*|*|*
ViÃªt Nam|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
PÃ©rou|*|*|*|*|*|*|*|*|6|*|*|*|*|*|*|*|*|*|*|*
Venezuela|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Italie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Syrie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Espagne|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Libye|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Ghana|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Argentine|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Allemagne|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Roumanie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Ãmirats arabes unis|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Philippines|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Martinique|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Guadeloupe|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|5|*|*|*
Comores|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Royaume-Uni|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Turquie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Qatar|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Ukraine|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
CorÃ©e du Sud|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Cuba|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Chili|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Taiwan|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Moldavie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
RÃ©publique dominicaine|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
KoweÃ¯t|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Iraq|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Pakistan|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
IndonÃ©sie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
RÃ©union|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Oman|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Albanie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Guyane franÃ§aise|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Pologne|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Japon|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
YÃ©men|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Ouganda|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Soudan|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
BiÃ©lorussie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Afrique du Sud|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
IsraÃ«l|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Angola|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
ArmÃ©nie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Bangladesh|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Afghanistan|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Zimbabwe|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Nouvelle-CalÃ©donie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
GuinÃ©e Ã©quatoriale|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Hongrie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Birmanie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Salvador|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Portugal|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Hong Kong|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Sri Lanka|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
ThaÃ¯lande|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Malaisie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Kazakhstan|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Honduras|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
SuÃ¨de|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
CorÃ©e du Nord|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Union soviÃ©tique|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Kenya|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Bulgarie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
AzerbaÃ¯djan|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Ãthiopie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Palestine|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Cambodge|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Lettonie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
JamaÃ¯que|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Lituanie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Australie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Slovaquie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
RÃ©publique tchÃ¨que|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Nouvelle-ZÃ©lande|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Jordanie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Tonga|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Kirghizistan|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Tadjikistan|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
BahreÃ¯n|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Saint-Marin|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Singapour|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Allemagne fÃ©dÃ©rale|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Monaco|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Cap-Vert|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Liberia|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Bolivie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Macao|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Kosovo|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Tanzanie|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Saint-Martin|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*|*
Tout|1595|467|23|7|365|233|303|242|2655|383|2168|65|3822|3082|4049|4049|6474|3622|5551|9528
