clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - ensemble de la clientèle,Région,01 - Bas-Saint-Laurent,8091,9690,11996,15558
Individu - ensemble de la clientèle,Région,02 - Saguenay - Lac-St-Jean,10642,12949,18219,23963
Individu - ensemble de la clientèle,Région,03 - Capitale-Nationale,22486,26483,36864,45353
Individu - ensemble de la clientèle,Région,04 - Mauricie,10727,12848,16739,21860
Individu - ensemble de la clientèle,Région,05 - Estrie,10606,13731,18143,24887
Individu - ensemble de la clientèle,Région,06 - Île-de-Montréal,67978,84809,97184,130411
Individu - ensemble de la clientèle,Région,07 - Outaouais,13330,15517,19510,24674
Individu - ensemble de la clientèle,Région,08 - Abitibi-Témiscamingue,6200,7719,9012,12081
Individu - ensemble de la clientèle,Région,09 - Côte-Nord,5384,5999,9345,10741
Individu - ensemble de la clientèle,Région,10 - Nord-du-Québec,638,739,1244,1528
Individu - ensemble de la clientèle,Région,11 - Gaspésie - Îles-de-la-Madeleine,7649,8828,13762,17034
Individu - ensemble de la clientèle,Région,12 - Chaudière-Appalaches,11797,14094,16111,20721
Individu - ensemble de la clientèle,Région,13 - Laval,11362,13731,16552,21256
Individu - ensemble de la clientèle,Région,14 - Lanaudière,13419,16655,19941,27245
Individu - ensemble de la clientèle,Région,15 - Laurentides,18245,21454,29038,36215
Individu - ensemble de la clientèle,Région,16 - Montérégie,37363,44966,53527,69418
Individu - ensemble de la clientèle,Région,17 - Centre-du-Québec,7496,9087,12274,16279
Individu - ensemble de la clientèle,Sexe,Femme,116344,142207,180734,238877
Individu - ensemble de la clientèle,Sexe,Homme,145205,173331,218727,280347
Individu - ensemble de la clientèle,Groupe d'âge,Moins de 20 ans,16595,21709,23793,31901
Individu - ensemble de la clientèle,Groupe d'âge,De 20 à 24 ans,32092,42230,50270,70230
Individu - ensemble de la clientèle,Groupe d'âge,De 25 à 29 ans,33743,43065,52135,70429
Individu - ensemble de la clientèle,Groupe d'âge,De 30 à 34 ans,31586,40225,48141,64722
Individu - ensemble de la clientèle,Groupe d'âge,De 35 à 39 ans,30848,38901,47729,63242
Individu - ensemble de la clientèle,Groupe d'âge,De 40 à 44 ans,26398,32736,40782,53073
Individu - ensemble de la clientèle,Groupe d'âge,De 45 à 49 ans,22478,27744,34131,43936
Individu - ensemble de la clientèle,Groupe d'âge,De 50 à 54 ans,24150,29006,36146,45238
Individu - ensemble de la clientèle,Groupe d'âge,55 ans et plus,47038,51907,66334,76453
Individu - ensemble de la clientèle,Groupe d'âge,35 ans et moins,118790,149067,184083,250253
Individu - ensemble de la clientèle,Groupe d'âge,36 ans et plus,143231,168057,215378,268971
Individu - ensemble de la clientèle,Famille monoparentale,Oui,22692,28381,35967,48803
Individu - ensemble de la clientèle,Famille monoparentale,Non,239681,288678,363486,470377
Individu - ensemble de la clientèle,Famille monoparentale,Inconnue,7,39,8,44
Individu - ensemble de la clientèle,Scolarité,Primaire,10886,13735,16365,22930
Individu - ensemble de la clientèle,Scolarité,Secondaire I à IV,81396,99864,125778,167806
Individu - ensemble de la clientèle,Scolarité,Secondaire V,72165,86854,110296,141173
Individu - ensemble de la clientèle,Scolarité,Collégial,31669,38124,48195,61762
Individu - ensemble de la clientèle,Scolarité,Universitaire,41076,50087,63448,82192
Individu - ensemble de la clientèle,Scolarité,Inconnue,27642,32630,35379,43361
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Aucun diplôme,119048,144162,178417,234138
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Secondaire - DES,30423,38505,49286,66624
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Secondaire - DEP,21902,26760,35920,46610
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Secondaire - ASP,1543,1882,2605,3380
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Collégial - AEC,4686,5824,7882,10429
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Collégial - DEC général,5507,7016,9141,12456
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Collégial - DEC professionnel,8903,11146,15085,20170
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Universitaire - Certificat,1615,2134,2782,3941
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Universitaire - Baccalauréat,6713,8756,11181,15655
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,2709,3466,4728,6393
Individu - ensemble de la clientèle,Diplôme maximum obtenu,Inconnu,62714,73053,82434,99428
Individu - ensemble de la clientèle,Personne handicapée,Oui,26488,36694,43707,66912
Individu - ensemble de la clientèle,Personne handicapée,Non,235991,280622,355754,452312
Individu - ensemble de la clientèle,Autochtone,Oui,2605,3194,4156,5402
Individu - ensemble de la clientèle,Autochtone,Non,205742,252683,325704,432549
Individu - ensemble de la clientèle,Autochtone,Inconnu,53202,59661,69601,81273
Individu - ensemble de la clientèle,Lieu de naissance,Né au Canada,178905,217537,278818,365279
Individu - ensemble de la clientèle,Lieu de naissance,Né hors Canada : arrivé depuis moins de 5 ans,16350,21506,27752,39752
Individu - ensemble de la clientèle,Lieu de naissance,Né hors Canada : arrivé depuis 5 ans et plus,29031,35745,44394,58688
Individu - ensemble de la clientèle,Lieu de naissance,Inconnu,37431,41404,48497,55505
