"Appellation","Prénom","Nom","Fonction élective","Fonctions additionnelles","Arrondissement / Ville liée","District ","Bureau","Téléphone","Courriel officiel"
"Madame","Heidi","Ektvedt","Mairesse","Vice-présidente de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs
Membre de la Commission sur le transport et les travaux publics","Ville de Baie-D'Urfé",,"Ville de Baie d’Urfé
20410, chemin Lakeshore
Baie d’Urfé (Québec) H9X 1P7","Tél. : 514-457-6291 
Fax : 514-457-5671","hektvedt@baie-durfe.qc.ca"
"Monsieur","George","Bourelle","Maire","Vice-président de la Commission sur les finances et l'administration
Vice-président de la Commission sur l'inspecteur général","Ville de Beaconsfield",,"Ville de Beaconsfield 
303, boulevard Beaconsfield 
Beaconsfield (Québec) H9W 4A7","Tél. : 514-428-4410 
Fax : 514-428-4424","georges.bourelle@beaconsfield.ca "
"Monsieur","Mitchell","Brownstein","Maire",,"Ville de Côte-Saint-Luc",,"Ville de Côte-Saint-Luc
Centre municipal Bernard Lang
5801, boulevard Cavendish
Côte-Saint-Luc (Québec) H4W 3C3","Tél. : 514-485-6936 
Fax : 514-485-8920","mbrowstein@cotesaintluc.org"
"Monsieur","Alex","Bottausci","Maire","Membre de la Commission sur les Finances et l'administration","Ville de Dollard-Des Ormeaux",,"Ville de Dollard-Des Ormeaux
12001, boulevard De Salaberry
Dollard-Des Ormeaux (Québec) H9B 2A7","Tél. : 514-684-0879 
Fax : 514-684-6894","abottausci@ddo.qc.ca"
"Monsieur"," Mickey Max","Guttman","Conseiller de la Ville de Dollard-Des Ormeaux",,"Ville de Dollard-Des Ormeaux",,"Ville de Dollard-Des Ormeaux
12001, boulevard De Salaberry
Dollard-Des Ormeaux (Québec) H9B 2A7",,"lparent@ddo.qc.ca "
"Monsieur","Marc","Doret","Maire","Membre du comité d'audit (comité de vérification de l'agglomération)
Membre de la Commission de la sécurité publique","Ville de Dorval",,"Ville de Dorval 
60, avenue Martin 
Dorval (Québec) H9S 3R4","Tél. : 514-633-4040
Fax : 514-633-4138","mdoret@ville.dorval.qc.ca"
"Monsieur","Jeremy","Levi","Maire",,"Ville de Hampstead",,"Ville de Hampstead 
5569, chemin Queen-Mary 
Hampstead (Québec) H3X 1W5","Tél. : 514-369-8200 
Fax : 514-369-8229","jlevi@hampstead.qc.ca"
"Monsieur","Michel","Gibson","Maire","Vice-président de la Commission sur le transport et les travaux publics","Ville de Kirkland",,"Ville de Kirkland 
17200, boulevard Hymus 
Kirkland (Québec) H9J 3Y8","Tél. : 514-694-4100 
poste 3100","mgibson@ville.kirkland.qc.ca "
"Madame","Gisèle","Chapleau","Mairesse",,"Ville de L'Île-Dorval",,"Ville de l'Ile-Dorval
CP 53061
Dorval (Québec) H9S 5W4","Tél. : 514-636-1571","info@liledorvalisland.ca"
"Madame","Valérie","Plante","Mairesse","Mairesse de l'arrondissement de Ville-Marie
Membre du comité exécutif
Membre du conseil d'agglomération","Ville de Montréal",,"Ville de Montréal
155, rue Notre-Dame Est
Montréal (Québec) H2Y 1C6","Tél. : 514-872-3101","valerie.plante@montreal.ca"
