UID_MEDIAFILM,TITRE_ORIGINAL,TITRE_FRANCAIS_1,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNEE_PRODUCTION,COTE_MEDIAFILM,GENRE,DATE_HEURE_DIFFUSION,REALISATION
16633,Pas de rÃ©pit pour MÃ©lanie,Pas de rÃ©pit pour MÃ©lanie,CA,QC,,,,,1990,3,ComÃ©die dramatique,2010-01-03T21:35:00,Jean Beaudry
17737,Mystic Pizza,Mystic Pizza,US,,,,,,1988,4,ComÃ©die dramatique,2010-01-03T23:15:00,Donald Petrie
38150,Swimming Pool,"Piscine, La",FR,,,,,,2002,4,Drame de moeurs,2010-01-08T23:30:00,FranÃ§ois Ozon
43870,2 Days in Paris,2 Jours Ã  Paris,FR,,,,,,2006,3,ComÃ©die de moeurs,2010-01-09T22:30:00,Julie Delpy
43414,"Pressentiment, Le","Pressentiment, Le",FR,,,,,,2006,3,Drame psychologique,2010-01-10T21:00:00,Jean-Pierre Darroussin
21198,Pauline Ã  la plage,Pauline Ã  la plage,FR,,,,,,1982,3,ComÃ©die de moeurs,2010-01-15T23:30:00,Ãric Rohmer
41336,De battre mon coeur s'est arrÃªtÃ©,De battre mon coeur s'est arrÃªtÃ©,FR,,,,,,2005,3,Drame psychologique,2010-01-16T22:30:00,Jacques Audiard
37164,Far From Heaven,Loin du Paradis,US,,,,,,2002,2,Drame de moeurs,2010-01-17T21:00:00,Todd Haynes
40927,Die Fetten Jahre sind Vorbei,"Ãdukateurs, Les",DE,,,,,,2004,4,ComÃ©die dramatique,2010-01-23T00:00:00,Hans Weingartner
42429,Shooting Dogs,Larmes d'avril,GB,,,,,,2006,4,Drame historique,2010-01-23T22:30:00,Michael Caton-Jones
38095,Sweet Sixteen,Mes 16 ans,GB,,,,,,2002,3,Drame de moeurs,2010-01-24T21:00:00,Ken Loach
41868,Cache-cache,Cache-cache,FR,,,,,,2005,4,ComÃ©die dramatique,2010-01-29T23:30:00,Yves Caumon
44020,Hors de prix,Hors de prix,FR,,,,,,2007,4,ComÃ©die sentimentale,2010-01-30T22:30:00,Pierre Salvadori
41369,"PremiÃ¨re Fois que j'ai eu 20 ans, La","PremiÃ¨re Fois que j'ai eu 20 ans, La",FR,,,,,,2004,4,ComÃ©die dramatique,2010-01-31T21:00:00,Lorraine LÃ©vy
43625,"Violin, El","Violon, Le",MX,,,,,,2006,3,Drame social,2010-02-05T23:30:00,Francisco Vargas
44034,"Secret, Un","Secret, Un",FR,,,,,,2007,4,Drame,2010-02-06T22:30:00,Claude Miller
44131,"4 luni, 3 saptamini si 2 zile","4 Mois, 3 semaines, 2 jours",RO,,,,,,2007,2,Drame social,2010-02-07T21:00:00,Cristian Mungiu
43795,Iluminados por el fuego,BÃ©nis par le feu,AR,,,,,,2005,4,Drame de guerre,2010-02-12T23:30:00,Tristan Bauer
43781,Mon meilleur ami,Mon meilleur ami,FR,,,,,,2006,4,ComÃ©die dramatique,2010-02-13T22:30:00,Patrice Leconte
39818,Ã la petite semaine,Ã la petite semaine,FR,,,,,,2003,4,ComÃ©die dramatique,2010-02-14T21:00:00,Sam Karmann
40736,Villa Paranoia,Villa ParanoÃ¯a,DK,,,,,,2004,4,ComÃ©die dramatique,2010-02-19T23:30:00,Erik Clausen
43188,Breaking and Entering,Par effraction,GB,,,,,,2006,4,Drame psychologique,2010-02-20T22:30:00,Anthony Minghella
41453,"Ãquipier, L'","Ãquipier, L'",FR,,,,,,2004,4,Drame sentimental,2010-02-21T21:00:00,Philippe Lioret
19750,La Historia oficial,"Histoire officielle, L'",AR,,,,,,1985,3,Drame social,2010-02-26T23:30:00,Luis Puenzo
43162,Das Leben der Anderen,"Vie des autres, La",DE,,,,,,2006,2,Drame psychologique,2010-02-27T22:30:00,Florian Henckel von Donnersmarck
41734,"Mots bleus, Les","Mots bleus, Les",FR,,,,,,2004,4,Drame psychologique,2010-02-28T21:00:00,Alain Corneau
38021,Han ni zai yiki,"Virtuose, Le",CN,KP,,,,,2002,4,MÃ©lodrame,2010-03-05T23:30:00,Chen Kaige
38049,"Magdalene Sisters, The","Soeurs Madeleine, Les",GB,,,,,,2002,3,Drame social,2010-03-06T22:30:00,Peter Mullan
37269,Rabbit-Proof Fence,"Enfants de la libertÃ©, Les",AU,,,,,,2002,3,Drame,2010-03-07T21:00:00,Phillip Noyce
40408,Brodeuses,Brodeuses,FR,,,,,,2004,4,Drame psychologique,2010-03-12T23:30:00,ÃlÃ©onore Faucher
38112,"Couple Ã©patant, Un","Couple Ã©patant, Un",FR,BE,,,,,2002,4,ComÃ©die,2010-03-13T22:30:00,Lucas Belvaux
38547,Il est plus facile pour un chameau...,Il est plus facile pour un chameau...,FR,,,,,,2003,4,ComÃ©die dramatique,2010-03-14T21:00:00,ValÃ©ria Bruni-Tedeschi
40621,Machuca,Mon ami Machuca,CL,,,,,,2004,3,Drame social,2010-03-19T23:30:00,AndrÃ©s Wood
38140,Cavale,Cavale,FR,BE,,,,,2002,3,Thriller,2010-03-20T22:30:00,Lucas Belvaux
41790,"Enfant, L'","Enfant, L'",BE,FR,,,,,2005,3,Drame psychologique,2010-03-21T21:00:00,"Luc Dardenne, Jean-Pierre Dardenne"
43492,Civic Duty,Devoir civique,US,,,,,,2006,4,Thriller,2010-03-23T21:00:00,Jeff Renfroe
40962,Me and You and Everyone We Know,"Moi, toi et tous les autres",US,,,,,,2005,3,ComÃ©die dramatique,2010-03-26T23:30:00,Miranda July
38197,AprÃ¨s la vie,AprÃ¨s la vie,FR,,,,,,2002,3,Drame psychologique,2010-03-27T22:30:00,Lucas Belvaux
38339,Dirty Pretty Things,Loin de chez eux,GB,,,,,,2002,4,Drame,2010-03-28T21:00:00,Stephen Frears
43492,Civic Duty,Devoir civique,US,,,,,,2006,4,Thriller,2010-03-28T22:40:00,Jeff Renfroe
34095,Gentleman's Agreement,"Mur invisible, Le",US,,,,,,1947,4,Drame social,2010-03-29T21:00:00,Elia Kazan
20553,Tchao Pantin,Tchao Pantin,FR,,,,,,1983,4,Drame policier,2010-03-30T21:00:00,Claude Berri
12192,Professione: Reporter,Profession: reporter,IT,FR,ES,,,,1975,3,Drame,2010-03-31T21:00:00,Michelangelo Antonioni
41240,Where the Truth Lies,"VÃ©ritÃ© nue, La",CA,GB,US,,,,2005,3,Drame de moeurs,2010-04-01T21:00:00,Atom Egoyan
37898,Royal Bonbon,Royal Bonbon,FR,,,,,,2002,5,Drame poÃ©tique,2010-04-02T23:30:00,Charles Najman
9314,Ãlisa,Ãlisa,FR,,,,,,1994,4,Drame psychologique,2010-04-03T22:30:00,Jean Becker
39922,Genesis,Genesis,FR,,,,,,2004,3,Documentaire,2010-04-04T21:00:00,"Claude Nuridsany, Marie PÃ©rennou"
41240,Where the Truth Lies,"VÃ©ritÃ© nue, La",CA,GB,US,,,,2005,3,Drame de moeurs,2010-04-04T22:25:00,Atom Egoyan
34903,Heaven Can Wait,"Ciel peut attendre, Le",US,,,,,,1943,3,ComÃ©die fantaisiste,2010-04-05T21:00:00,Ernst Lubitsch
19147,"Grand Chemin, Le","Grand Chemin, Le",FR,,,,,,1986,4,ComÃ©die dramatique,2010-04-06T21:00:00,Jean-Loup Hubert
37977,"Fleur du mal, La","Fleur du mal, La",FR,,,,,,2002,4,Drame de moeurs,2010-04-07T21:00:00,Claude Chabrol
1361,"Straight Story, The","Histoire vraie, Une",US,,,,,,1999,2,Drame,2010-04-08T21:00:00,David Lynch
38132,"Homme du train, L'","Homme du train, L'",FR,DE,GB,,,,2002,3,ComÃ©die dramatique,2010-04-09T23:30:00,Patrice Leconte
16893,Daddy nostalgie,Daddy nostalgie,FR,,,,,,1990,3,Drame psychologique,2010-04-10T22:30:00,Bertrand Tavernier
44152,Elle s'appelle Sabine,Elle s'appelle Sabine,FR,,,,,,2007,4,Documentaire,2010-04-11T21:00:00,Sandrine Bonnaire
1361,"Straight Story, The","Histoire vraie, Une",US,,,,,,1999,2,Drame,2010-04-11T22:30:00,David Lynch
34682,Laura,Laura,US,,,,,,1944,2,Drame policier,2010-04-12T21:00:00,Otto Preminger
38397,"Moi CÃ©sar, 10 ans 1/2, 1 m 39","Moi CÃ©sar, 10 ans 1/2, 1 m 39",FR,,,,,,2003,4,ComÃ©die,2010-04-13T21:00:00,Richard Berry
45145,Encounters at the End of the World,Rencontres au bout du monde,US,,,,,,2007,3,Documentaire,2010-04-14T21:00:00,Werner Herzog
39100,Eternal Sunshine of the Spotless Mind,Du soleil plein la tÃªte,US,,,,,,2004,3,ComÃ©die fantaisiste,2010-04-15T21:00:00,Michel Gondry
37171,Deux ou trois choses que je sais d'elle,Deux ou trois choses que je sais d'elle,FR,,,,,,1967,3,Ãtude de moeurs,2010-04-16T22:30:00,Jean-Luc Godard
44312,"Scaphandre et le papillon, Le","Scaphandre et le papillon, Le",FR,US,,,,,2007,3,Drame biographique,2010-04-17T22:30:00,Julian Schnabel
47670,Confessions of an Innocent Man,"Aveux d'un innocent, Les",CA,,,,,,2007,0,Documentaire,2010-04-18T21:00:00,David Paperny
39100,Eternal Sunshine of the Spotless Mind,Du soleil plein la tÃªte,US,,,,,,2004,3,ComÃ©die fantaisiste,2010-04-18T22:35:00,Michel Gondry
34096,"Ghost and Mrs. Muir, The","Aventure de Mme Muir, L'",US,,,,,,1947,3,ComÃ©die fantaisiste,2010-04-19T21:00:00,Joseph L. Mankiewicz
43933,Roman de gare,Roman de gare,FR,,,,,,2007,4,ComÃ©die dramatique,2010-04-20T21:00:00,Claude Lelouch
39656,Carandiru,Carandiru,BR,,,,,,2003,3,Drame social,2010-04-21T21:00:00,Hector Babenco
42068,Friends with Money,Friends with Money,US,,,,,,2006,4,ComÃ©die de moeurs,2010-04-22T21:00:00,Nicole Holofcener
41335,Rois & Reine,Rois & reine,FR,,,,,,2004,3,ComÃ©die dramatique,2010-04-23T22:30:00,Arnaud Desplechin
38339,Dirty Pretty Things,Loin de chez eux,GB,,,,,,2002,4,Drame,2010-04-24T22:30:00,Stephen Frears
32381,"Salaire de la peur, Le","Salaire de la peur, Le",FR,,,,,,1952,2,Aventures,2010-04-25T21:00:00,Henri-Georges Clouzot
43933,Roman de gare,Roman de gare,FR,,,,,,2007,4,ComÃ©die dramatique,2010-04-25T23:25:00,Claude Lelouch
32234,Gentlemen Prefer Blondes,"Hommes prÃ©fÃ¨rent les blondes, Les",US,,,,,,1953,4,ComÃ©die musicale,2010-04-26T21:00:00,Howard Hawks
44739,Comme t'y es belle!,Comme t'y es belle!,FR,BE,LU,GB,,,2006,4,ComÃ©die dramatique,2010-04-27T21:00:00,Lisa Azuelos
47146,Histoires extraordinaires,Histoires extraordinaires,FR,IT,,,,,1968,4,Film Ã  sketches,2010-04-28T21:00:00,"Louis Malle, Roger Vadim, Federico Fellini"
41220,Proof,"Preuve irrÃ©futable, La",US,,,,,,2005,4,Drame psychologique,2010-04-29T21:00:00,John Madden
40963,Saraband,Sarabande,SE,,,,,,2003,2,Drame psychologique,2010-04-30T22:30:00,Ingmar Bergman
42763,Casa de areia,"Maison de sable, La",BR,,,,,,2005,3,Chronique,2010-05-01T22:30:00,Andrucha Waddington
31662,"Diaboliques, Les","Diaboliques, Les",FR,,,,,,1955,2,Thriller,2010-05-02T21:00:00,Henri-Georges Clouzot
41220,Proof,"Preuve irrÃ©futable, La",US,,,,,,2005,4,Drame psychologique,2010-05-02T22:55:00,John Madden
24644,"Sunday, Bloody Sunday","Dimanche comme les autres, Un",GB,,,,,,1971,2,Drame psychologique,2010-05-03T21:00:00,John Schlesinger
43819,"HÃ©ros de la famille, Le","HÃ©ros de la famille, Le",FR,,,,,,2006,4,ComÃ©die,2010-05-04T21:00:00,Thierry Klifa
45270,"Bano del papa, El","Toilettes du pape, Les",UY,,,,,,2007,4,ComÃ©die dramatique,2010-05-05T21:00:00,"CÃ©sar Charlone, Enrique Fernandez"
44122,Poor Boy's Game,"Justice du ring, La",CA,,,,,,2007,4,Drame sportif,2010-05-06T21:00:00,Clement Virgo
41762,"Promeneur du Champ de Mars, Le","Promeneur du Champ de mars, Le",FR,,,,,,2004,4,Chronique,2010-05-07T22:30:00,Robert GuÃ©diguian
44524,"TÃ©moins, Les","TÃ©moins, Les",FR,,,,,,2006,3,Drame de moeurs,2010-05-08T22:30:00,AndrÃ© TÃ©chinÃ©
17888,Force majeure,Force majeure,FR,,,,,,1988,4,Drame psychologique,2010-05-09T21:00:00,Pierre Jolivet
44122,Poor Boy's Game,"Justice du ring, La",CA,,,,,,2007,4,Drame sportif,2010-05-09T22:25:00,Clement Virgo
25545,"Staircase, The","Escalier, L'",GB,,,,,,1969,4,Drame psychologique,2010-05-10T21:00:00,Stanley Donen
610,"VÃ©ritÃ© si je mens!, La","VÃ©ritÃ© si je mens!, La",FR,,,,,,1996,4,ComÃ©die,2010-05-11T21:00:00,Thomas Gilou
40889,My Summer of Love,Mon ÃtÃ© d'amour,GB,,,,,,2004,3,Drame de moeurs,2010-05-12T21:00:00,Pawel Pawlikowski
44098,Things We Lost in the Fire,Nos souvenirs brÃ»lÃ©s,US,,,,,,2007,4,Drame sentimental,2010-05-13T21:00:00,Susanne Bier
27212,"Collectionneuse, La","Collectionneuse, La",FR,,,,,,1967,3,Drame psychologique,2010-05-14T22:30:00,Ãric Rohmer
39809,VÃ©nus et Fleur,VÃ©nus et Fleur,FR,,,,,,2003,4,ComÃ©die sentimentale,2010-05-15T22:30:00,Emmanuel Mouret
26330,"Clan des Siciliens, Le","Clan des Siciliens, Le",FR,,,,,,1968,4,Drame policier,2010-05-16T21:00:00,Henri Verneuil
610,"VÃ©ritÃ© si je mens!, La","VÃ©ritÃ© si je mens!, La",FR,,,,,,1996,4,ComÃ©die,2010-05-16T23:05:00,Thomas Gilou
37820,"Good Thief, The","Dernier Coup de monsieur Bob, Le",GB,,,,,,2002,3,Drame policier,2010-05-17T21:00:00,Neil Jordan
44053,Michou d'Auber,Michou d'Auber,FR,,,,,,2007,4,Chronique,2010-05-18T21:00:00,Thomas Gilou
50001,Derecho de familia,"Lois de la famille, Les",AR,ES,IT,FR,,,2006,5,ComÃ©die dramatique,2010-05-19T21:00:00,Daniel Burman
44233,Before the Devil Knows You're Dead,Avant que le diable ne le sache,US,,,,,,2007,3,Drame,2010-05-20T21:00:00,Sidney Lumet
41078,2046,2046,CN,FR,DE,HK,,,2004,3,Drame sentimental,2010-05-21T22:30:00,Wong Kar-wai
28305,"Parapluies de Cherbourg, Les","Parapluies de Cherbourg, Les",FR,DE,,,,,1963,1,Drame musical,2010-05-22T22:30:00,Jacques Demy
22937,I... comme Icare,I... comme Icare,FR,,,,,,1979,4,Drame social,2010-05-23T21:00:00,Henri Verneuil
272,Looking for Richard,Ã la recherche de Richard,US,,,,,,1996,4,Film d'essai,2010-05-23T22:00:00,Al Pacino
44053,Michou d'Auber,Michou d'Auber,FR,,,,,,2007,4,Chronique,2010-05-23T23:10:00,Thomas Gilou
44182,I'm Not There,I'm Not There - Les Vies de Bob Dylan,US,,,,,,2007,2,Film d'essai,2010-05-24T21:00:00,Todd Haynes
42662,Keeping Mum,Secrets de famille,GB,,,,,,2005,4,ComÃ©die,2010-05-25T21:00:00,Niall Johnson
49898,Grbavica,"Sarajevo, mon amour",AT,BA,DE,HR,,,2006,4,Drame,2010-05-26T21:00:00,Jasmila Zbanic
44104,Rendition,DÃ©tention secrÃ¨te,US,,,,,,2007,4,Drame politique,2010-05-27T21:00:00,Gavin Hood
41941,"Petite JÃ©rusalem, La","Petite JÃ©rusalem, La",FR,,,,,,2005,4,Drame psychologique,2010-05-28T22:30:00,Karin Albou
17053,"Vie et rien d'autre, La","Vie et rien d'autre, La",FR,,,,,,1989,2,Drame social,2010-05-29T22:30:00,Bertrand Tavernier
13151,"Silencieux, Le","Silencieux, Le",FR,IT,,,,,1973,4,Drame d'espionnage,2010-05-30T21:30:00,Claude Pinoteau
44104,Rendition,DÃ©tention secrÃ¨te,US,,,,,,2007,4,Drame politique,2010-05-30T23:25:00,Gavin Hood
43923,Bluff,Bluff,CA,QC,,,,,2007,4,ComÃ©die,2010-05-31T21:00:00,"Marc-AndrÃ© Lavoie, Simon Olivier Fecteau"
26046,"Scalphunters, The","Chasseurs de scalps, Les",US,,,,,,1968,4,Western,2010-06-01T21:00:00,Sydney Pollack
44677,Caramel,Caramel,LB,,,,,,2007,4,ComÃ©die de moeurs,2010-06-02T21:00:00,Nadine Labaki
1292,American Beauty,BeautÃ© amÃ©ricaine,US,,,,,,1999,3,ComÃ©die dramatique,2010-06-03T21:00:00,Sam Mendes
19461,Witness,TÃ©moin sous surveillance,US,,,,,,1985,3,Drame policier,2010-06-04T21:00:00,Peter Weir
37793,Lundi matin,Lundi matin,FR,IT,,,,,2002,3,ComÃ©die satirique,2010-06-04T22:55:00,Otar Iosseliani
52459,Innan Frosten,"Flammes de la colÃ¨re, Les",SE,,,,,,2005,0,Drame policier,2010-06-05T22:30:00,Kjell-Ake Andersson
44191,Dialogue avec mon jardinier,Dialogue avec mon jardinier,FR,,,,,,2007,4,ComÃ©die dramatique,2010-06-06T21:00:00,Jean Becker
44485,Borderline,Borderline,CA,QC,,,,,2008,4,Drame de moeurs,2010-06-07T21:00:00,Lyne Charlebois
24980,Chato's Land,"Collines de la terreur, Les",US,,,,,,1971,4,Western,2010-06-08T21:00:00,Michael Winner
43597,Offside,Hors-jeu,IR,,,,,,2006,3,ComÃ©die dramatique,2010-06-09T21:00:00,Jafar Panahi
9896,Forrest Gump,Forrest Gump,US,,,,,,1994,3,ComÃ©die dramatique,2010-06-10T21:00:00,Robert Zemeckis
17868,"January Man, The",Calendrier meurtrier,US,,,,,,1988,4,Drame policier,2010-06-11T21:00:00,Pat O'Connor
38206,Novo,Novo,FR,,,,,,2002,5,ComÃ©die dramatique,2010-06-11T22:45:00,Jean-Pierre Limosin
52750,Byfanen,"Idiot du village, L'",SE,,,,,,2005,0,Drame policier,2010-06-12T22:30:00,JÃ¶rn Faurschou
44870,Un baiser s'il vous plaÃ®t,Un Baiser s'il vous plaÃ®t,FR,,,,,,2007,4,ComÃ©die sentimentale,2010-06-13T21:00:00,Emmanuel Mouret
1925,"Ange de goudron, L'","Ange de goudron, L'",CA,QC,,,,,2001,4,Drame social,2010-06-14T21:00:00,Denis Chouinard
10602,"Shootist, The","Dernier des gÃ©ants, Le",US,,,,,,1976,4,Western,2010-06-15T21:00:00,Don Siegel
43616,Vitus,Vitus,CH,,,,,,2006,4,Drame psychologique,2010-06-16T21:00:00,Fredi M. Murer
17713,Rain Man,Rain Man,US,,,,,,1988,3,Drame psychologique,2010-06-17T21:00:00,Barry Levinson
556,Cop Land,DÃ©tectives,US,,,,,,1997,4,Drame policier,2010-06-18T21:00:00,James Mangold
21998,Blow Out,Ãclatement,US,,,,,,1981,2,Thriller,2010-06-18T22:50:00,Brian De Palma
52971,BrÃ¶derna,Oeil pour oeil,SE,,,,,,2006,0,Drame policier,2010-06-19T22:30:00,JÃ¶rn Faurschou
42189,Palais Royal!,Palais royal!,FR,,,,,,2005,4,ComÃ©die satirique,2010-06-20T21:00:00,ValÃ©rie Lemercier
1676,"MoitiÃ© gauche du frigo, La","MoitiÃ© gauche du frigo, La",CA,QC,,,,,2000,4,ComÃ©die dramatique,2010-06-21T21:00:00,Philippe Falardeau
24549,Valdez Is Coming,Valdez,US,,,,,,1971,5,Western,2010-06-22T21:00:00,Edwin Sherin
953,2 Secondes,2 Secondes,CA,QC,,,,,1998,5,ComÃ©die de moeurs,2010-06-24T00:00:00,Manon Briand
20397,"Crime d'Ovide Plouffe, Le","Crime d'Ovide Plouffe, Le",CA,QC,,,,,1984,4,Drame de moeurs,2010-06-24T21:00:00,Denys Arcand
27740,Topkapi,Topkapi,US,,,,,,1964,3,ComÃ©die policiÃ¨re,2010-06-25T21:00:00,Jules Dassin
13843,Trois Couleurs - Bleu,Trois Couleurs - Bleu,FR,CH,PL,,,,1993,2,Drame psychologique,2010-06-25T23:10:00,Krzysztof Kieslowski
53152,MÃ¶rkret,Engrenage,SE,,,,,,2005,0,Drame policier,2010-06-26T22:30:00,Stephan Apelgren
32442,Il Piccolo Mondo di Don Camillo,"Petit Monde de Don Camillo, Le",IT,FR,,,,,1952,3,ComÃ©die,2010-06-27T21:00:00,Julien Duvivier
39142,"Peau blanche, La","Peau blanche, La",CA,QC,,,,,2004,4,Drame fantastique,2010-06-28T21:00:00,Daniel Roby
24936,GiÃ¹ la testa,Il Ã©tait une fois la rÃ©volution,IT,FR,US,,,,1971,3,Aventures,2010-06-29T21:00:00,Sergio Leone
39039,"Good Bye, Lenin!",Au revoir LÃ©nine!,DE,,,,,,2003,3,ComÃ©die dramatique,2010-06-30T21:00:00,Wolfgang Becker
1067,"Thin Red Line, The","Mince Ligne rouge, La",US,,,,,,1998,2,Drame de guerre,2010-07-01T21:00:00,Terrence Malick
197,"Time to Kill, A",Non coupable,US,,,,,,1996,5,Drame judiciaire,2010-07-02T21:00:00,Joel Schumacher
10441,Trzy kolory: Bialy,Trois Couleurs - Blanc,FR,PL,CH,,,,1993,3,ComÃ©die dramatique,2010-07-02T23:35:00,Krzysztof Kieslowski
53262,Afrikanen,"Africain, L'",SE,,,,,,2006,0,Drame policier,2010-07-03T22:30:00,Stephan Apelgren
40773,AprÃ¨s vous...,AprÃ¨s vous...,FR,,,,,,2003,5,ComÃ©die sentimentale,2010-07-04T21:00:00,Pierre Salvadori
41869,Kamataki,Kamataki,CA,QC,,,,,2005,4,Drame psychologique,2010-07-05T21:00:00,Claude Gagnon
24858,Jeremiah Johnson,Jeremiah Johnson,US,,,,,,1971,3,Western,2010-07-06T21:00:00,Sydney Pollack
44603,Bikur Ha-Tizmoret,"Visite de la fanfare, La",IL,,,,,,2007,3,ComÃ©die dramatique,2010-07-07T21:00:00,Eran Kolirin
17449,Crimes and Misdemeanors,Crimes et dÃ©lits,US,,,,,,1989,3,ComÃ©die dramatique,2010-07-08T21:00:00,Woody Allen
26523,Wait Until Dark,Seule dans la nuit,US,,,,,,1967,4,Thriller,2010-07-09T21:00:00,Terence Young
9751,Trois Couleurs - Rouge,Trois Couleurs - Rouge,FR,CH,PL,,,,1994,2,Drame psychologique,2010-07-09T22:55:00,Krzysztof Kieslowski
53520,Mastermind,Jeu de piste,SE,,,,,,2005,0,Drame policier,2010-07-10T22:30:00,Peter Flinth
32470,Il Ritorno di Don Camillo,"Retour de Don Camillo, Le",FR,IT,,,,,1952,4,ComÃ©die,2010-07-11T21:00:00,Julien Duvivier
27609,"Corde au cou, La","Corde au cou, La",CA,QC,,,,,1965,4,Drame psychologique,2010-07-12T21:00:00,Pierre Patry
29376,"Unforgiven, The","Vent de la plaine, Le",US,,,,,,1960,3,Western,2010-07-13T21:00:00,John Huston
31069,HonorÃ© de Marseille,HonorÃ© de Marseille,FR,,,,,,1956,4,ComÃ©die,2010-07-14T21:00:00,Maurice RÃ©gamey
23758,Coming Home,"Retour, Le",US,,,,,,1978,3,Drame psychologique,2010-07-15T21:00:00,Hal Ashby
42016,Keane,Keane,US,,,,,,2004,3,Drame psychologique,2010-07-16T23:30:00,Lodge Kerrigan
53769,Den svaga punkten,Chantage Ã  l'amour,SE,,,,,,2006,0,Drame policier,2010-07-17T22:30:00,Jonas Grimas
25821,"Cerveau, Le","Cerveau, Le",FR,IT,,,,,1969,4,ComÃ©die policiÃ¨re,2010-07-18T21:00:00,GÃ©rard Oury
39356,"Pension des Ã©tranges, La","Pension des Ã©tranges, La",CA,QC,,,,,2004,5,ComÃ©die dramatique,2010-07-19T21:00:00,Stella Goulet
27802,Major Dundee,Major Dundee,US,,,,,,1964,4,Western,2010-07-20T21:00:00,Sam Peckinpah
41645,Breakfast on Pluto,Breakfast on Pluto,IE,GB,,,,,2005,3,ComÃ©die dramatique,2010-07-21T21:00:00,Neil Jordan
41037,Broken Flowers,Fleurs brisÃ©es,US,,,,,,2005,3,ComÃ©die dramatique,2010-07-22T21:00:00,Jim Jarmusch
45395,"Chambre des morts, La","Chambre des morts, La",FR,,,,,,2007,5,Drame policier,2010-07-23T21:00:00,Alfred Lot
37842,Mies Vailla Menneisyytta,"Homme sans passÃ©, L'",FI,,,,,,2002,3,ComÃ©die dramatique,2010-07-23T23:00:00,Aki Kaurismaki
54012,Fotografen,"Gardien de l'histoire, Le",SE,,,,,,2006,0,Drame policier,2010-07-24T22:30:00,Jonas Grimas
