"rss_etablissement","rts_etablissement","code_etablissement_regroupes_inclus_dans_cisss_ciusss","nom_etablissement_regroupes_inclus_dans_cisss_ciusss","code_etablissement","nom_etablissement","statut","mode_financement","territoire_clsc_installation","code_installation","nom_installation","mct_capacite_service_installation","unite_mesure_installation","capacite_service_installation","capacite_installation","date_extraction"
01 - Bas-Saint-Laurent,011 - RTS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,Public,Budget,01161 - La Mitis,51216281,Services professionnels - MRC Mitis,CRDI,Place(s) en centre d'activités de jour,C,20,2024-07-01
01 - Bas-Saint-Laurent,011 - RTS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,Public,Budget,01161 - La Mitis,51216281,Services professionnels - MRC Mitis,CRDI,Place(s) en centre d'activités de jour,C,20,2024-08-01
01 - Bas-Saint-Laurent,011 - RTS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,Public,Budget,01161 - La Mitis,51216281,Services professionnels - MRC Mitis,CRDI,Place(s) en centre d'activités de jour,C,20,2024-05-01
01 - Bas-Saint-Laurent,011 - RTS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,Public,Budget,01161 - La Mitis,51216281,Services professionnels - MRC Mitis,CRDI,Place(s) en centre d'activités de jour,C,20,2024-06-01
01 - Bas-Saint-Laurent,011 - RTS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,Public,Budget,01161 - La Mitis,51216281,Services professionnels - MRC Mitis,CRDI,Place(s) en centre d'activités de jour,C,20,2024-04-01
01 - Bas-Saint-Laurent,011 - RTS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,Public,Budget,01151 - Rimouski-Neigette,51217370,CRJDA de Rimouski-Neigette,CRJDA,Place(s) en internat - unité de vie,C,28,2024-04-01
01 - Bas-Saint-Laurent,011 - RTS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,Public,Budget,01151 - Rimouski-Neigette,51217370,CRJDA de Rimouski-Neigette,CRJDA,Place(s) en internat - unité de vie,C,28,2024-06-01
01 - Bas-Saint-Laurent,011 - RTS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,Public,Budget,01151 - Rimouski-Neigette,51217370,CRJDA de Rimouski-Neigette,CRJDA,Place(s) en internat - unité de vie,C,28,2024-05-01
01 - Bas-Saint-Laurent,011 - RTS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,Public,Budget,01151 - Rimouski-Neigette,51217370,CRJDA de Rimouski-Neigette,CRJDA,Place(s) en internat - unité de vie,C,28,2024-08-01
01 - Bas-Saint-Laurent,011 - RTS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,11045119,CISSS du Bas-Saint-Laurent,Public,Budget,01151 - Rimouski-Neigette,51217370,CRJDA de Rimouski-Neigette,CRJDA,Place(s) en internat - unité de vie,C,28,2024-07-01
