NUMEROTATION,JRS_HOSPIT,SOINS_CD-FEM,SOINS_CD-MASC,SOINS_CD-TOT,SOINS_CD-FEM_SP,SOINS_CD-MASC_SP,SOINS_CD-TOT_SP,SOINS_CH1JR-FEM,SOINS_CH1JR-MASC,SOINS_CH1JR-TOT,SOINS_PMORT-FEM,SOINS_PMORT-MASC,SOINS_PMORT-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE1
1,MOINS DE 1,16990,14735,31725,1,0,1,197360,172061,369421,6,1,7,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
2,1-2 JOURS,183256,128759,312015,300,224,524,0,0,0,41,36,77,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
3,3-5 JOURS,113844,83257,197101,439,281,720,0,0,0,0,4,4,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
4,6-9 JOURS,48568,46332,94900,724,505,1229,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
5,10-15 JOURS,30982,28856,59838,729,535,1264,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
6,16-30 JOURS,29327,25399,54726,1064,738,1802,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
7,31-60 JOURS,16260,12767,29027,924,713,1637,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
8,61-90 JOURS,4143,3594,7737,326,296,622,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
9,91-200 JOURS,2589,2382,4971,333,353,686,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
10,201-365 JOURS,310,430,740,76,119,195,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
11,366 ET +,98,185,283,16,25,41,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
12,TOTAL,446367,346696,793063,4932,3789,8721,197360,172061,369421,47,41,88,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
