NUMEROTATION,JRS_HOSPIT,SOINS_CD-FEM,SOINS_CD-MASC,SOINS_CD-TOT,SOINS_CD-FEM_LD,SOINS_CD-MASC_LD,SOINS_CD-TOT_LD,SOINS_CH1JR-FEM,SOINS_CH1JR-MASC,SOINS_CH1JR-TOT,SOINS_PMORT-FEM,SOINS_PMORT-MASC,SOINS_PMORT-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2
1,"MOINS DE 1",16265,14978,31245,1,1,2,197373,176311,373684,2,6,8,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
2,"1-2 JOURS",200556,143198,343754,701,481,1182,0,0,0,40,32,72,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
3,"3-5 JOURS",108913,86433,195346,909,647,1556,0,0,0,11,11,22,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
4,"6-9 JOURS",50446,49305,99751,1157,788,1945,0,0,0,0,0,0,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
5,"10-15 JOURS",33073,31226,64299,1034,746,1780,0,0,0,0,0,0,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
6,"16-30 JOURS",30662,27527,58189,1154,905,2059,0,0,0,0,0,0,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
7,"31-60 JOURS",15736,13420,29157,645,541,1186,0,0,0,0,0,0,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
8,"61-90 JOURS",3620,3298,6918,146,151,297,0,0,0,0,0,0,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
9,"91-200 JOURS",1920,1980,3900,79,145,224,0,0,0,0,0,0,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
10,"201-365 JOURS",201,265,466,16,31,47,0,0,0,0,0,0,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
11,"366 ET +",77,156,233,9,28,37,0,0,0,0,0,0,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
12,"TOTAL",461469,371786,833258,5851,4464,10315,197373,176311,373684,53,49,102,"Titre du rapport « S17 — Sommaire des départs selon les jours d'hospitalisation pour l'ensemble des types de soins»","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","(LD) Usagers de soins de longue durée occupant un lit de courte durée."
