NUMEROTATION,JRS_HOSPIT,SOINS_CD-FEM,SOINS_CD-MASC,SOINS_CD-TOT,SOINS_CD-FEM_SP,SOINS_CD-MASC_SP,SOINS_CD-TOT_SP,SOINS_CH1JR-FEM,SOINS_CH1JR-MASC,SOINS_CH1JR-TOT,SOINS_PMORT-FEM,SOINS_PMORT-MASC,SOINS_PMORT-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE1
1,MOINS DE 1,16197,15029,31227,0,1,1,196163,171920,368083,4,13,17,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
2,1-2 JOURS,187386,131340,318726,243,196,439,0,0,0,58,68,126,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
3,3-5 JOURS,112368,84319,196687,357,240,597,0,0,0,2,7,9,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
4,6-9 JOURS,48603,47235,95838,665,435,1100,0,0,0,1,0,1,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
5,10-15 JOURS,31178,29149,60327,751,529,1280,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
6,16-30 JOURS,28727,25163,53890,1177,822,1999,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
7,31-60 JOURS,15601,12593,28194,1074,743,1817,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
8,61-90 JOURS,4195,3430,7625,370,277,647,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
9,91-200 JOURS,2548,2349,4897,252,272,524,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
10,201-365 JOURS,281,388,669,51,99,150,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
11,366 ET +,106,189,295,24,37,61,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
12,TOTAL,447190,351184,798375,4964,3651,8615,196163,171920,368083,65,88,153,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
