NUMEROTATION,JRS_HOSPIT,SOINS_CD-FEM,SOINS_CD-MASC,SOINS_CD-TOT,SOINS_CD-FEM_SP,SOINS_CD-MASC_SP,SOINS_CD-TOT_SP,SOINS_CH1JR-FEM,SOINS_CH1JR-MASC,SOINS_CH1JR-TOT,SOINS_PMORT-FEM,SOINS_PMORT-MASC,SOINS_PMORT-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE1
1,MOINS DE 1,16389,14825,31215,0,2,2,207010,181105,388115,5,8,13,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
2,1-2 JOURS,179970,125922,305892,189,144,333,0,0,0,38,49,87,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
3,3-5 JOURS,114881,82228,197109,347,194,541,0,0,0,1,2,3,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
4,6-9 JOURS,48442,45410,93852,562,405,967,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
5,10-15 JOURS,30539,28521,59060,630,440,1070,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
6,16-30 JOURS,28824,25148,53972,1152,760,1912,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
7,31-60 JOURS,16027,13061,29088,987,770,1757,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
8,61-90 JOURS,4411,3622,8033,402,320,722,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
9,91-200 JOURS,2765,2562,5327,364,370,734,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
10,201-365 JOURS,345,390,735,71,97,168,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
11,366 ET +,107,206,313,16,42,58,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
12,TOTAL,442700,341895,784596,4720,3544,8264,207010,181105,388115,44,59,103,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
