NUMEROTATION,JRS_HOSPIT,SOINS_CD-FEM,SOINS_CD-MASC,SOINS_CD-TOT,SOINS_CD-FEM_SP,SOINS_CD-MASC_SP,SOINS_CD-TOT_SP,SOINS_CH1JR-FEM,SOINS_CH1JR-MASC,SOINS_CH1JR-TOT,SOINS_PMORT-FEM,SOINS_PMORT-MASC,SOINS_PMORT-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE1
1,MOINS DE 1,15223,13358,28582,0,4,4,202752,177148,379901,6,10,16,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
2,1-2 JOURS,170486,119670,290156,272,199,471,0,0,0,35,33,68,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
3,3-5 JOURS,115894,80523,196417,466,291,757,0,0,0,1,1,2,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
4,6-9 JOURS,48952,46474,95426,732,482,1214,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
5,10-15 JOURS,30852,28639,59491,855,539,1394,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
6,16-30 JOURS,28799,24549,53348,1283,859,2142,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
7,31-60 JOURS,16459,13071,29530,1110,791,1901,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
8,61-90 JOURS,4561,3779,8340,392,326,718,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
9,91-200 JOURS,2676,2505,5181,332,329,661,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
10,201-365 JOURS,317,389,706,55,88,143,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
11,366 ET +,85,136,221,15,32,47,0,0,0,0,0,0,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
12,TOTAL,434304,333093,767398,5512,3940,9452,202752,177148,379901,42,44,86,S17-SOMMAIRE DES DÉPARTS SELON LES JOURS D'HOSPITALISATION POUR L'ENSEMBLE DES TYPES DE SOINS,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
