Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,30 455 957,210 084 041,33 390 289,8 705 208,98 032 748,31 971 007,22 045 989,2 720 018,35 221 516,40 475 763,44 261 453,41 502 988,598 866 976
RSS 02  Saguenay--Lac-Saint-Jean,37 096 167,275 111 977,46 705 755,14 354 916,111 998 460,45 261 907,27 105 941,5 057 919,51 543 910,49 587 382,59 390 766,54 027 010,777 242 110
RSS 03  Capitale-Nationale,88 430 667,1 002 558 668,160 538 105,26 138 351,329 612 608,99 312 421,84 049 586,11 306 846,102 560 634,148 491 905,177 279 179,194 296 551,2 424 575 521
RSS 04  Mauricie et Centre-du-Québec,60 443 390,412 407 355,73 919 469,24 885 782,256 141 615,74 008 602,42 388 436,11 103 651,86 777 785,77 313 590,91 223 316,86 590 873,1 297 203 865
RSS 05  Estrie,54 473 034,478 044 767,60 088 356,19 746 851,210 228 774,38 461 869,34 943 203,5 932 489,74 210 993,73 308 143,92 955 310,87 858 589,1 230 252 378
RSS 06  Montréal,182 812 162,2 947 119 042,475 917 545,72 624 121,1 015 870 366,247 289 468,147 472 498,32 265 417,299 034 582,495 326 326,579 142 597,630 535 814,7 125 409 938
RSS 07  Outaouais,34 657 911,278 872 261,50 010 479,12 443 438,118 010 688,36 908 949,26 823 715,4 472 758,50 520 472,42 853 532,58 082 513,53 417 507,767 074 224
RSS 08  Abitibi-Témiscamingue,20 731 924,138 395 111,22 256 436,9 402 032,72 144 768,26 789 001,15 462 257,3 724 666,24 849 150,32 220 635,33 278 551,30 623 823,429 878 354
RSS 09  Côte-Nord,19 924 261,111 884 592,14 533 284,6 379 115,46 571 334,15 488 044,9 686 972,2 658 165,24 565 601,26 250 922,27 601 295,27 791 235,333 334 818
RSS 10  Nord-du-Québec,5 411 342,25 712 315,2 448 290,2 463 593,6 484 731,669 335,678 369,549 881,2 135 002,7 080 300,4 976 743,4 207 372,62 817 274
RSS 11  Gaspésie--Îles-de-la-Madeleine,20 575 169,112 911 389,17 439 257,6 394 085,56 062 804,19 891 787,12 266 618,2 756 968,18 623 321,20 236 379,27 534 579,25 150 244,339 842 601
RSS 12  Chaudière-Appalaches,42 735 814,265 782 455,51 901 328,17 216 059,175 622 623,60 591 192,29 666 064,6 734 313,54 547 454,61 084 045,70 392 259,62 334 733,898 608 339
RSS 13  Laval,30 534 600,234 584 906,39 341 576,11 462 325,141 468 053,44 186 295,25 248 631,4 448 534,56 816 157,42 855 924,56 458 921,45 774 616,733 180 537
RSS 14  Lanaudière,39 888 016,268 273 266,55 595 381,16 249 273,169 834 659,45 037 069,28 112 219,5 146 755,66 976 051,48 993 873,58 010 386,69 703 095,871 820 042
RSS 15  Laurentides,48 603 530,353 283 365,66 973 849,16 484 161,191 063 008,59 161 840,37 422 308,5 611 716,86 660 296,64 921 703,74 872 724,67 095 597,1 072 154 097
RSS 16  Montérégie ,94 882 875,806 817 959,133 329 097,39 312 772,464 539 077,156 192 912,83 059 303,14 074 682,158 826 082,142 797 162,164 702 970,176 967 453,2 435 502 344
RSS 17  Nunavik,28 752 587,84 281 884,5 027 115,10 568 465,9 030 756,3 723 355,351 571,164 364,44 317 907,22 376 110,11 082 052,21 029 411,240 705 577
RSS 18  Terres-Cries-de-la-Baie-James,11 957 669,111 920 413,2 864 627,2 541 003,3 825 095,56 391,7 177 232,350 041,18 662 243,26 839 776,8 409 896,23 220 933,217 825 319
TOTAL QUÉBEC,852 367 075,8 118 045 767,1 312 280 237,317 371 549,3 476 542 167,1 005 001 444,633 960 912,119 079 183,1 256 849 157,1 423 013 470,1 639 655 510,1 702 127 844,21 856 294 314
