ï»¿RÃ©gion,Services_gÃ©nÃ©raux,SantÃ©_physique,SantÃ©_mentale,SantÃ©_publique,Soutien_Ã _l'autonomie_des_PA,DÃ©ficience_intellectuelle_et_TSA,DÃ©ficience_physique,DÃ©pendances,Jeunes_en_difficultÃ©,Administration,Soutien_aux_services,Gestion_des_bÃ¢timents,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,37 692 269,253 265 286,36 123 598,10 006 774,118 708 908,35 737 116,28 023 119,3 341 111,39 115 602,44 733 318,50 225 244,44 637 995,701 610 342
RSS 02  Saguenay--Lac-Saint-Jean,45 441 045,345 243 479,50 584 179,16 199 892,137 893 647,48 968 847,31 020 665,5 841 012,64 772 471,50 588 322,66 489 874,58 583 873,921 627 306
RSS 03  Capitale-Nationale,107 646 550,1 177 395 324,172 588 291,32 851 134,380 141 425,113 907 175,103 386 928,12 776 435,120 684 424,171 522 988,210 482 111,204 841 463,2 808 224 247
RSS 04  Mauricie et Centre-du-QuÃ©bec,74 433 351,487 534 392,86 953 564,25 572 311,317 542 828,83 150 618,50 316 246,13 437 781,115 088 819,93 571 092,105 989 933,96 960 040,1 550 550 977
RSS 05  Estrie,70 598 579,572 053 453,72 124 824,23 446 273,263 409 582,44 447 840,43 306 910,6 435 709,92 723 507,97 447 390,106 556 577,98 953 194,1 491 503 839
RSS 06  MontrÃ©al,278 383 056,3 505 677 871,547 847 064,100 888 292,1 244 773 482,288 119 573,175 309 530,42 111 167,332 078 421,572 987 732,640 851 140,736 119 751,8 465 147 077
RSS 07  Outaouais,45 030 811,321 866 795,59 116 387,18 339 155,147 631 741,45 524 487,32 215 873,6 282 113,58 411 320,50 499 783,69 892 085,58 068 097,912 878 647
RSS 08  Abitibi-TÃ©miscamingue,25 341 119,150 606 756,26 826 141,10 438 444,100 672 374,29 186 531,17 287 635,4 267 201,55 253 101,33 618 429,36 740 599,32 704 212,522 942 543
RSS 09  CÃ´te-Nord,23 290 554,124 491 303,18 032 014,8 026 491,67 395 057,15 329 222,9 643 866,3 058 923,30 571 557,27 856 333,31 202 479,31 854 473,390 752 271
RSS 10  Nord-du-QuÃ©bec,5 815 347,25 698 149,2 650 598,3 153 502,9 084 876,865 350,761 589,466 178,2 472 721,7 231 581,5 238 488,4 455 560,67 893 939
RSS 11  GaspÃ©sie--Ãles-de-la-Madeleine,22 813 253,116 874 058,19 826 582,8 824 083,70 660 851,20 986 850,12 249 402,3 424 698,25 606 848,22 506 034,31 614 440,27 136 728,382 523 828
RSS 12  ChaudiÃ¨re-Appalaches,56 412 445,324 782 509,61 185 032,18 845 511,222 293 628,69 828 374,34 316 548,8 846 966,68 661 106,74 359 136,78 614 951,68 016 969,1 086 163 175
RSS 13  Laval,45 352 195,371 654 998,52 605 325,14 399 069,169 342 570,54 198 652,30 284 419,5 198 263,66 513 378,42 414 466,62 927 156,51 178 997,966 069 488
RSS 14  LanaudiÃ¨re,51 342 556,284 787 353,61 325 875,20 952 984,215 836 333,55 365 282,27 698 967,6 249 462,77 712 386,64 944 933,66 576 856,76 502 163,1 009 295 150
RSS 15  Laurentides,53 898 544,394 525 703,85 166 201,21 520 971,249 285 021,70 297 342,51 029 036,6 819 043,111 997 893,61 735 442,92 278 594,84 878 018,1 283 431 808
RSS 16  MontÃ©rÃ©gie ,123 870 961,988 533 358,168 160 205,50 394 168,607 629 941,192 962 667,110 227 748,16 792 628,192 785 350,171 328 394,200 614 544,207 383 800,3 030 683 765
RSS 17  Nunavik,30 505 040,102 231 784,10 055 360,17 592 164,11 411 090,4 065 977,274 664,1 010 016,65 996 057,30 306 279,13 793 561,25 841 879,313 083 872
RSS 18  Terres-Cries-de-la-Baie-James,15 820 790,143 087 842,4 078 695,2 188 748,5 693 479,46 637,8 129 409,500 095,25 387 568,40 959 131,9 759 543,29 137 850,284 789 786
TOTAL QUÃBEC,1 113 688 466,9 690 310 412,1 535 249 936,403 639 966,4 339 406 834,1 172 988 542,765 482 555,146 858 800,1 545 832 529,1 658 610 783,1 879 848 175,1 937 255 062,26 189 172 060
