Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,31 352 742,240 892 635,35 337 273,9 840 029,110 042 220,33 729 344,25 856 883,2 736 407,35 669 493,44 990 268,47 485 583,44 155 907,662 088 785
RSS 02  Saguenay--Lac-Saint-Jean,41 257 419,324 217 953,48 410 460,14 532 958,126 968 192,47 409 491,30 013 661,5 445 725,60 142 794,48 319 646,62 935 607,56 955 243,866 609 150
RSS 03  Capitale-Nationale,93 215 224,1 095 396 066,167 977 679,30 256 474,352 774 054,105 685 655,93 779 512,11 662 541,111 181 884,164 709 893,197 467 699,194 919 868,2 619 026 549
RSS 04  Mauricie et Centre-du-Québec,68 864 962,456 840 309,82 803 296,24 256 097,284 431 188,80 191 959,44 946 260,12 895 835,104 164 813,85 918 230,98 189 376,92 023 823,1 435 526 148
RSS 05  Estrie,63 743 254,531 813 005,65 998 658,20 178 162,234 525 304,41 713 451,40 164 878,6 094 480,83 846 989,85 574 061,99 500 416,92 659 478,1 365 812 136
RSS 06  Montréal,253 214 790,3 247 757 160,520 411 763,84 001 337,1 159 627 665,272 460 370,166 420 927,40 079 814,313 906 546,541 887 007,606 002 190,715 532 926,7 921 302 495
RSS 07  Outaouais,40 132 088,301 273 465,55 122 554,15 995 221,141 785 828,40 559 551,29 853 277,4 897 791,56 262 851,49 047 455,64 768 233,54 463 167,854 161 480
RSS 08  Abitibi-Témiscamingue,23 284 297,136 282 107,23 648 227,9 472 149,87 576 761,28 468 978,17 036 940,4 138 623,51 533 734,33 295 726,35 089 226,31 920 308,481 747 076
RSS 09  Côte-Nord,21 314 023,113 724 031,16 487 110,8 241 093,54 617 098,15 368 384,10 524 977,2 853 053,27 186 815,24 752 645,29 003 117,29 396 632,353 468 978
RSS 10  Nord-du-Québec,5 453 036,23 531 727,2 419 869,2 748 651,7 689 674,609 590,802 790,468 003,2 486 129,7 236 642,4 823 616,4 499 971,62 769 698
RSS 11  Gaspésie--Îles-de-la-Madeleine,20 492 718,107 474 064,19 408 757,7 378 177,64 570 616,20 023 229,11 483 230,2 886 615,22 178 159,21 474 571,29 339 358,26 742 293,353 451 788
RSS 12  Chaudière-Appalaches,52 633 722,293 765 893,59 039 794,15 870 377,206 163 681,64 935 288,32 499 835,7 713 484,60 649 521,70 862 421,75 518 169,65 653 870,1 005 306 056
RSS 13  Laval,39 775 797,352 018 231,45 584 995,13 221 654,157 420 726,51 659 910,25 425 340,4 748 192,61 347 254,39 892 320,58 422 067,47 961 856,897 478 341
RSS 14  Lanaudière,46 507 996,268 531 558,59 013 088,18 403 657,200 471 691,50 312 690,27 880 656,5 581 187,73 545 432,60 829 404,62 830 121,72 726 567,946 634 048
RSS 15  Laurentides,49 330 729,359 494 266,76 445 851,18 653 225,220 233 045,66 672 658,43 835 833,5 715 378,97 818 670,56 913 851,85 496 152,78 091 680,1 158 701 338
RSS 16  Montérégie ,109 420 586,928 806 135,154 171 776,41 815 950,542 584 265,176 882 863,102 724 691,15 577 502,177 116 576,159 760 364,185 612 932,196 415 064,2 790 888 704
RSS 17  Nunavik,33 367 054,98 871 207,8 194 996,12 919 082,9 131 019,3 725 786,336 051,927 400,49 947 037,29 126 502,12 625 019,24 160 458,283 331 611
RSS 18  Terres-Cries-de-la-Baie-James,14 711 925,132 055 888,4 012 320,2 057 649,5 296 294,48 776,7 631 253,491 801,19 355 588,36 999 170,8 503 142,26 298 687,257 462 494
TOTAL QUÉBEC,1 008 072 362,9 012 745 701,1 444 488 465,349 841 943,3 965 909 324,1 100 457 974,711 216 992,134 913 832,1 408 340 286,1 561 590 176,1 763 612 023,1 854 577 798,24 315 766 875
