Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,31 289 473,234 656 404,33 537 324,8 483 541,101 066 442,33 463 274,22 957 508,2 535 387,34 592 634,42 995 258,45 468 512,43 506 618,634 552 375
RSS 02  Saguenay--Lac-Saint-Jean,39 586 661,309 892 268,46 374 866,14 858 772,117 354 517,46 437 165,29 323 359,5 212 950,57 370 046,50 334 283,60 891 678,55 806 382,833 442 947
RSS 03  Capitale-Nationale,93 324 739,1 041 687 859,165 673 202,25 462 852,347 278 621,102 272 401,87 729 612,11 320 223,104 688 803,157 422 490,185 971 039,191 396 470,2 514 228 312
RSS 04  Mauricie et Centre-du-Québec,63 973 594,435 452 191,76 861 737,23 323 171,268 055 485,75 364 202,44 648 307,11 255 502,96 038 584,86 294 663,94 104 482,88 509 510,1 363 881 428
RSS 05  Estrie,59 601 523,505 316 517,62 786 856,20 165 009,227 828 460,39 446 911,36 219 810,6 003 124,77 573 864,81 220 979,96 914 337,92 606 557,1 305 683 946
RSS 06  Montréal,236 506 015,3 059 655 405,485 889 198,73 675 960,1 082 447 946,260 593 258,151 078 190,37 496 482,302 322 169,518 790 152,592 669 584,679 626 676,7 480 751 035
RSS 07  Outaouais,38 281 330,286 264 250,53 230 618,14 465 673,130 843 519,39 697 588,27 794 850,4 570 056,54 373 392,47 110 973,61 277 264,53 936 121,811 845 635
RSS 08  Abitibi-Témiscamingue,21 939 072,126 962 153,22 960 721,9 498 850,79 549 316,27 574 794,16 271 813,3 841 959,27 921 724,33 505 209,34 320 415,31 092 815,435 438 842
RSS 09  Côte-Nord,20 243 226,104 928 696,15 454 389,6 978 535,50 885 651,14 355 143,10 476 643,2 648 996,26 059 821,23 383 034,28 018 685,28 799 668,332 232 487
RSS 10  Nord-du-Québec,5 599 691,22 260 471,2 420 825,2 599 807,6 760 502,644 336,795 468,465 594,2 299 712,7 245 221,5 007 828,4 376 288,60 475 743
RSS 11  Gaspésie--Îles-de-la-Madeleine,20 326 089,102 293 540,18 668 148,6 612 811,60 932 150,19 997 136,11 051 995,2 756 919,19 998 408,20 921 488,28 469 266,25 546 300,337 574 249
RSS 12  Chaudière-Appalaches,48 317 881,276 602 848,55 510 189,14 892 264,187 252 144,61 736 824,31 162 917,6 748 051,55 965 795,65 542 659,71 926 938,62 834 416,938 492 926
RSS 13  Laval,39 443 894,327 093 547,41 951 855,12 225 086,149 346 251,46 324 553,25 980 773,4 429 024,58 601 033,41 242 352,56 029 354,47 503 005,850 170 727
RSS 14  Lanaudière,43 073 947,252 465 895,54 773 505,16 830 225,179 609 760,46 601 640,28 497 966,5 182 198,68 852 010,51 928 255,60 758 998,71 728 842,880 303 241
RSS 15  Laurentides,47 045 724,336 977 322,71 821 319,17 728 824,202 348 176,62 173 676,40 873 606,5 726 962,92 598 989,62 155 922,80 262 245,69 897 035,1 089 609 799
RSS 16  Montérégie ,101 843 278,850 665 550,141 023 985,39 898 455,498 192 827,166 445 573,89 193 503,14 648 121,170 232 177,153 268 649,177 002 163,184 434 606,2 586 848 887
RSS 17  Nunavik,29 705 029,90 842 466,5 820 941,13 682 988,9 282 719,4 156 303,291 350,440 702,44 575 548,25 788 664,11 691 288,21 783 445,258 061 443
RSS 18  Terres-Cries-de-la-Baie-James,12 466 106,120 069 061,3 335 800,2 162 439,4 030 578,44 421,7 072 150,408 671,18 711 898,30 783 541,8 093 267,23 671 792,230 849 724
TOTAL QUÉBEC,952 567 272,8 484 086 443,1 358 095 478,323 545 263,3 703 065 066,1 047 329 200,661 419 818,125 690 918,1 312 776 608,1 499 933 792,1 698 877 343,1 777 056 546,22 944 443 746
