Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,30 846 863,212 950 944,32 464 675,9 338 664,99 653 449,31 738 162,20 492 936,2 716 288,33 819 399,37 619 996,43 651 521,41 898 395,597 191 292
RSS 02  Saguenay--Lac-Saint-Jean,35 266 008,264 500 325,45 319 047,14 947 802,110 113 245,45 529 871,28 180 387,4 825 817,50 385 848,48 480 227,57 977 550,53 605 259,759 131 387
RSS 03  Capitale-Nationale,82 742 067,973 744 597,155 249 367,25 544 996,317 829 887,95 059 466,80 504 038,10 753 062,97 721 720,140 672 753,178 119 558,190 433 585,2 348 375 096
RSS 04  Mauricie et Centre-du-Québec,55 297 279,399 029 744,72 029 001,24 014 934,254 508 423,73 043 597,40 946 592,9 949 648,85 385 582,75 310 263,94 575 353,84 421 126,1 268 511 541
RSS 05  Estrie,53 289 225,461 514 907,59 948 135,19 103 472,205 762 232,37 116 408,33 918 113,4 687 496,61 131 742,73 101 277,90 952 228,85 179 274,1 185 704 509
RSS 06  Montréal,181 346 490,2 904 583 743,470 402 398,68 410 090,951 998 098,248 165 295,147 087 239,31 159 299,299 363 929,466 932 704,562 085 667,607 719 534,6 939 254 486
RSS 07  Outaouais,33 244 377,267 602 772,45 520 007,13 523 067,117 043 816,36 123 791,28 218 733,4 949 824,50 184 999,43 007 727,54 595 828,53 234 648,747 249 589
RSS 08  Abitibi-Témiscamingue,21 156 155,135 450 588,22 260 629,9 492 313,66 175 020,24 560 209,15 332 893,3 769 208,30 175 127,29 380 496,33 226 345,30 485 493,421 464 476
RSS 09  Côte-Nord,20 348 145,109 234 905,14 082 290,6 838 516,43 556 603,15 759 124,9 422 730,2 680 858,23 861 928,24 129 063,26 788 885,27 321 633,324 024 680
RSS 10  Nord-du-Québec,5 616 900,25 639 940,2 211 334,2 206 827,6 210 133,696 051,628 481,454 892,1 954 410,6 896 027,4 886 523,4 128 976,61 530 494
RSS 11  Gaspésie--Îles-de-la-Madeleine,20 781 143,111 085 685,16 618 458,6 518 470,53 988 557,19 524 307,11 182 504,3 743 651,18 019 170,19 085 030,26 999 727,25 241 119,332 787 823
RSS 12  Chaudière-Appalaches,42 170 505,259 262 737,51 102 691,17 161 231,167 834 426,62 207 853,28 544 859,6 977 114,53 796 671,55 669 689,68 001 869,60 913 653,873 643 298
RSS 13  Laval,30 120 179,224 604 042,39 651 001,11 594 946,134 418 480,43 573 423,25 143 984,4 311 668,58 641 543,39 061 967,53 678 090,44 975 034,709 774 357
RSS 14  Lanaudière,38 502 008,257 430 591,54 302 665,15 703 460,164 348 864,43 911 788,28 419 671,4 183 571,64 673 476,45 886 927,57 071 645,66 095 738,840 530 406
RSS 15  Laurentides,43 829 375,345 629 305,66 797 945,17 290 790,184 737 055,60 416 303,35 738 564,5 149 518,83 193 335,59 032 938,75 706 544,65 097 014,1 042 618 686
RSS 16  Montérégie ,92 794 584,774 384 225,131 725 100,39 048 674,448 675 478,155 894 359,77 797 340,13 306 886,171 675 276,127 722 470,160 404 895,171 774 628,2 365 203 914
RSS 17  Nunavik,26 079 015,73 120 753,3 050 343,7 649 453,8 070 024,3 237 659,315 331,68 093,39 911 331,21 076 170,10 499 453,20 030 283,213 107 908
RSS 18  Terres-Cries-de-la-Baie-James,6 266 087,110 302 571,25 156,1 336 260,3 234 987,57 859,7 022 147,0,15 704 863,23 745 510,6 508 187,26 841 527,201 045 154
TOTAL QUÉBEC,819 696 405,7 910 072 374,1 282 760 243,309 723 965,3 338 158 777,996 615 528,618 896 540,113 686 892,1 239 600 351,1 336 811 234,1 605 729 868,1 659 396 919,21 231 149 096
