ï»¿Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,43 188 783,281 094 127,40 794 724,11 157 070,167 584 782,39 993 820,37 634 938,4 108 074,48 445 003,51 626 158,55 306 354,47 813 160,828 746 993
RSS 02  Saguenay-Lac-Saint-Jean,51 535 511,374 577 425,56 353 255,15 389 366,164 198 737,54 558 850,41 324 668,5 752 795,75 320 813,55 557 604,70 785 635,57 565 666,1 022 920 324
RSS 03  Capitale-Nationale,132 319 133,1 270 934 689,193 410 054,37 899 891,457 390 107,122 554 886,131 639 400,14 419 345,143 174 017,186 865 397,237 900 507,199 928 332,3 128 435 758
RSS 04  Mauricie-et-Centre-du-Quebec,87 384 380,511 159 554,99 924 894,29 715 193,379 516 008,89 369 307,62 640 065,17 216 853,137 745 344,103 657 834,120 309 421,100 195 708,1 738 834 561
RSS 05  Estrie,81 791 924,614 470 504,90 108 134,30 361 987,320 374 867,49 758 595,55 490 096,7 325 902,119 263 298,108 499 344,120 300 465,105 984 404,1 703 729 519
RSS 06  Montreal,329 216 708,3 763 594 703,599 041 116,122 221 033,1 491 620 333,333 810 625,240 570 471,46 643 203,367 417 613,677 623 305,690 218 448,773 257 533,9 435 235 090
RSS 07  Outaouais,59 177 179,354 004 259,74 840 182,20 190 211,208 877 498,52 505 853,43 511 737,8 377 329,70 035 611,65 662 399,81 565 661,77 772 230,1 116 520 149
RSS 08  Abitibi-Temiscamingue,29 993 127,166 053 808,32 784 029,11 123 381,126 084 869,33 043 477,22 207 404,5 949 292,57 005 016,40 500 971,39 973 398,36 454 619,601 173 392
RSS 09  Cote-Nord,28 727 688,149 381 925,25 779 503,9 892 825,89 253 658,19 444 841,14 385 980,4 337 871,39 522 192,30 862 947,33 872 628,30 225 748,475 687 805
RSS 10  Nord-du-Quebec,6 114 202,26 523 973,2 867 930,3 453 014,10 400 731,928 502,829 290,661 713,2 842 869,7 200 567,5 359 317,4 841 694,72 023 803
RSS 11  Gaspesie-Iles-de-la-Madeleine,28 882 443,129 817 280,22 705 927,28 404 483,85 681 895,22 425 160,15 582 312,4 170 548,30 155 235,26 177 155,32 854 494,26 599 892,453 456 823
RSS 12  Chaudiere-Appalaches,65 586 518,363 492 778,68 479 203,21 064 136,275 463 467,72 943 011,44 287 168,9 894 905,80 559 089,82 962 149,92 078 767,67 914 972,1 244 726 163
RSS 13  Laval,54 349 901,444 238 291,56 084 403,19 172 387,231 394 176,60 019 417,37 147 563,6 352 056,75 321 026,48 111 233,70 645 626,48 818 205,1 151 654 283
RSS 14  Lanaudiere,61 029 423,311 764 437,68 537 543,25 786 149,266 833 744,70 205 895,36 059 860,6 693 474,100 788 849,75 851 927,74 480 455,64 994 408,1 163 026 165
RSS 15  Laurentides,70 039 166,446 883 176,98 161 252,27 027 645,300 295 178,86 675 107,66 764 376,8 403 414,136 931 069,72 092 699,106 461 347,97 737 197,1 517 471 625
RSS 16  Monteregie,149 388 190,1 104 681 518,210 720 936,59 512 866,756 010 747,235 422 770,139 802 847,21 501 583,226 420 145,201 141 102,227 601 426,215 999 112,3 548 203 241
RSS 17  Nunavik,33 873 442,95 269 493,10 353 435,25 723 288,11 058 880,2 778 626,274 081,2 329 965,63 236 540,35 352 563,13 662 269,29 887 647,323 800 228
RSS 18  Terres-Cries-de-la-Baie-James,8 036 616,133 188 622,2 510 514,4 928 889,7 081 201,823 977,7 432 647,,27 162 870,46 198 431,10 861 201,23 277 081,271 502 050
TOTAL QUEBEC,1 320 634 334,10 541 130 561,1 753 457 033,503 023 813,5 349 120 879,1 347 262 718,997 584 902,174 138 321,1 801 346 598,1 915 943 785,2 084 237 419,2 009 267 608,29 797 147 972
Pourcentage,4.43%,35.38%,5.88%,1.69%,17.95%,4.52%,3.35%,0.58%,6.05%,6.43%,6.99%,6.74%,100.00%
