Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TED,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration_et_soutien_aux_services,Gestion_des_batiments,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,25 101 425,200 831 120,31 345 992,9 644 154,98 229 558,29 489 127,18 263 911,2 331 881,30 511 640,81 710 703,41 864 102,569 323 613
RSS 02  Saguenay--Lac-Saint-Jean,28 025 125,256 096 546,41 515 291,14 045 419,96 132 362,44 563 415,24 496 160,4 896 376,45 213 783,103 493 709,52 922 625,711 400 812
RSS 03  Capitale-Nationale,70 444 002,906 445 430,155 487 055,27 580 299,288 690 935,90 038 171,79 586 213,10 694 125,87 084 663,321 992 504,192 574 259,2 230 617 655
RSS 04  Mauricie et Centre-du-Québec,47 079 300,371 808 296,67 224 331,25 976 846,225 530 074,62 893 117,39 836 276,9 629 588,76 868 535,168 336 988,84 661 132,1 179 844 483
RSS 05  Estrie,32 645 133,331 797 375,42 594 074,14 728 246,129 266 420,29 271 301,26 074 312,3 393 285,47 166 686,133 252 994,70 719 144,860 908 970
RSS 06  Montréal,167 593 860,2 756 244 612,455 968 380,73 971 682,890 679 980,233 189 429,144 810 569,29 022 881,294 030 737,1 044 913 744,581 488 354,6 671 914 229
RSS 07  Outaouais,29 322 787,255 874 426,45 784 730,14 460 639,101 099 973,30 314 534,25 560 025,4 752 771,45 005 115,101 427 662,52 305 808,705 908 471
RSS 08  Abitibi-Témiscamingue,18 677 364,131 394 627,21 024 096,9 136 544,60 777 180,23 162 264,14 179 858,3 532 849,25 836 150,63 807 728,29 912 909,401 441 568
RSS 09  Côte-Nord,18 279 475,108 429 298,12 445 185,6 505 424,38 137 025,14 460 465,7 872 984,2 621 547,22 059 408,49 739 330,27 231 435,307 781 576
RSS 10  Nord-du-Québec,5 193 766,24 511 798,2 043 775,2 476 657,5 277 475,610 865,918 626,334 799,1 694 681,11 478 638,4 592 827,59 133 908
RSS 11  Gaspésie--Îles-de-la-Madeleine,16 575 608,106 942 273,16 165 703,9 085 477,52 355 700,16 394 578,10 431 489,3 071 165,16 833 650,51 044 861,25 228 577,324 129 081
RSS 12  Chaudière-Appalaches,37 430 769,248 441 182,49 510 758,16 682 725,154 613 449,55 494 783,25 874 951,6 748 641,51 387 395,124 150 926,60 474 844,830 810 423
RSS 13  Laval,22 057 591,206 946 079,29 759 901,13 722 209,117 747 062,37 707 642,23 402 159,4 269 682,55 540 394,87 213 476,40 965 872,639 332 067
RSS 14  Lanaudière,32 120 266,226 840 279,50 857 982,15 869 861,155 430 375,39 588 776,22 596 003,3 909 644,62 605 533,100 021 555,66 989 317,776 829 593
RSS 15  Laurentides,39 006 582,317 650 923,57 840 066,17 373 857,162 268 530,56 153 084,28 494 145,5 006 984,73 545 008,137 631 991,61 649 674,956 620 844
RSS 16  Montérégie,95 899 685,797 002 234,133 726 360,49 779 014,449 473 138,140 294 912,72 329 443,12 859 621,158 998 572,326 421 068,183 179 004,2 419 963 052
RSS 17  Nunavik,25 738 143,55 302 634,24 304,2 923 700,10 149 791,4 397 208,603 121,,25 494 547,22 856 060,18 150 849,165 640 357
RSS 18  Terres-Cries-de-la-Baie-James,24 608 208,78 424 242,770 906,1 872 062,3 196 459,57 083,6 551 018,,15 062 727,22 103 486,6 471 047,159 117 238
TOTAL QUÉBEC,735 799 090,7 380 983 373,1 214 088 889,325 834 816,3 039 055 487,908 080 755,571 881 266,107 075 839,1 134 939 223,2 951 597 423,1 601 381 779,19 970 717 940
