Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,27 429 331,210 405 400,32 681 729,9 921 939,100 894 416,33 147 304,20 125 686,2 760 338,33 519 475,37 566 923,43 724 028,42 712 660,594 889 229
RSS 02  Saguenay--Lac-Saint-Jean,31 835 645,264 423 597,44 953 570,14 860 270,110 945 256,46 168 370,27 761 507,5 091 299,48 062 049,45 225 720,58 673 872,52 810 094,750 811 249
RSS 03  Capitale-Nationale,75 578 310,966 734 145,161 166 510,28 139 954,301 962 392,97 496 483,83 342 720,11 194 253,96 330 608,141 522 622,182 508 041,190 566 516,2 336 542 554
RSS 04  Mauricie et Centre-du-Québec,53 377 206,391 571 170,70 951 299,25 899 222,249 742 079,70 134 206,42 361 997,10 055 317,81 985 112,75 773 042,96 639 639,90 702 200,1 259 192 489
RSS 05  Estrie,36 963 799,352 001 637,45 208 580,14 989 947,144 128 554,34 862 299,28 196 305,4 056 424,53 113 344,65 301 232,70 648 123,71 871 491,921 341 736
RSS 06  Montréal,172 577 262,2 855 575 114,477 331 223,79 032 655,946 935 783,250 203 036,156 609 927,31 523 133,300 995 339,437 955 655,579 806 698,586 792 131,6 875 337 955
RSS 07  Outaouais,31 171 104,264 511 968,46 420 827,13 706 214,116 709 178,36 280 197,27 823 076,4 967 635,49 914 471,41 982 970,55 905 738,52 140 340,741 533 716
RSS 08  Abitibi-Témiscamingue,19 961 525,134 761 494,21 815 521,9 031 101,68 496 156,25 028 034,15 275 542,3 610 350,30 695 032,31 595 469,35 034 108,31 890 287,427 194 618
RSS 09  Côte-Nord,19 349 208,113 773 497,13 108 648,7 041 791,42 773 277,15 602 870,9 146 780,2 864 960,22 436 393,23 865 448,27 737 708,27 691 702,325 392 282
RSS 10  Nord-du-Québec,5 141 801,25 036 528,2 189 203,3 044 356,5 731 090,556 074,569 734,423 631,2 080 663,7 023 567,4 821 778,4 700 981,61 319 406
RSS 11  Gaspésie--Îles-de-la-Madeleine,19 190 478,112 085 892,16 129 347,8 261 770,56 438 924,19 056 537,11 779 873,3 190 844,17 785 055,22 842 569,27 789 459,25 513 811,340 064 559
RSS 12  Chaudière-Appalaches,40 669 723,257 028 154,52 028 103,17 976 871,163 849 618,62 513 859,28 572 043,7 075 827,52 527 335,53 343 255,68 823 108,63 618 629,868 026 526
RSS 13  Laval,26 482 195,221 707 838,34 492 784,13 742 532,128 234 550,43 494 805,24 488 252,4 464 130,58 442 773,39 051 104,53 346 592,43 100 348,691 047 905
RSS 14  Lanaudière,36 839 512,257 613 038,53 011 032,15 257 510,162 687 364,44 659 516,25 347 423,4 271 548,64 317 767,40 743 776,60 356 431,65 670 536,830 775 453
RSS 15  Laurentides,40 516 372,334 867 715,62 805 489,17 966 580,183 633 119,60 387 033,36 901 154,5 359 910,81 309 760,63 357 664,76 767 980,64 760 717,1 028 633 493
RSS 16  Montérégie,104 696 081,863 616 662,146 256 542,49 169 833,500 412 276,156 312 804,78 579 296,13 884 607,169 879 584,146 671 225,184 856 135,187 292 539,2 601 627 584
RSS 17  Nunavik,28 802 331,59 049 109,132 692,3 471 958,10 908 680,4 507 871,672 520,,33 788 987,14 881 631,10 147 783,20 036 672,186 400 234
RSS 18  Terres-Cries-de-la-Baie-James,5 517 884,98 608 664,1 042 149,1 729 584,3 131 207,56 012,6 872 194,,16 008 701,12 532 709,6 953 218,27 747 874,180 200 195
TOTAL QUÉBEC,776 099 769,7 783 371 623,1 281 725 247,333 244 086,3 297 613 916,1 000 467 310,624 426 028,114 794 206,1 213 192 450,1 301 236 581,1 644 540 439,1 649 619 528,21 020 331 184
