ï»¿Annee,Dette_nette_$,Dette_nette_%
"2023-2024",211 154 000 000,38.6
"2022-2023",205 874 000 000,38.6
"2021-2022",198 564 000 000,39.9
"2020-2021",190 245 000 000,42.4
"2019-2020",183 817 000 000,39.9
"2018-2019",184 535 000 000,42.0
"2017-2018",188 130 000 000,44.9
"2016-2017",191 441 000 000,48.0
"2015-2016",194 496 000 000,50.2
"2014-2015",194 970 000 000,51.7
"2013-2014",192 028 000 000,52.5
"2012-2013",188 211 000 000,53.0
"2011-2012",175 259 000 000,50.7
"2010-2011",159 333 000 000,48.4
"2009-2010",151 608 000 000,48.0
"2008-2009",134 237 000 000,42.6
"2007-2008",124 681 000 000,40.6
"2006-2007",124 297 000 000,42.6
"2005-2006",104 683 000 000,37.2
"2004-2005",99 042 000 000,36.3
"2003-2004",97 025 000 000,37.3
"2002-2003",95 601 000 000,38.2
"2001-2002",92 772 000 000,38.8
"2000-2001",88 208 000 000,38.2
"1999-2000",89 162 000 000,41.3
"1998-1999",88 810 000 000,44.2
"1997-1998",88 597 000 000,45.8
"1996-1997",64 833 000 000,35.0
"1995-1996",61 624 000 000,33.9
"1994-1995",57 677 000 000,33.0
"1993-1994",51 837 000 000,31.4
"1992-1993",46 914 000 000,29.1
"1991-1992",41 885 000 000,26.5
"1990-1991",37 558 000 000,24.0
"1989-1990",34 583 000 000,22.9
"1988-1989",32 819 000 000,22.8
"1987-1988",31 115 000 000,23.6
"1986-1987",28 716 000 000,23.9
"1985-1986",25 735 000 000,23.3
"1984-1985",21 455 000 000,20.8
"1983-1984",17 298 000 000,18.3
"1982-1983",15 038 000 000,17.2
"1981-1982",12 569 000 000,15.2
"1980-1981",14 326 000 000,19.2
"1979-1980",10 836 000 000,16.2
"1978-1979",8 460 000 000,14.2
"1977-1978",7 058 000 000,13.1
"1976-1977",6 353 000 000,13.0
"1975-1976",5 044 000 000,12.1
