ï»¿NUMEROZONE,AFFECTATION,USAGE,MISEAJOUR,LONGITUDE,LATITUDE
A1-155,Agricole,Agricole,2015-06-03,-73.50075954721072,45.77456962637105
P1-091,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-07-10,-73.43960455524775,45.7378794902808
H1-072,Habitation,Habitation unifamiliale,2015-06-03,-73.4629702424185,45.73502916128573
A1-196,Agricole,Agricole,2015-06-03,-73.48241158462201,45.768911910320284
H1-406,Habitation,Habitation unifamiliale,2015-06-03,-73.41132631290935,45.779025252010285
H1-158,Habitation,Habitation unifamiliale,2015-06-03,-73.43615732542871,45.743395951740624
H1-068,Habitation,Habitation unifamiliale,2015-06-03,-73.474374864203,45.739168577759905
H1-053,Habitation,Habitation unifamiliale,2015-06-03,-73.47756482347809,45.73234289039917
H1-013,Habitation,Habitation unifamiliale,2015-06-03,-73.48106456634655,45.72384980059426
H1-115,Habitation,Habitation unifamiliale,2015-06-03,-73.46512846249367,45.74583733979101
H1-352,Habitation,Habitation unifamiliale,2015-06-03,-73.44482492273214,45.77671858449817
C3-189,Commerciale,Commerce rÃ©gional,2015-06-03,-73.44984788008807,45.751376605089064
P2-297,Communautaire,Communautaire,2015-06-03,-73.43494244177305,45.76236349498555
P2-192,Communautaire,Communautaire,2015-06-03,-73.47771626123854,45.76203412305666
H1-095,Habitation,Habitation unifamiliale,2015-06-03,-73.45560562555102,45.73629329137414
H1-288,Habitation,Habitation unifamiliale,2015-06-03,-73.46632128603548,45.774514489398044
H1-266,Habitation,Habitation unifamiliale,2015-06-03,-73.45964321263102,45.764870855592385
H1-105,Habitation,Habitation unifamiliale,2015-06-03,-73.45210187134256,45.73774171466715
H1-043,Habitation,Habitation unifamiliale,2015-06-03,-73.48110978561171,45.73215164717118
H1-367,Habitation,Habitation unifamiliale,2015-06-03,-73.44310788958536,45.77886785562186
H1-188,Habitation,Habitation unifamiliale,2015-06-03,-73.46999072260311,45.75799858407164
H1-368,Habitation,Habitation unifamiliale,2015-06-03,-73.43514777037196,45.77790814164324
H1-426,Habitation,Habitation unifamiliale,2015-06-03,-73.40771569973617,45.78246344136675
H1-089,Habitation,Habitation unifamiliale,2015-06-03,-73.47303347708288,45.74567106252064
H1-006,Habitation,Habitation unifamiliale,2015-06-03,-73.47385499600587,45.712701228892456
H1-216,Habitation,Habitation unifamiliale,2015-06-03,-73.46665428767452,45.76000983948274
H1-404,Habitation,Habitation unifamiliale,2015-06-03,-73.42261311196422,45.78431589722223
P1-064,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-07-10,-73.45614565256412,45.72675516000904
H1-067,Habitation,Habitation unifamiliale,2015-06-03,-73.4714893071425,45.73473845903283
H1-399,Habitation,Habitation unifamiliale,2015-06-03,-73.43383747290217,45.785552655511
H1-285,Habitation,Habitation unifamiliale,2015-06-03,-73.45573879040961,45.7683220826121
H1-326,Habitation,Habitation unifamiliale,2015-06-03,-73.46333409582888,45.77765910735612
C3-135,Commerciale,Commerce rÃ©gional,2015-06-03,-73.46330541824112,45.74773744895681
H1-181,Habitation,Habitation unifamiliale,2015-06-03,-73.47044672557092,45.755800788426704
H3-425,Habitation,Habitation multifamiliale,2015-06-03,-73.41224205313992,45.78761708552956
C3-191,Commerciale,Commerce rÃ©gional,2015-06-03,-73.45114272253106,45.75276178834979
H1-173,Habitation,Habitation unifamiliale,2015-06-03,-73.44288303403734,45.74366358255249
H1-381,Habitation,Habitation unifamiliale,2015-06-03,-73.4412898013975,45.78268860901352
H1-388,Habitation,Habitation unifamiliale,2015-06-03,-73.43968213951827,45.78664670283888
I1-137,Industrielle,Industrie,2015-06-03,-73.48538761492024,45.757984772381405
C3-227,Commerciale,Commerce rÃ©gional,2015-06-03,-73.44207979780583,45.75244685414649
C3-184,Commerciale,Commerce rÃ©gional,2015-06-03,-73.44797590734062,45.750531167030765
H1-073,Habitation,Habitation unifamiliale,2015-06-03,-73.4537591696218,45.729134301249466
C3-245,Commerciale,Commerce rÃ©gional,2015-06-03,-73.44540574465258,45.754762751359905
H3-299,Habitation,Habitation multifamiliale,2015-06-03,-73.42338758341216,45.75536623811183
I1-130,Industrielle,Industrie,2015-06-03,-73.48431508951421,45.75637603408148
C4-083,Commerciale,Ambiance,2015-06-03,-73.45013539687524,45.73114747990747
C3-171,Commerciale,Commerce rÃ©gional,2015-06-03,-73.4853174600459,45.76031488246718
H1-270,Habitation,Habitation unifamiliale,2015-06-03,-73.46476423770032,45.772086611436755
C3-319,Commerciale,Commerce rÃ©gional,2015-06-03,-73.44495985176626,45.768318005461076
H1-354,Habitation,Habitation unifamiliale,2015-06-03,-73.42933883893645,45.76892437898817
I1-149,Industrielle,Industrie,2015-06-03,-73.48369473951193,45.75846559964915
C3-229,Commerciale,Commerce rÃ©gional,2015-06-03,-73.44379701722544,45.7524847438825
H1-214,Habitation,Habitation unifamiliale,2015-06-03,-73.4637433965209,45.75805474132126
H1-394,Habitation,Habitation unifamiliale,2015-06-03,-73.43622790387737,45.78479581909189
H3-345,Habitation,Habitation multifamiliale,2015-06-03,-73.42720181691926,45.767303370291
C4-186,Commerciale,Ambiance,2015-06-03,-73.4394039727156,45.74396194369223
H1-183,Habitation,Habitation unifamiliale,2015-06-03,-73.44285395558992,45.74441048553761
H1-420,Habitation,Habitation unifamiliale,2015-06-03,-73.41086624192152,45.78192702856735
H1-435,Habitation,Habitation unifamiliale,2015-06-03,-73.4032289111941,45.78534598672756
H1-243,Habitation,Habitation unifamiliale,2015-06-03,-73.47555462673792,45.76803069658007
H1-382,Habitation,Habitation unifamiliale,2015-06-03,-73.43729328173252,45.78148860016705
C5-045,Commerciale,Grande surface,2015-06-03,-73.4877496726789,45.73268178322117
H1-218,Habitation,Habitation unifamiliale,2015-06-03,-73.46935080503792,45.7607283178416
H2-302,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.4653104658406,45.77630389105395
H3-292,Habitation,Habitation multifamiliale,2015-06-03,-73.4240245214007,45.75481111872095
C3-437,Commerciale,Commerce rÃ©gional,2015-06-03,-73.4163759147732,45.791749802997366
H1-335,Habitation,Habitation unifamiliale,2015-06-03,-73.4459317043237,45.77116579560683
H1-134,Habitation,Habitation unifamiliale,2015-06-03,-73.44363810618289,45.73926474224626
I1-049,Industrielle,Industrie,2015-06-03,-73.4915804314754,45.73462362257666
H1-163,Habitation,Habitation unifamiliale,2015-06-03,-73.47216313140719,45.75452080543975
H1-402,Habitation,Habitation unifamiliale,2015-06-03,-73.42882640963178,45.783789945266406
C3-442,Commerciale,Commerce rÃ©gional,2015-06-03,-73.41447851465716,45.7928707947969
H1-220,Habitation,Habitation unifamiliale,2015-06-03,-73.4791681116829,45.76548429441779
H1-400,Habitation,Habitation unifamiliale,2015-06-03,-73.4367651414301,45.78701914345617
H3-078,Habitation,Habitation multifamiliale,2015-06-03,-73.45227641915703,45.73036906584292
H3-199,Habitation,Habitation multifamiliale,2015-06-03,-73.46673373796185,45.756864915850834
H1-239,Habitation,Habitation unifamiliale,2015-06-03,-73.47361222261962,45.766060183271925
P4-139,Communautaire,Communautaire religieux,2015-06-03,-73.47156654488302,45.75170197809459
H3-200,Habitation,Habitation multifamiliale,2015-06-03,-73.4804919790574,45.763214637979026
H3-055,Habitation,Habitation multifamiliale,2015-06-03,-73.46052699756063,45.72394360038522
H1-330,Habitation,Habitation unifamiliale,2015-06-03,-73.45865293896618,45.77546505512929
C2-439,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.40718399307346,45.78790793658742
H1-308,Habitation,Habitation unifamiliale,2015-06-03,-73.4580891368418,45.77271404909371
P1-361,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.44141907225166,45.776318093235446
P2-019,Communautaire,Communautaire,2015-06-03,-73.4755362435464,45.71857966477719
H3-294,Habitation,Habitation multifamiliale,2015-06-03,-73.46890515131784,45.776431356669924
H2-349,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.43851940612687,45.770911320820154
H3-276,Habitation,Habitation multifamiliale,2015-06-03,-73.47242080619051,45.77391311965949
H1-414,Habitation,Habitation unifamiliale,2015-06-03,-73.42283888104903,45.78624624022523
H1-362,Habitation,Habitation unifamiliale,2015-06-03,-73.4360342519342,45.77434951249662
H1-327,Habitation,Habitation unifamiliale,2015-06-03,-73.45928394426184,45.77528195900129
H3-321,Habitation,Habitation multifamiliale,2015-06-03,-73.44785512151255,45.76940276552826
H1-106,Habitation,Habitation unifamiliale,2015-06-03,-73.4739642963101,45.746653971716405
C4-161,Commerciale,Ambiance,2015-06-03,-73.44185524506362,45.74172386656548
H1-265,Habitation,Habitation unifamiliale,2015-06-03,-73.44799081967531,45.760143225059664
H1-347,Habitation,Habitation unifamiliale,2015-06-03,-73.44083067270587,45.771597975959445
H1-201,Habitation,Habitation unifamiliale,2015-06-03,-73.48184642200864,45.76376313510363
H2-275,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.47155245453607,45.77376288510455
H3-207,Habitation,Habitation multifamiliale,2015-06-03,-73.48092734047873,45.765828255580594
H1-092,Habitation,Habitation unifamiliale,2015-06-03,-73.4493902143597,45.73358117415652
H1-413,Habitation,Habitation unifamiliale,2015-06-03,-73.4090036665962,45.77829884864023
C2-424,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.41267615397136,45.78452457206911
H4-254,Habitation,Habitation collective,2015-06-03,-73.45457876571388,45.7601631676019
H3-417,Habitation,Habitation multifamiliale,2015-06-03,-73.42121992187217,45.78596673127493
H3-157,Habitation,Habitation multifamiliale,2015-06-03,-73.4436182921475,45.74157108599622
C2-369,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.42352611075847,45.770491954163404
H3-087,Habitation,Habitation multifamiliale,2015-06-03,-73.45120008798318,45.73267297358689
H3-262,Habitation,Habitation multifamiliale,2015-06-03,-73.4456618069226,45.756782576866364
H1-193,Habitation,Habitation unifamiliale,2015-06-03,-73.4827075837967,45.762617385270985
H3-384,Habitation,Habitation multifamiliale,2015-06-03,-73.41972304032302,45.775199453070385
H1-348,Habitation,Habitation unifamiliale,2015-06-03,-73.43919462935011,45.771041331608835
C2-141,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.46609721388062,45.74982681988772
H1-038,Habitation,Habitation unifamiliale,2015-06-03,-73.47281613883453,45.72591340868907
C3-440,Commerciale,Commerce rÃ©gional,2015-06-03,-73.41432623454506,45.790942284808985
H2-247,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.47678747254176,45.76936986574852
H1-124,Habitation,Habitation unifamiliale,2015-06-03,-73.46756843261008,45.748303438099654
C2-397,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.41762359339833,45.77724185366677
H3-202,Habitation,Habitation multifamiliale,2015-06-03,-73.48425924157465,45.76428136289359
P3-113,Communautaire,Infrastructure de transport,2015-06-03,-73.44507492061311,45.73593973678736
H1-293,Habitation,Habitation unifamiliale,2015-06-03,-73.45658958996623,45.76998737337019
P3-061,Communautaire,Infrastructure de transport,2015-06-03,-73.48471073814547,45.736794415701
H1-415,Habitation,Habitation unifamiliale,2015-06-03,-73.41683575393105,45.783379008417036
H3-114,Habitation,Habitation multifamiliale,2015-06-03,-73.47572917638863,45.74943945110275
C3-008,Commerciale,Commerce rÃ©gional,2015-06-03,-73.47563435708314,45.71356435746495
H1-407,Habitation,Habitation unifamiliale,2015-06-03,-73.4045153467571,45.774104730007096
H3-242,Habitation,Habitation multifamiliale,2015-06-03,-73.47819672417172,45.76765423275737
H3-228,Habitation,Habitation multifamiliale,2015-06-03,-73.4771107415077,45.76592854421847
C6-249,Commerciale,Station-service,2015-06-03,-73.44664282630228,45.75583559931785
C2-187,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.44648923637935,45.745612037352934
C8-004,Commerciale,Bureau,2015-06-03,-73.47743116025978,45.7125404411332
H2-324,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.46078597885021,45.77516216491162
