,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour MARS 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"commande","d'approbation","l'engagement",,
,,,,,,
"BERGERON, GILLES","AVEC PLAISIRS TRAITEUR","948778",27/03/14,"185,64",,"FRAIS DE RÉCEPTION"
,"CENTAURECOM INC.","948234",27/03/14,"855,61",,"ÉVÉNEMENT PUBLIC"
,"COFELY SERVICES INC.","942037",07/03/14,"10 619,98",,"SERVICES TECHNIQUES"
,"INTELCOM EXPRESS","948913",27/03/14,"11,66",,"FRAIS DE POSTES"
,"MAGIC LIGHT (MC)","948237",27/03/14,"202,70",,"ÉVÉNEMENT PUBLIC"
,"PRODUITS SANY INC.","913054",03/03/14,"168,04",,"BIENS NON DURABLES"
,"PUROLATOR COURRIER LTEE","948475",27/03/14,"40,77",,"FRAIS DE POSTES"
,"QUINCAILLERIE COTE-DES-NEIGES","949001",28/03/14,"1 035,73",,"BIENS NON DURABLES"
"BOILEAU, LINDA","CHARLES BOIVIN","924637",07/03/14,"1 037,11",,"SERVICES TECHNIQUES"
,,"924681",21/03/14,"1 047,48",,"SERVICES TECHNIQUES"
,"ENTREPOT DE PRODUITS DE BUREAU EPB","945129",14/03/14,"358,84",,"FOURNITURES DE BUREAU"
,,"947190",21/03/14,"254,09",,"FOURNITURES DE BUREAU"
,"MARILYNE BARIL","944695",12/03/14,"239,57",,"BIENS NON DURABLES"
,"MINISTRE DES FINANCES","945976",18/03/14,"61,45",,"COTISATION PROFESSIONNELLE"
,,"945989",18/03/14,"61,45",,"COTISATION PROFESSIONNELLE"
,"NATHALIE ST-PIERRE.","942957",05/03/14,"259,28",,"CACHET D'ARTISTES"
,"PPG REVETEMENTS ARCHITECTURAUX CANADA INC.","942756",05/03/14,"53,67",,"BIENS NON DURABLES"
,"R.M. LEDUC & CIE INC.","943828",11/03/14,"1 965,85",,"FOURNITURES DE BUREAU"
,"ROULEAUX DE PAPIER & RUBANS J.L. INC.","943331",06/03/14,"655,45",,"FOURNITURES DE BUREAU"
,"SOCIETE DES MUSEES QUEBECOIS","942763",05/03/14,"135,30",,"COTISATION PROFESSIONNELLE"
,"TENAQUIP LIMITED","947433",21/03/14,"182,41",,"BIENS NON DURABLES"
"BROUSSEAU, HELENE","CPU DESIGN INC.","945848",17/03/14,"916,55",,"BIENS NON CAPITALISÉS"
,"DISCOVER COMMUNICATIONS INC","941245",05/03/14,"704,18",,"BIENS NON CAPITALISÉS"
"CHAMPOUX, MARTIN","CEGEP DU VIEUX MONTREAL","945875",18/03/14,"880,50",,"FORMATION"
,"CITE NISSAN","944142",20/03/14,"1 389,47",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
,"MP REPRODUCTIONS INC.","947961",26/03/14,"115,39",,"SERVICES TECHNIQUES"
,"SERVICES TOITURES HOGUE INC.","944568",13/03/14,"1 063,03",,"HONORAIRES PROFESSIONNELS"
,,"947368",26/03/14,"1 607,52",,"HONORAIRES PROFESSIONNELS"
"DULIEPRE, JEAN-FRANCOIS","LINDE CANADA LIMITEE","947460",27/03/14,"399,56",,"PRODUITS CHIMIQUES"
"DULIEPRE, JEAN-FRANCOIS","LOCATION SAUVAGEAU INC.","948464",27/03/14,"1 357,98",,"LOC. VEHICULES-OUTILLAGE-EQUIPEMENT"
,,"948469",27/03/14,"1 771,38",,"LOC. VEHICULES-OUTILLAGE-EQUIPEMENT"
,,"948472",27/03/14,"1 771,38",,"LOC. VEHICULES-OUTILLAGE-EQUIPEMENT"
,"PRODUITS SANY INC.","941377",12/03/14,"306,53",,"BIENS NON DURABLES"
,,"947724",27/03/14,"276,60",,"BIENS NON DURABLES"
,,"947731",27/03/14,"235,84",,"BIENS NON DURABLES"
,,"947736",27/03/14,"157,23",,"BIENS NON DURABLES"
,,"947746",27/03/14,"190,72",,"BIENS NON DURABLES"
"FORTIN, ALAIN","PNEUS SP INC.","941442",19/03/14,"355,11",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
"GAUDREAULT, SONIA","COMMISSION SCOLAIRE DE MONTREAL (CSDM)","944726",13/03/14,"5 775,65",,"LOCATION D'IMMEUBLE"
,"RONALD C. LISTER  CANADA INC.","942780",07/03/14,"161,79",,"BIENS NON DURABLES"
"GENDRON, DENIS","ACTUALITES COTE-DES-NEIGES INC.","944547",18/03/14,"9 333,96",,"PLACEMENTS MÉDIAS"
"GERVAIS, ROBERT","ACKLANDS - GRAINGER INC.","944389",12/03/14,"754,36",,"PIÈCES ET ACCESSOIRES"
,"ATTACHE CHATEAUGUAY INC","928853",03/03/14,"9,75",,"PIÈCES ET ACCESSOIRES"
,"CANADIAN TIRE","946298",20/03/14,"124,42",,"OUTILS"
,"CENTRE DE TELEPHONE MOBILE LTEE","945779",25/03/14,"92,30",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
,"CHAINES ET ELINGUES ST-PIERRE","947574",25/03/14,"311,13",,"PIÈCES ET ACCESSOIRES"
,"DISCOVER COMMUNICATIONS INC","943298",06/03/14,"84,01",,"TÉLÉPHONIE"
,"DISTRIBUTION BRUNET INC.","945473",17/03/14,"481,22",,"PIÈCES ET ACCESSOIRES"
,,"949112",28/03/14,"518,55",,"PIÈCES ET ACCESSOIRES"
,"DIV EQUIPEMENT DE SECURITE UNIVERSEL INC.","943011",12/03/14,"171,12",,"PIÈCES ET ACCESSOIRES"
,,"948838",28/03/14,"150,38",,"VÊTEMENT-CHAUSSURES & ACCESSOIRES"
,,"948975",28/03/14,"176,31",,"VÊTEMENT-CHAUSSURES & ACCESSOIRES"
,,"948982",28/03/14,"601,52",,"PIÈCES ET ACCESSOIRES"
,"HEWITT EQUIPEMENT LTEE","940051",25/03/14,"693,15",,"PIÈCES ET ACCESSOIRES"
,"HILTI CANADA LTEE","943814",17/03/14,"1 782,09",,"PIÈCES ET ACCESSOIRES"
,"J.B. DESCHAMPS INC.","945507",17/03/14,"18,67",,"SERVICES TECHNIQUES"
,"LABRADOR LAURENTIENNE","942250",04/03/14,"380,00",,"EAU REFROIDIE"
,"LES CONSTRUCTIONS CORDELLA (CANADA) LTEE","934466",17/03/14,"731,68",,"LOC. VEHICULES-OUTILLAGE-EQUIPEMENT"
"GERVAIS, ROBERT","LES MAGASINS COLLINS","927134",07/03/14,"137,20",,"VÊTEMENT-CHAUSSURES & ACCESSOIRES"
,,"946347",19/03/14,"221,20",,"VÊTEMENT-CHAUSSURES & ACCESSOIRES"
,"LINDE CANADA LIMITEE","944143",12/03/14,"251,39",,"PRODUITS CHIMIQUES"
,"LOCATION SAUVAGEAU INC.","947579",25/03/14,"1 952,87",,"LOC. VEHICULES-OUTILLAGE-EQUIPEMENT"
,"LONGUS EQUIPEMENT INC.","946907",20/03/14,"521,69",,"PIÈCES ET ACCESSOIRES"
,"MINISTRE DES FINANCES","922731",19/03/14,"559,00",,"SERVICES TECHNIQUES"
,"MSK CANADA LTEE.","947029",20/03/14,"243,57",,"BIENS NON CAPITALISÉS"
