,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour septembre 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,commande,,d'approbation,l'engagement,l'entente,
"ANGELY, MARION",1147185,CORPORATION D'URGENCES-SANTE,09-02-16,"129,20",,Service - Transport ambulancier
,1150639,ENVELOPPE LAURENTIDE INC,09-21-16,"82,87",,Fourniture d'expédition
,1147362,LES EDITIONS YVON BLAIS INC,09-06-16,"21,34",,Livre
,1150133,ROBERT BOILEAU INC,09-21-16,"2 677,18",,Accessoire et pièce de remplacement pour machinerie
,1147365,VINCENT ERGONOMIE INC.,09-06-16,"43,09",,Conseiller en ergonomie
"BOUTIN, PIERRE",1151404,DISTRIBUTION JEAN BLANCHARD INC.,09-23-16,"19 842,64",,Poubelle et conteneur
,1151754,GROUPE ABF INC.,09-27-16,"9 133,91",,Béton préparé
,1151019,SAKO ELECTRIQUE LTEE,09-22-16,"10 425,26",,Équipement - Véhicule et appareil
"BROUSSEAU, HELENE",1152089,LES CONSTRUCTIONS ARGOZY INC.,09-28-16,"2 824,16",,Service - Entretien d'immeuble
,1152091,,09-28-16,"10 026,31",,Service - Aménagement paysager
,1152092,VORTEX STRUCTURES AQUATIQUES INTERNATIONALES INC,09-28-16,"267,72",,Reprogrammation des jeux d'eau
"CARRIER, RAYMOND",1148044,BRAULT & BOUTHILLIER LTEE,09-08-16,"528,93",,Matériel artistique
,1131231,L.L. LOZEAU LTEE.,09-06-16,"100,70",,Appareil électronique
,1151216,MAGASINS BEST BUY LTEE,09-22-16,"62,95",,Ordinateur et accessoire
,1148251,MONTREAL STENCIL INC,09-09-16,"133,79",,"Article, accessoire et équipement de bureau"
,1151214,R.M. LEDUC & CIE INC.,09-22-16,"423,89",,"Papier, article de papeterie"
,1151524,,09-26-16,"1 278,24",,"Article, accessoire et équipement de bureau"
,1151796,ROULEAUX DE PAPIER & RUBANS J.L. INC.,09-27-16,"440,69",,Papier
"DESJARDINS, STEVE",1149808,ARBO-DESIGN INC.,09-16-16,"2 309,72",,Service - Abattage
,1151312,CARREFOUR JEUNESSE-EMPLOI DE CDN (CJECDN),09-23-16,"1 536,00",,Service - Aménagement paysager
,1150638,COMPUGEN INC.,09-21-16,"481,11",,Achat d'imprimante
,1151293,KETCHUM MANUFACTURING INC.,09-23-16,"1 914,50",1148581,Accessoire et fourniture pour animaux
,1149811,L'EMPREINTE IMPRIMERIE INC.,09-16-16,"132,28",,Service - Impression
,1148092,LES TRADUCTIONS TERRY KNOWLES INC.,09-08-16,"89,24",,"Service - Rédaction, révision"
,1150633,MP REPRODUCTIONS INC.,09-21-16,"8 628,56",,Service - Numérisation de documents
,1149981,TRANSELEC / COMMON INC.,09-16-16,"262,47",,Signalisation routière
,1150640,UNIVERSITE DE MONTREAL,09-21-16,"500,00",,Vétérinaire
"DUPLANTIE, S-ANNE",1148773,LINDA KEMERER,09-13-16,"2 250,00",,Service - Formation en anglais
"FORTIN, ALAIN",1151367,ACE ACCENT CONTROLES ELECTRONIQUES INC,09-23-16,"2 467,21",,Réparation/Entretien - Camionnette et fourgonnette
,1151030,EQUIPEMENTS TWIN INC.,09-22-16,"2 679,34",,Réparation/Entretien - Véhicule lourd et machinerie lourde
"FRAPPIER, GENEVIEVE",1148034,AVENUE 77 INC,09-08-16,"255,12",,Panneaux
,1140450,ROBERT BOILEAU INC,09-07-16,"91,36",,Service - Transport de colis
,1149313,TENAQUIP LIMITED,09-14-16,"1 616,65",,Équipement de protection
"GAUDREAULT, SONIA",1150251,AQUATECHNO SPECIALISTES AQUATIQUES INC.,09-19-16,"641,48",,Équipement pour piscine et jeu d'eau
,1151078,ASCENSEURS TRANSCO INC.,09-22-16,"1 788,99",,Entrepreneur en ascenseurs et monte-charges
,1149259,AUDIO CINE FILMS INC,09-14-16,"524,93",,"Film, vidéo et banque d'images"
,1149335,CARR MCLEAN LIMITED,09-14-16,"418,76",,Accessoire et fourniture de décoration
