;;;;;
"VILLE DE MONTRÉAL  ";;;;;
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce";;;;;
"Listes des bons de commandes approuvés pour MAI 2015";;;;;
;;;;;
;;;;;
"Dernier Approbateur";"Nom fournisseur";"Numéro bon ";"Date ";"Montant de ";"Description"
;;"commande";"d'approbation";"l'engagement";
;;;;;
"BERGERON, GILLES";"CENTRE SEGAL DES ARTS DE LA SCENE ";1043162;"05-07-15";"5412,11";"Service - Organisation de festivals et spectacles"
;"CPU DESIGN INC. ";1042310;"05-05-15";"104,99";"Logiciel et progiciel"
;"LES TERMINAUX KENMONT INC. ";1042071;"05-04-15";"734,91";"Poubelle et conteneur"
;"QUINCAILLERIE COTE-DES-NEIGES ";1041849;"05-01-15";"4563,54";"Quincaillerie"
;"SYNDICAT DE COPROPRIETE DES TERRAINS BENNY FARM";1043180;"05-07-15";22 020,00;"Édifice"
;;;;;
"BOUCHER, DOMINIC";"3289419 CANADA (COLLINS) ";1044875;"05-13-15";"213,3";"Botte, soulier et couvre-chaussure"
;;1048102;"05-27-15";"119,05";"Botte, soulier et couvre-chaussure"
;"9028-3870 QUEBEC INC. ";1046113;"05-20-15";"1904,47";"Clôture, barricade"
;"CLEAN HARBORS QUEBEC INC ";1048012;"05-27-15";"2527,05";"Réservoir et contenant de stockage"
;"CLOTURE CENTRALE ";1043476;"05-07-15";"419,95";"Signalisation routière"
;"ELECTRONIQUE ADDISON LTEE ";1047453;"05-25-15";"83,78";"Composante électronique"
;"ENTRAC INC.";1048518;"05-28-15";"218,17";"Formation en développement interpersonnel / relationnel"
;"ENTREPRISES FORLINI-DIVISION EQUIP. SEC.UNIVERSEL INC.";1044171;"05-11-15";"131,23";"Botte, soulier et couvre-chaussure"
;;1048605;"05-28-15";"132,23";"Botte, soulier et couvre-chaussure"
;"FONDERIE LAPERLE";1047040;"05-22-15";"8323,45";"Puisard, chambre de vanne, trou d’homme et regard"
;"GIRARD, YANNICK";1042134;"05-04-15";"28,94";"Frais - Déplacement, hébergement et repas"
;"HERCULES SLR INC";1048069;"05-27-15";"255,91";"Corde, chaîne et câble"
;"INOLEC";1048072;"05-27-15";"2981,64";"Outil manuel"
;"KELLY LA SOLUTION INC.";1042326;"05-05-15";"4523,02";"Déglaçage, nettoyage et désobstruction de conduites"
;"LAVXEL";1042585;"05-05-15";"1170,61";"Mobilier pour propreté"
;"LE GROUPE P.A.";1042319;"05-05-15";"2618,13";"Entrepreneur en électricité"
