,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour DÉCEMBRE 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"commande","d'approbation","l'engagement",,
,,,,,,
"BERGERON, GILLES","A.D.I. ART DESIGN INTERNATIONAL INC.","1011731",12/12/14,"1 254,49",,"FOURNITURES DE BUREAU"
,"AQUEST DESIGN","1011624",12/12/14,"4 941,82",,"BIENS NON CAPITALISÉS"
,"ASSOCIATION QUEBECOISE DU LOISIR MUNICIPAL","1008324",01/12/14,"1 082,86",,"COTISATION PROFESSIONNELLE"
,"CANADIAN TIRE","1011155",11/12/14,"577,42",,"BIENS NON CAPITALISÉS"
,"CIMCO REFRIGERATION TOROMONT INDUSTRIE","1014241",22/12/14,"1 000,81",,"ENT. RÉP. - IMMEUBLES ET TERRAINS"
,"COFELY SERVICES INC.","1014237",22/12/14,"2 805,73",,"ENT. RÉP. - IMMEUBLES ET TERRAINS"
,"COMPUMEDIA DESIGN ( CMD )  INC","1011732",12/12/14,"545,52",,"BIENS NON CAPITALISÉS"
,"CORBEIL ELECTROMENAGERS","1011638",12/12/14,"4 586,02",,"BIENS NON CAPITALISÉS"
,"ILE SANS FIL","1010257",09/12/14,"2 645,87",,"LOCATION DE LIGNES INFORMATIQUES"
,"MULTI-INDUSTRIEL A.D. LTEE","1013213",17/12/14,"10 137,72",,"BIENS NON DURABLES"
,"PUBLICITE CLAUDE RIVARD INC.","996062",23/12/14,"85,29",,"ÉVÉNEMENT PUBLIC"
"BOILEAU, LINDA","BIBLIOFICHE","1013289",17/12/14,"1 926,53",,"FOURNITURES DE BUREAU"
,"CARR MCLEAN LIMITED","996957",05/12/14,"119,79",,"FRAIS DE POSTES"
,"CHARLES BOIVIN","1008323",01/12/14,"103,71",,"SERVICES TECHNIQUES"
,"FDL COMPAGNIE LTEE","1013286",17/12/14,"1 577,88",,"ENT. RÉP. - IMMEUBLES ET TERRAINS"
,"GUILLAUME PAQUIN-BOUTIN","1008315",01/12/14,"150,00",,"SERVICES TECHNIQUES"
,"LINDSAY INTERNATIONALE INC.","1008325",01/12/14,"150,38",,"BIENS NON DURABLES"
,"OMNISON ET LUMIERES","1009624",05/12/14,"2 716,65",,"BIENS NON DURABLES"
,"PALASON BILLARD (ST-LAURENT) INC.","1011852",15/12/14,"394,08",,"BIENS NON DURABLES"
,"SERVICE D'ENTRETIEN PRO-PRET INC.","1013288",17/12/14,"2 590,82",,"BIENS NON CAPITALISÉS"
"BOUCHER, DOMINIC","CANADIAN PACIFIC RAILWAY COMPANY","1011555",12/12/14,"725,65",,"SERVICES TECHNIQUES"
,"DESCHAMPS IMPRESSION INC.","1014558",23/12/14,"18,67",,"SERVICES TECHNIQUES"
,"GESTION USD INC","1012913",17/12/14,"881,54",,"BIENS NON DURABLES"
,"HERCULES SLR INC","1007734",15/12/14,"746,72",,"PIÈCES ET ACCESSOIRES"
,"LES EQUIPEMENTS MARSHALL LTEE","1012477",16/12/14,"49,37",,"PIÈCES ET ACCESSOIRES"
,"ONOMAT CANADA INC.","1009497",15/12/14,"3 474,31",,"PIÈCES ET ACCESSOIRES"
,"SPI SANTE SECURITE INC","1014548",23/12/14,"1 039,91",,"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
,"STELEM.","1010252",09/12/14,"398,76",,"PIÈCES ET ACCESSOIRES"
,"U. CAYOUETTE INC.","1010241",09/12/14,"71,81",,"BIENS NON DURABLES"
"BOUCHER, DOMINIC","U. CAYOUETTE INC.","1014188",22/12/14,"514,03",,"BIENS NON DURABLES"
,"WOLSELEY CANADA INC","1008295",01/12/14,"653,38",,"PIÈCES ET ACCESSOIRES"
,,"1014179",22/12/14,"319,76",,"PIÈCES ET ACCESSOIRES"
"BOUTIN, PIERRE","BP EXCAVATION","1011607",12/12/14,"10 975,70",,"BIENS NON DURABLES"
,"CENTRE DE SERVICES PARTAGES DU QUEBEC","1007450",15/12/14,"941,24",,"TÉLÉPHONIE           "
,,"1008352",15/12/14,"476,90",,"TÉLÉPHONIE"
,"ENVIROSERVICES INC","957549",17/12/14,"4 027,57",,"SERVICES TECHNIQUES"
,"EXTERMINATION INSPEX INC.","1008286",01/12/14,"295,58",,"SERVICES TECHNIQUES"
,"PEAUSEIDON EAU DE SOURCE NATURELLE","919259",03/12/14,"90,31",,"EAU REFROIDIE"
,"SHRED-IT INTERNATIONAL ULC","938191",12/12/14,"132,75",,"SERVICES TECHNIQUES"
,"YVES GRENIER TRAITEUR","1010134",09/12/14,"324,09",,"FRAIS DE RÉCEPTION"
"DESJARDINS, STEVE","KETCHUM MANUFACTURING INC.","992948",08/12/14,"19,48",,"FOURNITURES DE BUREAU"
,"SERRURERIE M. GREENE LOCKSMITH INC.","1010927",11/12/14,"98,53",,"FOURNITURES DE BUREAU"
,"SERVICES D'ARBRES PRIMEAU INC.","1009802",08/12/14,"2 489,06",,"ENT. RÉP. - IMMEUBLES ET TERRAINS"
"DULIEPRE, JEAN-FRANCOIS","CHAUSSURES BELMONT INC","1010738",10/12/14,"259,28",,"VÊTEMENT, CHAUSSURES ET ACC."
,"GROUPE TRIUM INC.","1007283",03/12/14,"103,71",,"VÊTEMENT, CHAUSSURES ET ACC."
,"HUSS SPORTS LTEE","1008329",01/12/14,"1 368,46",,"BIENS NON DURABLES"
,"LOCATION SAUVAGEAU INC.","1010737",10/12/14,"1 221,71",,"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,"PRODUITS SANY INC.","1010155",11/12/14,"37,44",,"BIENS NON DURABLES"
,,"1011152",11/12/14,"243,62",,"BIENS NON DURABLES"
,"SONITEC-VORTISAND INC.","1008959",04/12/14,"1 100,38",,"PRODUITS CHIMIQUES"
"DUPLANTIE, SYLVIA-ANNE","CANADA CAD","1001844",08/12/14,"510,00",,"FORMATION"
,"GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC.","1007989",08/12/14,"710,00",,"FOURNITURES DE BUREAU"
,,"996482",08/12/14,"1 975,81",,"BIENS NON DURABLES"
,"LAVOIE, NICOLAS","1014204",22/12/14,"205,00",,"FORMATION"
,"SERVICES D'ARBRES PRIMEAU INC.","1013167",17/12/14,"9 020,28",,"ENT. RÉP. - IMMEUBLES ET TERRAINS"
"FORTIN, ALAIN","MICHEL GOHIER LTEE","1009147",04/12/14,"441,50",,"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
,"MICHELIN AMERIQUE DU NORD (CANADA INC.)","1010229",09/12/14,"4 254,11",,"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
"GAUDREAULT, SONIA","CANADIAN TIRE","996863",10/12/14,"435,54",,"BIENS NON DURABLES"
"GAUDREAULT, SONIA","CANUPEASE","1008321",01/12/14,"124,46",,"BIENS NON DURABLES"
,"CENTRE COMMUNAUTAIRE NOTRE-DAME-DE-GRACE INC.","1008958",04/12/14,"3 846,59",,"BIENS NON DURABLES"
