,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour SEPTEMBRE 2015,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Description
,,commande,d'approbation,l'engagement,
"ANGELY, MARION",COMITE INTER-ENTREPRISES DU MTL METROPOLITAIN,1068748,09-09-15,"450,00",Frais - Adhésion et cotisation
,,,,,
"BOUCHER, DOMINIC",LAFARGE CANADA INC,1035549,09-23-15,"3 490,43",Béton préparé
,CONSTRUCTION DJL INC,1038059,09-23-15,"2 034,99","Asphalte, bitume"
,LOCATION GAMMA INC.,1042451,09-24-15,"1 723,48",Service - Inspection de conduites
,L'EFFACEUR INC.,1056417,09-04-15,"335,67",Service - Nettoyage place publique
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1067787,09-02-15,"4 176,07","Puisard, chambre de vanne"
,TENAQUIP LIMITED,1068244,09-03-15,"471,64",Outil électrique
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1068268,09-03-15,"4 026,70","Puisard, chambre de vanne"
,KOMUTEL INC,1068273,09-03-15,"335,96",Réparation/Entretien - Appareil électronique
,CHAINES ET ELINGUES ST-PIERRE CANADA LTEE,1068348,09-04-15,"996,23",Quincaillerie
,GENFIR INC,1068356,09-04-15,"514,86",Réparation de conduit
,STELEM,1068410,09-04-15,"52,49",Produit de branchement
,PLOMBERIE CHAUFFAGE ST-AMOUR & GAGNON INC.,1068476,09-04-15,"46,51",Pièce pour réparation de conduit
,LES PAVAGES CHENAIL INC.,1068496,09-08-15,"1 524,21",Asphalte
,STELEM,1071854,09-23-15,"1 107,62",Produit de branchement
,U. CAYOUETTE INC.,1071860,09-23-15,"276,61",Sable
,3289419 CANADA (COLLINS),1071867,09-23-15,"208,34",Bottes de sécurité
,CONSTRUCTION GC-MERINEAU LTEE,1072302,09-24-15,"6 422,09",Service - Inspection de conduites
,LOCATION GAMMA INC.,1072409,09-24-15,"72,57",Location d'outil
,,,,,
"BOUTIN, PIERRE",TRAFFIC LOGIX,1072628,09-25-15,"20 570,20",Mobilier urbain - Afficheurs de vitesse -
,,,,,
"DUPLANTIE, S-A ",FORMOBILE CENTRE DE FORMATION INTEGREE INC.,1067750,09-02-15,"1 144,36",Service - Formation
,,,,,
"FRAPPIER, GENEVIEVE",SUPERIEUR PROPANE,1067856,09-02-15,"974,17",Gaz comprimé
"FRAPPIER, GENEVIEVE",1-800-GOT-JUNK,1070427,09-16-15,"471,39",Service - Collecte de matériaux de construction
,,,,,
"GAUDREAULT, SONIA",PRODUITS SANY INC.,1068922,09-09-15,"8,70",Produits d'entretien ménager
,CULTURE MONTREAL,1070875,09-17-15,"45,66",Frais - Adhésion et cotisation
,FONDATION HERITAGE MONTREAL,1070925,09-17-15,"40,00",Frais - Adhésion et cotisation
,MULTI-INDUSTRIEL A.D. LTEE,1070988,09-18-15,"1 877,18",Armoire de rangement
,PRODUITS SANY INC.,1072920,09-28-15,"160,73",Équipement et produit d'entretien ménager
,RIVARD PUBLICITE,1073115,09-29-15,"129,87",Article promotionnel
,KELLY SANI-VAC INC,1073121,09-29-15,"929,13",Réparation/Entretien - Appareil d'entretien
,TENAQUIP LIMITED,1073124,09-29-15,"73,36",Botte
,,,,,
"GENDRON, DENIS",LES INDUSTRIES SIMEXCO INC,1068753,09-09-15,"293,96",Réparation/Entretien - Équipement de sport et terrain de jeux
,DESCHAMPS IMPRESSION INC.,1070199,09-15-15,21,Service - Impression
,LES CONSTRUCTIONS ARGOZY INC.,1070828,09-17-15,"540,69",Réparation/Entretien - Équipement de sport et terrain de jeux
,,1070859,09-17-15,"4 409,47",Réparation/Entretien - Équipement de sport et terrain de jeux
,EDILEX INC.,1071768,09-22-15,"103,94",Service - Formation
,AQUATECHNO SPECIALISTES AQUATIQUES INC. ,1071789,09-22-15,"1 627,31",Service - Nettoyage place publique
,,,,,
"JULIEN, CHANTAL",TOSHIBA SOLUTIONS D'AFFAIRES,1025047,09-21-15,"236,22",Location - Photocopieur
,LA MAISON DU PEINTRE,1028878,09-14-15,"510,28",Accessoire et pièce de remplacement pour outil
,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,1028918,09-14-15,"2 946,94",Peinture - résidentielle et industrielle
,PRODUITS AUTOMOBILES LAURENTIDE INC.,1038468,09-24-15,"868,64",Huile et liquide pour matériel roulant
,IMPRESSION MULTI-SOURCES INC.,1069161,09-10-15,"304,46",Formulaire
,HILTI CANADA LTEE,1070867,09-17-15,"1 009,45",Accessoire et pièce de remplacement pour machinerie
,PRODUITS SANY INC.,1071191,09-21-15,"459,41",Équipement et Produit d'entretien ménager
,TRAUMA-SECOURS INC.,1071256,09-21-15,"109,19",Service - Formation en santé et sécurité
,GENFIR INC,1071443,09-21-15,"320,21",Tuyauterie et raccord
,EQUIPEMENTS TWIN INC.,1071843,09-23-15,"588,06","Réparation/Entretien - Automobile, camionnette."
,ACKLANDS - GRAINGER INC.,1071848,09-23-15,"127,68",Outil manuel
,ACIER LACHINE INC,1072641,09-25-15,"1 713,98",Accessoire et pièce de remplacement pour outil
,TENAQUIP LIMITED,1072741,09-28-15,"121,9",Achats outillage pour pneus
,,,,,
"OUELLET, MARIE-CLAUDE",TENAQUIP LIMITED,1070929,09-17-15,"39,18","Article, accessoire et équipement de bureau"
,ART MUR,1072610,09-25-15,"262,47",Service - Transport de colis
,KARINE GIBOULEAU,1072622,09-25-15,"262,47",Service - Transport de colis
,,,,,
"PLANTE, STÉPHANE",BOO! DESIGN INC.,1040301,09-18-15,"5 249,37","Service - Infographie, graphisme"
,DEMIX,1060865,09-02-15,"6 975,37",Béton préparé
,GEAI BLEU GRAPHIQUE,1067649,09-01-15,"1 147,46",Service - Impression
,ALERTE COURRIER P.M.E.,1067652,09-01-15,"96,59","Service - Postal, messagerie"
,BRANDALLIANCE,1068170,09-28-15,"691,88","Location accessoire et équipement de restauration, vaisselle"
,LITHO EXPRESS INC.,1068180,09-03-15,"624,68",Service - Impression
,DESCHAMPS IMPRESSION INC.,1069519,09-11-15,"18,9",Service - Impression
,BEC FIN INTERNATIONAL INC.,1070025,09-15-15,"314,18",Service - Traiteur
,ULYSSE LEMERISE,1070030,09-15-15,"1 968,52",Service - Photographie
,DESCHAMPS IMPRESSION INC.,1070455,09-16-15,"5 001,60",Service - Impression
,OPTIMUM GRAPHIQUES INC.,1070461,09-16-15,"2 099,75",Service – Impression
"PLANTE, STÉPHANE",BURO PLUS UNE DIVISION DE NOVEXCO INC,1071349,09-21-15,"370,61",Papier d'impression
,IMAFIX,1071360,09-21-15,"536,75",Service - Impression
,TOSHIBA DU CANADA LIMITEE,1071365,09-21-15,"196,85",Réparation/Entretien - Photocopieur
,SOCIETE CANADIENNE DES POSTES,1071372,09-21-15,"724,41","Service - Postal, messagerie"
,LITHO EXPRESS INC.,1071376,09-21-15,"4 199,50",Service - Impression
,MARCHAND HOULE & ASSOCIES INC,941030,09-24-15,"1 229,30",Ingénieur civil – Voirie
,,,,,
"POLISENO, MARTIN",ACE ACCENT CONTROLES ELECTRONIQUES INC,1003194,09-14-15,"2 440,96",Appareil électronique
,TOSHIBA DU CANADA LIMITEE,1017398,09-25-15,"265,4",Location - Photocopieur.
,LA MAISON DU PEINTRE,1060203,09-15-15,"297,79",Accessoire et pièce de remplacement pour outil
,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,1060511,09-14-15,"2 221,28",Peinture - résidentielle et industrielle
,VERMEER CANADA INC.,1064699,09-15-15,21,Service - Transport de colis
,PRODUITS SANY INC.,1067412,09-02-15,"316,56",Produit et équipement d'entretien ménager
,FERTILEC LTEE,1067923,09-02-15,"233,07",Fourniture horticole
,MONTREAL STENCIL INC,1069847,09-14-15,"32,67",Service - Reprographie
,COMPUGEN INC.,1070049,09-15-15,"55,64",Accessoire informatique
,VERMEER CANADA INC.,1070055,09-15-15,"216,36",Accessoires pour élagueurs
