,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour OCTOBRE 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"commande","d'approbation","l'engagement",,
,,,,,,
"BERGERON, GILLES","ARAQ","997863",21/10/14,"399,29",,"FORMATION"
,"COMMISSION SPORTIVE MONTREAL CONCORDIA","995103",07/10/14,"1 037,11",,"COTISATION PROFESSIONNELLE"
,"LES EQUIPEMENTS DE RESTAURANT DE L'EST INC","996906",15/10/14,"10 421,89",,"SERVICES TECHNIQUES"
,"LES INDUSTRIES GARANTIES LIMITEE","1000826",31/10/14,"3 536,53",,"SERVICES TECHNIQUES"
,"LOCATION JEAN LEGARE LTEE","971485",01/10/14,"431,79",,"BIENS NON DURABLES"
,,"986014",01/10/14,"10,69",,"BIENS NON DURABLES"
"BOILEAU, LINDA","AQUEST DESIGN","1000931",31/10/14,"8 465,86",,"BIENS NON DURABLES"
,,"995582",08/10/14,"2 004,16",,"BIENS NON DURABLES"
,"ASSOCIATION DU QUEBEC POUR ENFANTS AVEC PROBLEMES AUDITIFS (A.Q.E.P.A.) MONTREAL","996285",10/10/14,"175,00",,"EVENEMENT PUBLIC"
,"BIBLIOFICHE","993835",02/10/14,"1 407,57",,"BIENS NON DURABLES"
,"BIBLIO RPL LTEE","996355",14/10/14,"191,57",,"BIENS NON DURABLES"
,"BOYER, JEAN-FRANCOIS","1000774",31/10/14,"61,84",,"BIENS NON DURABLES"
,"BRAULT & BOUTHILLIER LTEE","1000920",31/10/14,"92,25",,"BIENS NON DURABLES"
,,"996463",14/10/14,"781,54",,"BIENS NON DURABLES"
,"BRODART CANADA COMPAGNY","995877",09/10/14,"359,88",,"BIENS NON DURABLES"
,,"996955",15/10/14,"341,20",,"BIENS NON DURABLES"
,"CANADIAN TIRE","1000534",30/10/14,"266,97",,"BIENS NON DURABLES"
,"CARR MCLEAN LIMITED","996379",14/10/14,"60,22",,"BIENS NON DURABLES"
,,"996957",15/10/14,"2 849,61",,"FOURNITURES DE BUREAU"
,"CHAMBEROT, ROBERT","1000867",31/10/14,"91,47",,"FOURNITURES DE BUREAU"
,,"996158",10/10/14,"71,05",,"FOURNITURES DE BUREAU"
,"EDUCAZOO INC.","996415",14/10/14,"311,13",,"EVENEMENT PUBLIC"
,"EMBALLAGE PAK TEK INC.","1000572",30/10/14,"549,66",,"FOURNITURES DE BUREAU"
,"GROUPE ARCHAMBAULT","997693",20/10/14,"511,38",,"BIENS NON DURABLES"
,"HOPTIMUM ABC","994467",06/10/14,"242,16",,"BIENS NON DURABLES"
,"INSTITUT SUPERIEUR DE GESTION","996163",10/10/14,"81,91",,"BIENS NON DURABLES"
,"KEINER, TANIS","994810",07/10/14,"41,81",,"FOURNITURES DE BUREAU"
,"LE MUSEE DES MAITRES ET ARTISANS DU QUEBEC","996426",14/10/14,"150,00",,"EVENEMENT PUBLIC"
,"LES SCIENTIFINES","996420",14/10/14,"150,00",,"EVENEMENT PUBLIC"
,"LOCATION JEAN LEGARE LTEE","988787",01/10/14,"31,49",,"FRAIS DE TRANSPORT"
,"MARTIN, PIERRE","994728",06/10/14,"30,29",,"BIENS NON DURABLES"
,"MATHIEU, ELISABETH","1000887",31/10/14,"42,20",,"BIENS NON DURABLES"
"BOILEAU, LINDA","MEIKLE MUSIK","996459",14/10/14,"100,00",,"EVENEMENT PUBLIC"
,"MONTREAL STENCIL INC","996891",15/10/14,"134,15",,"FOURNITURES DE BUREAU"
,"MOREAU, HELENE","1000884",31/10/14,"235,98",,"FOURNITURES DE BUREAU"
,"PPG REVETEMENTS ARCHITECTURAUX CANADA INC.","1000593",30/10/14,"143,46",,"BIENS NON DURABLES"
,"QUINCAILLERIE COTE-DES-NEIGES","924649",08/10/14,"518,55",,"BIENS NON DURABLES"
,"R.M. LEDUC & CIE INC.","996886",15/10/14,"315,50",,"FOURNITURES DE BUREAU"
,"ROBILLARD, MYLENE","995328",08/10/14,"36,55",,"BIENS NON DURABLES"
,"ROSETTE D'ARAGON","996466",14/10/14,"250,00",,"EVENEMENT PUBLIC"
,"SAMUEL COURNOYER","996478",14/10/14,"420,00",,"EVENEMENT PUBLIC"
"BOUCHER, DOMINIC","ALBERT VIAU DIVISION EMCO CORPORATION","999716",28/10/14,"3 733,59",,"PIECES ET ACCESSOIRES"
,"CANTOL CORP","994297",03/10/14,"186,73",,"PRODUITS CHIMIQUES"
,"DEVELOTECH INC.","999060",24/10/14,"103,71",,"PIECES ET ACCESSOIRES"
,"DISCOVER COMMUNICATIONS INC","998796",23/10/14,"16,59",,"TÉLÉPHONIE"
,"ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC","998249",22/10/14,"278,98",,"VÊTEMENT, CHAUSSURES ET ACC."
,"EQUIPEMENT ROBERT NADEAU INC","1000427",30/10/14,"974,88",,"PIECES ET ACCESSOIRES"
,"GENFIR INC","993368",01/10/14,"161,79",,"PIECES ET ACCESSOIRES"
,"HERCULES SLR INC","999104",24/10/14,"46,67",,"PIECES ET ACCESSOIRES"
,"LA MAISON DU PEINTRE","919258",01/10/14,"26,43",,"BIENS NON DURABLES"
,"LES DECORATEURS DE MONTREAL INC.","999730",28/10/14,"414,64",,"PRODUITS CHIMIQUES"
,"LES MAGASINS COLLINS","994446",06/10/14,"225,86",,"VÊTEMENT, CHAUSSURES ET ACC."
,"LOCATION HEWITT INC","999069",24/10/14,"197,26",,"PIECES ET ACCESSOIRES"
,"MULTI-PRESSIONS L.C. INC.","997452",17/10/14,"300,66",,"PIECES ET ACCESSOIRES"
,"PRODUITS DE SERVICES PUBLICS INNOVA INC.","999889",29/10/14,"311,14",,"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
,"ST-GERMAIN EGOUTS ET AQUEDUCS INC.","993952",02/10/14,"560,04",,"PIECES ET ACCESSOIRES"
,"U. CAYOUETTE INC.","999074",24/10/14,"290,55",,"PRODUITS CHIMIQUES"
,"WOLSELEY CANADA INC","998642",23/10/14,"358,58",,"PIECES ET ACCESSOIRES"
,,"999079",24/10/14,"752,11",,"PIECES ET ACCESSOIRES"
"BOUTIN, PIERRE","CANADIAN TIRE","995479",08/10/14,"103,70",,"BIENS NON DURABLES"
,"CENTRE DE TELEPHONE MOBILE LTEE","995447",09/10/14,"96,45",,"TÉLÉPHONIE"
,"ONOMAT CANADA INC.","993983",02/10/14,"22 505,22",,"BIENS NON CAPITALISÉS"
,"PAYSAGISTE LIGNE ROYALE INC.","984732",14/10/14,"15 556,60",,"ENT. RÉP. - IMMEUBLES ET TERRAINS"
,"PEPINIERE A. MUCCI INC.","964578",14/10/14,"2 049,04",,"AGRÉGATS ET MATÉRIAUX DE CONSTRUCTION"
"BOUTIN, PIERRE","PPG REVETEMENTS ARCHITECTURAUX CANADA INC.","919257",02/10/14,"424,22",,"PRODUITS CHIMIQUES"
,"PREVENTION COTE-DES-NEIGES NOTRE-DAME-DE-GRACE","993991",02/10/14,"1 166,66",,"SERVICES TECHNIQUES"
