,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour OCTOBRE 2015,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Description
,,commande,d'approbation,l'engagement,
"ANGELY, MARION",CIEMM- COMITE INTER-E/SES DU MTL METROP.,1079901,28-oct.-2015,"300,00",Frais - Adhésion et cotisation
,GROUPE LE CORRE ET ASSOCIES INC.,1077997,20-oct.-2015,"603,68",Service - Formation
,PGV MEDIA,1079893,28-oct.-2015,"86,09",Service - Impression
"BOUCHER, DOMINIC",CHAUSSURES BELMONT INC.,1079410,27-oct.-2015,"377,86",Vêtements de travail
,CONSTRUCTION DJL INC.,1038059,20-oct.-2015,"1111,59","Asphalte, bitume"
,DISCOVER COMMUNICATIONS INC.,1075799,09-oct.-2015,"15,75",Appareil de communication
,EQUIPEMENTS TWIN INC.,1079143,26-oct.-2015,"272,97","Pile, batterie"
,INOLEC,1077591,19-oct.-2015,"252,99",Réparation/Entretien - Appareil spécialisé pour la mécanique
,MONTREAL STENCIL INC.,1079878,28-oct.-2015,"54,31","Article, accessoire et équipement de bureau"
,PEPINIERE A. MUCCI INC.,1078013,20-oct.-2015,"652,23","Terre, terreau, compost et engrais"
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1079192,26-oct.-2015,"671,67",Tuyauterie et raccord
,U. CAYOUETTE INC.,1072642,23-oct.-2015,"186,65",Accessoire et pièce de remplacement pour outil
,,,23-oct.-2015,"131,11","Graine, semence, bulbe et bouture"
,,1078062,20-oct.-2015,"131,11","Graine, semence, bulbe et bouture"
,WOLSELEY CANADA INC,1079405,27-oct.-2015,"500,41",Produit de branchement
"BOUTIN, PIERRE",COMPUGEN INC.,1078915,23-oct.-2015,"470,15",Photocopieur
,DEMIX,1046448,09-oct.-2015,"6733,90",Béton préparé
,,1060859,22-oct.-2015,"2867,21",Béton préparé
,ENVIROSERVICES INC,1024606,20-oct.-2015,"1777,35",Service - Analyse et essai en laboratoire
,LAFARGE CANADA INC,1038034,07-oct.-2015,"3666,23",Agrégat en vrac
,LOCATION SAUVAGEAU INC.,1061513,13-oct.-2015,"1934,92",Location - Automobile
,PEPINIERE A. MUCCI INC.,1040730,20-oct.-2015,"4363,54","Terre, terreau, compost et engrais"
,PEPINIERE AUCLAIR ET FRERES (1991) INC.,1077127,15-oct.-2015,"9930,77",Végétaux
,SCIAGE DE BETON 2000 INC.,1060154,13-oct.-2015,"7277,20",Location d'une scie à béton pour l'aqueduc
,TECH-MIX DIV BAU-VAL INC,1032592,20-oct.-2015,"983,17","Asphalte, bitume"
,VIDOLO EXCAVATION LTEE,1077649,19-oct.-2015,"22828,34",Service - Transport de conteneur
"BROUSSEAU, HÉLÈNE",COMPUGEN INC.,1078917,23-oct.-2015,"470,15",Photocopieur
,CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS,1079480,27-oct.-2015,"80,79",Fourniture de classement et de rangement
"CARRIER, RAYMOND",ACME SERVICES SCENIQUES,1075808,09-oct.-2015,"116,64",Accessoire et fourniture de décoration
,ASTED INC.,1078993,23-oct.-2015,"481,89","Frais - Inscription pour colloque, conférence, séminaire."
,BRAULT & BOUTHILLIER LTEE,1078719,22-oct.-2015,"230,72",Matériels et fournitures de bureau
,,1079860,28-oct.-2015,"50,18",Matériel artistique
,INTELCOM EXPRESS,1075655,08-oct.-2015,"209,97","Service - Postal, messagerie"
,LES IMPRESSIONS PLASTIMAX,1075650,08-oct.-2015,"3612,10",Service - Impression
,LES SERVICES D'EXTERMINATION MONT-ROYAL,1078715,22-oct.-2015,"89,24",Service d'extermination
,LES SYSTEMES ESPACE/MAX INC.,1075657,08-oct.-2015,"238,85",Fourniture de classement et de rangement
,LIBRAIRIE BERTRAND,1078716,22-oct.-2015,"47,24",Fourniture de classement et de rangement
,R.M. LEDUC & CIE INC.,1078996,23-oct.-2015,"528,11","Papier, article de papeterie"
,,1078999,23-oct.-2015,"873,77","Papier, article de papeterie"
"DESJARDINS, STEVE",LES UNIFORMES MODERNA,1078669,22-oct.-2015,"319,21",Vêtement de travail
,UNIVERSITE DE MONTREAL,1078676,22-oct.-2015,"500,00",Vétérinaire
"DUPLANTIE, S-A ",CPU DESIGN INC.,1078812,23-oct.-2015,"3244,43",Ordinateur et accessoire
,KOREM LOGICIELS ET DONNEES GEOSPATIAUX INC.,1078867,23-oct.-2015,"519,69",Logiciel et progiciel
,,1078870,23-oct.-2015,"2044,11",Logiciel et progiciel
"FORTIN, ALAIN",9254-2893 QUEBEC INC.,1075855,09-oct.-2015,"918,64","Réparation/Entretien - Automobile, camionnette"
,CITE NISSAN - GABRIEL S.E.C.,1075847,09-oct.-2015,"290,72","Réparation/Entretien - Automobile, camionnette"
,,1078907,23-oct.-2015,"457,49","Réparation/Entretien - Automobile, camionnette"
,W. COTE ET FILS LTEE,1078908,23-oct.-2015,"3759,08","Réparation/Entretien - Véhicule lourd, machinerie lourde"
"FRAPPIER, GENEVIEVE",AQUATECHNO SPECIALISTES AQUATIQUES INC.,1079000,23-oct.-2015,"3464,59",Traitement de l'eau
,CORPORATION D'URGENCES-SANTE,1075810,09-oct.-2015,"126,58",Service - Transport ambulancier
,LOCATION D'AUTOS ET CAMIONS DISCOUNT,1075664,08-oct.-2015,"2236,23","Location - Automobile, camionnette"
,LOCATION SAUVAGEAU INC.,1075662,08-oct.-2015,"2473,51","Location - Automobile, camionnette"
,PRODUITS SANY INC.,1070293,26-oct.-2015,"168,78",Produit et équipement d'entretien ménager
,,1070294,26-oct.-2015,"407,68",Produit et équipement d'entretien ménager
,,1070295,26-oct.-2015,"35,12",Produit et équipement d'entretien
,,1075567,08-oct.-2015,"151,81",Produit et équipement d'entretien
,,1075568,08-oct.-2015,"269,20",Produit et équipement d'entretien
,,1079293,26-oct.-2015,"116,30",Produit et équipement d'entretien
,,1079648,28-oct.-2015,"205,76",Produit et équipement d'entretien
,ROBERT BOILEAU INC,1075652,08-oct.-2015,"2755,93",Accessoire et fourniture de peinture
"GAUDREAULT, SONIA",ALTERGO,1075811,09-oct.-2015,"125,00",Frais - Adhésion et cotisation
,AQUATECHNO SPECIALISTES AQUATIQUES INC.,1078464,22-oct.-2015,"6212,64",Traitement de l'eau
,ASSOCIATION DE SOCCER DE N.D.G.,1075815,09-oct.-2015,"1785,82",Service - Organisation d'activités sportives
,BOO! DESIGN INC.,1078465,22-oct.-2015,"698,16",Articles de décoration temporaire
,BUFFET IL GABBIANO,1078547,22-oct.-2015,"2624,69",Service - Traiteur
,C.C. COPY,1074798,06-oct.-2015,"77,27",Service - Impression
,COMITE JEUNESSE DE NOTRE-DAME-DE-GRACE,1080135,29-oct.-2015,"2424,26",Service - Organisation d'activités sportives
,COMMISSION SCOLAIRE DE MONTREAL (CSDM),1080132,29-oct.-2015,"8818,13",Location – Salle
,DEPOT ALIMENTAIRE NDG,1080118,29-oct.-2015,"4126,43",Service - Aménagement paysager
,DISCOVER COMMUNICATIONS INC,1075816,09-oct.-2015,"162,72",Appareil de communication
,G & L THIVIERGE INC,1078308,21-oct.-2015,"1816,28",Entrepreneur en petits bâtiments
,MULTI-INDUSTRIEL A.D. LTEE,1070988,20-oct.-2015,"73,49",Service - Transport de colis
,REGROUPEMENT DES CENTRES D'ARTISTES AUTOGERES DU QUEBEC (R.C.A.A.Q.),1075809,09-oct.-2015,"262,47",Frais - Adhésion et cotisation
,SONITEC-VORTISAND INC.,1074499,05-oct.-2015,"3332,91","Service - Installation, gestion, entretien"
,TRADUCTIONS TERRY KNOWLES INC.,1075817,09-oct.-2015,"446,20","Service - Rédaction, révision"
"GENDRON, DENIS",9028-3870 QUEBEC INC.,1070870,14-oct.-2015,"3084,01",Entrepreneur en électricité
,BURO PLUS UNE DIVISION DE NOVEXCO INC,1079577,27-oct.-2015,"118,90","Papier, article de papeterie"
,CLOTURE FORTIN,1078586,22-oct.-2015,"1207,36",Accessoire de charpente et de clôture
,LES ENTREPRISES DE CONSTRUCTION PROFIL,1079511,27-oct.-2015,"1868,78",Accessoire de charpente et de clôture
