,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour AVRIL 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"commande","d'approbation","l'engagement",,
,,,,,,
"BERGERON, GILLES","AQUATECHNO SPECIALISTES AQUATIQUES INC.","955730",25/04/14,"7 511,45",,"PRODUITS CHIMIQUES"
,,"955745",25/04/14,"8 618,58",,"PRODUITS CHIMIQUES"
,"CENTAURECOM INC.","955780",29/04/14,"4 484,98",,"BIENS NON DURABLES"
,"COFELY SERVICES INC.","956058",29/04/14,"10 619,98",,"SERVICES TECHNIQUES"
,"COMMISSION SPORTIVE MONTREAL CONCORDIA","952245",11/04/14,"2 799,06",,"ÉVÉNEMENT PUBLIC"
,"COMPUGEN INC.","951487",11/04/14,"920,95",,"FOURNITURES DE BUREAU"
,"DISCOVER COMMUNICATIONS INC","953313",16/04/14,"9,85",,"TÉLÉPHONIE"
,"FERO TRANSPORT INC.","954359",22/04/14,"67,41",,"FRAIS DE POSTES"
,"QUINCAILLERIE COTE-DES-NEIGES","924694",22/04/14,"1 296,38",,"BIENS NON DURABLES"
,"SECURMAX","955734",29/04/14,"985,25",,"BIENS NON DURABLES"
,"SERVICES ENTRETIEN ALPHANET INC.","951365",11/04/14,"11 465,96",,"ENT.-RÉP. IMMEUBLE ET TERRAIN"
,"SIMON GAUTHIER","955273",24/04/14,"25,41",,"FRAIS DE TRANSPORT"
,"TOSHIBA SOLUTION D'AFFAIRES","954366",22/04/14,"632,63",,"LOCATION AMEUBLEMENT-ÉQUIP. DE BUREAU"
"BOILEAU, LINDA","BRAULT & BOUTHILLIER LTEE","955429",24/04/14,"501,96",,"BIENS NON DURABLES"
,"COOPERATIVE DE TAXI MONTREAL","952723",10/04/14,"13,32",,"FRAIS DE TRANSPORT"
,"CULTURAL ASSET MANAGEMENT GROUP","953111",16/04/14,"317,90",,"BIENS NON DURABLES"
,"INTELCOM EXPRESS","951434",07/04/14,"67,08",,"FRAIS DE POSTES"
,"R.M. LEDUC & CIE INC.","953108",11/04/14,"612,72",,"FOURNITURES DE BUREAU"
,"ROULEAUX DE PAPIER & RUBANS J.L. INC.","951413",07/04/14,"327,73",,"FOURNITURES DE BUREAU"
,"SIMPLEX GRINNELL DIVISION DE TYCO LTEE","952963",11/04/14,"252,54",,"ENT.-RÉP. IMMEUBLE ET TERRAIN"
,"SOCIETE CANADIENNE DES AUTEURS, COMPOSITEURS & EDITEURS DE MUSIQUE (SOCAN)","952967",11/04/14,"36,30",,"SERVICES TECHNIQUES"
"BUI, PATRICK THE TRUC","FESTI-FETES","949772",01/04/14,"264,35",,"ÉVÉNEMENT PUBLIC"
"CHAMPOUX, MARTIN","ACTION COMMUNITERRE","951139",09/04/14,"709,50",,"BIENS NON DURABLES"
,"CEGEP DU VIEUX MONTREAL","953536",15/04/14,"119,27",,"FORMATION"
,"CIMA+ S.E.N.C.","953794",15/04/14,"3 733,59",,"HONORAIRES PROFESSIONNELS"
,"COMAQ, CORPORATION DES OFFICIERS MUNICIPAUX AGREES DU QUEBEC","950011",03/04/14,"430,40",,"FORMATION"
,"CONTECH LTEE","953814",15/04/14,"658,56",,"FORMATION"
,"IMAGERIE DB INC.","955882",28/04/14,"452,18",,"SERVICES TECHNIQUES"
,"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","952252",09/04/14,"2 758,67",,"ENT.-RÉP. IMMEUBLE ET TERRAIN"
"CHAMPOUX, MARTIN","SAKO ELECTRIQUE LTEE","951829",08/04/14,"280,65",,"SERVICES TECHNIQUES"
"CHAURET, DANIELLE","MAERIX INC.","944132",01/04/14,"314,84",,"SERVICES TECHNIQUES"
"DULIEPRE, JEAN-FRANCOIS","AQUAM SPECIALISTE AQUATIQUE INC.","950453",04/04/14,"75,19",,"BIENS NON DURABLES"
,"DISTRIBUTION SPORTS LOISIRS G.P. INC.","950795",04/04/14,"2 255,71",,"BIENS NON DURABLES"
,"PRODUITS SANY INC.","950709",04/04/14,"519,69",,"BIENS NON DURABLES"
,"ROBERT BOILEAU INC","952548",10/04/14,"716,80",,"ENT-RÉP VÉHICULE ET ÉQUIPEMENT"
,,"952697",10/04/14,"94,38",,"BIENS NON DURABLES"
,"RONALD C. LISTER  CANADA INC.","951081",04/04/14,"183,57",,"BIENS NON DURABLES"
"FORTIN, ALAIN","CARBEC.CA","951783",08/04/14,"564,19",,"ENT-RÉP VÉHICULE ET ÉQUIPEMENT"
,"MICHEL GOHIER LTEE","952737",10/04/14,"1 729,48",,"ENT-RÉP VÉHICULE ET ÉQUIPEMENT"
"GAUDREAULT, SONIA","COMMISSION SCOLAIRE DE MONTREAL (CSDM)","952743",11/04/14,"7 145,67",,"LOCATION D'IMMEUBLE"
,"DISTRIBUTION SPORTS LOISIRS-  INSTALLATION INC.","954043",16/04/14,"3 011,77",,"BIENS NON DURABLES"
,"LES TRANSPORTS LACOMBE INC","950198",04/04/14,"1 234,15",,"FRAIS DE TRANSPORT"
,"VIDEOTRON S.E.N.C","949523",01/04/14,"178,55",,"TÉLÉPHONIE"
,,"949567",01/04/14,"178,55",,"TÉLÉPHONIE"
"GENDRON, DENIS","LES JARDINS W.G. CHARLEBOIS INC.","955873",29/04/14,"13 521,16",,"FOURNITURES HORTICOLES"
,"WILLY HAECK & FILS INC.","955899",29/04/14,"12 868,28",,"FOURNITURES HORTICOLES"
"GERVAIS, ROBERT","CENTRE DE SERVICES PARTAGES DU QUEBEC","950580",03/04/14,"1 148,72",,"TÉLÉPHONIE"
,,"956000",28/04/14,"870,32",,"TÉLÉPHONIE"
,"DISCOVER COMMUNICATIONS INC","952073",09/04/14,"31,10",,"TÉLÉPHONIE"
,"LES MAGASINS COLLINS","949932",01/04/14,"116,66",,"VÊTEMENT,CHAUSSURES & ACCESSOIRES"
,"LES PAVAGES CHENAIL INC.","953513",23/04/14,"1 500,41",,"MATÉRIAUX DE CONSTRUCTION"
,"SERRUMAX INC","919254",23/04/14,"175,04",,"PIÈCES ET ACCESSOIRES"
"LAFOND, DANIEL","DEMARCOM INC.","951920",10/04/14,"466,70",,"FORMATION"
"LEARY, GENEVIEVE","MAERIX INC.","944209",01/04/14,"67,41",,"SERVICES TECHNIQUES"
"MARKARIAN, MORIS","ACKLANDS - GRAINGER INC.","955952",28/04/14,"280,62",,"PIÈCES ET ACCESSOIRES"
,"BRAULT DRAIN","940510",17/04/14,"2 576,17",,"SERVICES TECHNIQUES"
,"CENTRE DE TELEPHONE MOBILE LTEE","945779",17/04/14,"92,30",,"TÉLÉPHONIE"
,"CHAINES ET ELINGUES ST-PIERRE","950444",07/04/14,"1 222,34",,"PIÈCES ET ACCESSOIRES"
"MARKARIAN, MORIS","CHAINES ET ELINGUES ST-PIERRE","955877",28/04/14,"181,49",,"PIÈCES ET ACCESSOIRES"
,"CORPORATION D'URGENCES-SANTE","953244",14/04/14,"176,63",,"TRANSPORT AMBULANCIER"
,"DIV EQUIPEMENT DE SECURITE UNIVERSEL INC.","953501",15/04/14,"354,22",,"BIENS NON DURABLES"
