,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juillet 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,commande,,d'approbation,l'engagement,l'entente,
"ANGELY, MARION",1136179,ASS. PARITAIRE SANTE & SECURITE MUNIC. ,05/07/2016,"6 550,00",,Service - Formation en santé et sécurité
,1139186,CENTAURECOM INC. ,19/07/2016,"1 527,57",,Bouteille d'eau
,1140526,CYCLONE SANTE INC. ,26/07/2016,"2 782,17",,Expertise médicale
,1140528,,26/07/2016,"839,9",,Expertise médicale
,1136189,GESTION PERGEBEC INC. ,05/07/2016,"3 458,40",,Service - Enquêteur
,1140527,L'AIDE A L'AUTONOMIE PHYSIQUE ET PROF. ,26/07/2016,"1 070,87",,Conseiller en ergonomie
,1136190,L'EMPREINTE IMPRIMERIE INC. ,05/07/2016,"424,15",,Service - Impression
,1141431,LES EDITIONS YVON BLAIS INC ,29/07/2016,"80,95",,Lois du travail 2015-2016
,1139010,LOGISTIQUE DLVRD INC. ,18/07/2016,"209,97",,"Service - Postal, messagerie"
"BOUTIN, PIERRE",1141119,ACCES COMMUNICATIONS ,29/07/2016,"168,98",,Réparation/Entretien - Appareil de communication
,1137785,ATELIER N. C. LAMOUREUX ,12/07/2016,"4 497,66",,Réparation/Entretien - Véhicule utilitaire
,1094732,ENVIROSERVICES INC ,04/07/2016,"10 498,75",,Service - Analyse et essai en laboratoire
,1123776,HETEK SOLUTIONS INC ,21/07/2016,"171,91",,Service - Frais de transport
,1112572,LES E/SES DOUGLAS POWERTECH INC ,21/07/2016,"2 047,26",,Location d'une déchiqueteuse à branches
,1141076,LOCATION D'AUTOS ET CAMIONS DISCOUNT ,28/07/2016,"372,6",,Location – Automobile
,1104813,LOCATION GAMMA INC. ,26/07/2016,"208,3",,Location d'outils
,1141108,LOCATION SAUVAGEAU INC. ,28/07/2016,"1 438,33",,Location – Automobile
,1126904,PEPINIERE A. MUCCI INC. ,20/07/2016,"6 732,32",1074486,Mélange de terre
,1140507,,26/07/2016,"596,33",1074486,Mélange de terre
,1138885,PPG REVETEMENTS ARCH. CANADA INC. ,18/07/2016,"197,17",,Peinture - résidentielle et industrielle
,1102579,REMORQUAGE BURSTALL CONRAD ,15/07/2016,"16 320,31",,Service - Remorquage
"BROUSSEAU, HELENE",1139664,COMPUGEN INC. ,20/07/2016,"140,55",888370,Écran d'ordinateur
,1141471,,29/07/2016,"562,19",888370,Écran d'ordinateur
"CARRIER, RAYMOND",1140425,COMPUGEN INC. ,25/07/2016,"3 486,63",,Ordinateur et accessoire
,1136515,FRANCOIS-AKIO COTE ,06/07/2016,"944,89",,Béton préparé
,1137494,FUTURE & ENERGIES ,11/07/2016,"1 071,61",,Matériel artistique
,1136980,R.M. LEDUC & CIE INC. ,07/07/2016,"866,77",,Commande de DVD's et coins transparents
,1138574,,14/07/2016,"1 143,77",,Matériel artistique
,1140178,SERVICES MATREC INC. ,22/07/2016,"932,82",,Location - Toilette chimique
,1140401,VOXEL FACTORY INC. ,25/07/2016,"36,75",,Réparation/Entretien - Équipement de scène
"DESJARDINS, STEVE",1138370,9184-3326 QUÉBEC INC. ,14/07/2016,"314,96",,Service - Impression
,1139966,COMPUGEN INC. ,21/07/2016,"140,55",888370,Écran d'ordinateur
,1139459,IMPRESSION MULTI-SOURCES INC. ,20/07/2016,"346,46",,Service - Impression
,1139460,INGETEC EXPERTS-CONSEILS EN BATIMENT ,20/07/2016,"1 942,27",,Ingénieur civil - Structure de bâtiment
,1141165,LES EDITIONS YVON BLAIS INC ,28/07/2016,149,,Loi Aménagement urbanisme
,1140366,LES PEPINIERES JASMIN LTEE ,25/07/2016,"844,1",,Végétaux
,1140679,,26/07/2016,"1 143,31",,Végétaux
,1139120,KETCHUM MANUFACTURING INC. ,22/07/2016,"530,51",1068592,Service - Recensement et délivrance de licences
"DUPLANTIE, S-ANNE",1108972,AVEC PLAISIRS TRAITEUR ,18/07/2016,"4 199,50",,Service - Traiteur
,1140141,CEGEP MARIE-VICTORIN ,22/07/2016,"190,25",,Formation en développement interpersonnel / relationnel
,1139461,COMPUGEN INC. ,20/07/2016,"866,4",,Logiciel Antidote
"FORTIN, ALAIN",1138898,ATELIER N. C. LAMOUREUX ,18/07/2016,"2 176,01",,Réparation/Entretien - Véhicule lourd
,1137465,CITE NISSAN - GABRIEL S.E.C. ,20/07/2016,"11 183,70",,Réparation/Entretien - Automobile et camionnette
,1138889,EQUIPEMENTS TWIN INC. ,20/07/2016,"18 776,91",,Réparation/Entretien - Véhicule lourd
,1137463,REMORQUES SYLMAR INC ,20/07/2016,"11 382,24",,Réparation/Entretien - Véhicule lourd
,1139552,,20/07/2016,"360,84",,Réparation/Entretien - Véhicule lourd
"FRAPPIER, GENEVIEVE",1140454,AGF MAINTENANCE INC. ,25/07/2016,"425,2",,Réparation/Entretien - Porte et fenêtre
