,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour MARS 2015",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"commande","d'approbation","l'engagement",,
,,,,,,
"BERGERON, GILLES","AQUATECHNO SPECIALISTES AQUATIQUES INC.","1034087",24/03/15,"11 690,36",,"PRODUITS CHIMIQUES"
,"ASSOCIATION DES BIBLIOTHEQUES PUBLIQUES DU QUEBEC","1030790",09/03/15,"4 327,58",,"COTISATION PROFESSIONNELLE"
,"AVEC PLAISIRS TRAITEUR","1033053",18/03/15,"462,36",,"FRAIS DE RÉCEPTION"
,"COMPUGEN INC.","1030203",04/03/15,"1 967,86",,"FOURNITURES DE BUREAU"
,,"1030417",05/03/15,"709,79",,"FOURNITURES DE BUREAU"
,,"1030504",05/03/15,"709,79",,"FOURNITURES DE BUREAU"
,,"1034088",24/03/15,"140,55",,"FOURNITURES DE BUREAU"
,"DEV-ID INC.","1030202",04/03/15,"7 086,66",,"HONORAIRES PROFESSIONNELS"
,"MONTREAL STENCIL INC","1028040",17/03/15,"11,02",,"FOURNITURES DE BUREAU"
,"SERVICE D'ENTRETIEN PRO-PRET INC.","1030501",05/03/15,"8 159,62",,"SERVICES TECHNIQUES"
,"TOSHIBA SOLUTION D'AFFAIRES","1015593",18/03/15,"3,57",,"LOC. AMEUBLEMENT- EQUIPEMENT DE BUREAU"
"BOUCHER, DOMINIC","ACKLANDS - GRAINGER INC.","1030271",04/03/15,"696,64",,"PRODUITS CHIMIQUES"
,"ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC","1032519",17/03/15,"482,93",,"VÊTEMENT-CHAUSSURES & ACCESSOIRES"
,"FASTENAL CANADA LTEE","1030270",04/03/15,"805,37",,"VÊTEMENT-CHAUSSURES & ACCESSOIRES"
,"LAVALTRAC EQUIPEMENT","1030275",04/03/15,"17,76",,"BIENS NON DURABLES"
,"LES PUBLICATIONS DU QUEBEC","1029571",02/03/15,"78,22",,"LIVRES, PUBLICATIONS"
,"MDA ENVIRONNEMENT","1029559",02/03/15,"2 041,71",,"SERVICES TECHNIQUES"
,"PRODUITS AUTOMOBILES LAURENTIDE INC.","1030268",04/03/15,"195,31",,"PRODUITS CHIMIQUES"
,"PRODUITS SANY INC.","1035224",27/03/15,"169,73",,"BIENS NON DURABLES"
,"QUINCAILLERIE J. CARRIER INC","1030660",06/03/15,"101,84",,"PIÈCES ET ACCESSOIRES"
,"SCIAGE DE BETON 2000 INC","1032682",17/03/15,"558,53",,"LOC. VEHICULES-OUTILLAGE-EQUIPEMENT"
,"SERRUMAX INC","1035376",30/03/15,"524,94",,"PIÈCES ET ACCESSOIRES"
,"SHRED-IT INTERNATIONAL ULC","1030656",06/03/15,"1 364,84",,"SERVICES TECHNIQUES"
,"TENAQUIP LIMITED","1030266",04/03/15,"320,11",,"BIENS NON DURABLES"
,"U. CAYOUETTE INC.","1030662",06/03/15,"427,89",,"BIENS NON DURABLES"
,,"1030665",06/03/15,"103,18",,"BIENS NON DURABLES"
,,"1033702",30/03/15,"306,44",,"BIENS NON DURABLES"
"BOUTIN, PIERRE","LABRADOR LAURENTIENNE","1032508",23/03/15,"304,00",,"EAU POTABLE"
,"LES SERVICES EXP INC.","1030651",06/03/15,"4 772,73",,"SERVICES TECHNIQUES"
,"LOCATION DE CAMIONS PACLEASE, DIV  DE PACCAR DU CANADA","1031702",12/03/15,"19 164,15",,"LOC. VEHICULES-OUTILLAGE-EQUIPEMENT"
"BOUTIN, PIERRE","MULTI-PRESSIONS L.C. INC.","1032292",16/03/15,"66,97",,"BIENS NON DURABLES"
,"REMORQUES SYLMAR INC","1032521",17/03/15,"6 421,77",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
"BROUSSEAU, HELENE","CENTRE DE SERVICES PARTAGES DU QUEBEC","1024360",09/03/15,"2 834,66",,"TÉLÉPHONIE"
,,"1024363",09/03/15,"1 259,85",,"TÉLÉPHONIE"
,"CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.","1031398",11/03/15,"314,96",,"SERVICES TECHNIQUES"
"CARRIER, RAYMOND","BRAULT & BOUTHILLIER LTEE","1033432",19/03/15,"374,49",,"BIENS NON DURABLES"
,,"1035214",27/03/15,"597,75",,"FOURNITURES DE BUREAU"
,"CARR MCLEAN LIMITED","1035736",31/03/15,"5 338,61",,"BIENS NON DURABLES"
,"LES IMPRESSIONS PLASTIMAX","1034617",25/03/15,"1 823,11",,"BIENS NON DURABLES"
,"ROULEAUX DE PAPIER & RUBANS J.L. INC.","1033434",19/03/15,"663,52",,"FOURNITURES DE BUREAU"
"DESJARDINS, STEVE","MONTREAL STENCIL INC","1034235",24/03/15,"1 574,81",,"FOURNITURES DE BUREAU"
,"MP REPRODUCTIONS INC.","1031179",10/03/15,"4 199,50",,"SERVICES TECHNIQUES"
"DUPLANTIE, SYLVIA-ANNE","ALERTE COURRIER P.M.E.","1033604",20/03/15,"500,00",,"FRAIS DE POSTES"
,"AVEC PLAISIRS TRAITEUR","1033091",18/03/15,"4 500,00",,"FRAIS DE RÉCEPTION"
,"DESCHAMPS IMPRESSION INC.","1029381",02/03/15,"314,96",,"SERVICES TECHNIQUES"
,"DUPLANTIE, SYLVIA-ANNE","1033092",18/03/15,"1 587,09",,"DÉPENSES DE FONCTION"
,"IMPRIMERIE MULTI-FORMAT","1033356",19/03/15,"800,00",,"SERVICES TECHNIQUES"
,"TAXI-CHARGE.L'ASSOCIATION DE TAXI DIAMOND DE MONTREAL LTEE","1033380",19/03/15,"500,00",,"FRAIS DE TRANSPORT"
,"TOSHIBA SOLUTION D'AFFAIRES","1033070",18/03/15,"4 199,50",,"LOC. AMEUBLEMENT- EQUIPEMENT DE BUREAU"
"FORTIN, ALAIN","EQUIPEMENTS TWIN INC.","1030675",06/03/15,"3 000,54",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
,,"1034380",25/03/15,"3 100,85",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
,"LAVE-AUTO ST-JACQUES","1030659",06/03/15,"944,89",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
,"LOCATION HEWITT INC","1031863",12/03/15,"1 016,81",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
,,"1031864",12/03/15,"102,89",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
,,"1031866",12/03/15,"322,67",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
,"NORTRAX QUEBEC INC.","1030486",05/03/15,"1 625,05",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
,,"1030488",05/03/15,"1 625,05",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
,,"1031755",12/03/15,"3 241,02",,"ENT.-REP. VEHICULES-OUTILLAGE-EQUIPEMENT"
