,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour novembre 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,commande,,d'approbation,l'engagement,l'entente,
"ANGELY, MARION",1159626,ARIMA CONSEILS INC.,11-03-16,"1 469,82",,Rencontre de coaching
,1164975,BOUTY INC,11-25-16,"294,87",,Chaises
,1164509,CTRE PATRONAL DE SANTE ET SEC. DU TRAVAIL DU QC,11-24-16,"451,45",,Formation en développement organisationnel et technique
,1159321,EXPERTISE NEUROSCIENCES INC.,11-02-16,"3 018,39",,Médecin
,1160560,LANGE PATENAUDE EQUIP. LTEE - KUBOTA MTL,11-08-16,"1 984,34",,Service - Machinerie avec opérateur
"BOUTIN, PIERRE",1162960,MONTREAL STENCIL INC,11-17-16,"44,54",,Accessoire de bureau
,1160101,TRANSPORT MOTTILLO ET FILS INC.,11-04-16,"10 802,04",,Réparation de conduit d'aqueduc
,1165679,,11-29-16,"22 782,29",,Réparation de conduit d'aqueduc
"BROUSSEAU, HELENE",1162737,"ARCAND, PATRICIA",11-16-16,"2 379,58",,Formations en développement organisationnel et technique
"CARRIER, RAYMOND",1159465,ASS. DES BIBLIO PUBLIQUES DU QC,11-02-16,"255,00",,Formation en développement interpersonnel et relationnel
,1159469,,11-02-16,"607,87",,Livres
,1163763,AUVENTS ET ABRIS GMS,11-21-16,"876,65",,"Service - Installation, gestion, entretien"
,1164620,BIBLIO RPL LTEE,11-24-16,"209,98",,Fourniture d'expédition et étiquette
,1159647,BOUTY INC,11-03-16,"431,50",,Réparation/Entretien - Équipement de bureau
,1159661,BRAULT & BOUTHILLIER LTEE,11-03-16,"488,87",,"Matériel pour loisir, jeu"
,1164629,,11-24-16,"58,80",,"Papier, article de papeterie"
,1158446,CARR MCLEAN LIMITED,11-15-16,"68,49",,Frais de transport
,1159642,DEMENAGEMENT LA CAPITALE,11-03-16,"6 294,00",,Service - Déménagement
,1161008,LES SOLUTIONS DE RANGEMENT PRISMA INC.,11-09-16,"3 543,33",,Rayonnage pour la biblio CDN
,1159456,LOCATION D'AUTOS ET CAMIONS DISCOUNT,11-02-16,"1 987,75",,Location de voiture
,1162217,MAGASINS BEST BUY LTEE,11-15-16,"62,95",,Appareil électronique
,1163783,,11-21-16,"210,77",,Composante électronique
,1165527,MAHEU & MAHEU INC.,11-29-16,"892,39",,"Service - Extermination, fumigation"
,1159473,M.F.B.B.,11-02-16,"203,41",,Service - Installation de lettrage
,1164338,R.M. LEDUC & CIE INC.,11-23-16,"1 070,52",,Fourniture d'expédition et étiquette
,1096992,TOSHIBA SOLUTIONS D'AFFAIRES,11-04-16,"262,47",,Location - Photocopieur
,1163791,ULINE CANADA,11-21-16,"414,70",,Fourniture de classement et de rangement
,1164651,VINYLFAB INC.,11-24-16,"390,55",,"Reliure, porte-document"
"DESJARDINS, STEVE",1151293,KETCHUM MANUFACTURING INC.,11-07-16,"51,24",1148581,Frais de transport
,1126894,L'EMPREINTE IMPRIMERIE INC.,11-15-16,"524,94",,Impression de cartes professionnelles
,1161306,QUOTIENT JURICOMPTABLES INC.,11-10-16,"5 000,00",,Expertises juricomptable
,1162323,UNIVERSITE DE MONTREAL,11-15-16,"1 850,00",,Vétérinaire
,1160041,VERSALYS,11-04-16,"2 267,73",,Formation en informatique
"DUPLANTIE, S-ANNE",1159394,L'ASS. URBANISTES ET AMENAGISTES MUNIC. DU QC,11-02-16,"195,00",,Formation en développement organisationnel et technique
,1158957,AUTOBUS GALLAND LTEE,11-01-16,"335,96",,Service - Transport autobus pour visite de l'arrondissement
,1163907,BRAULT & BOUTHILLIER LTEE,11-22-16,"2 107,36",,Meubles
,1164031,CUISINE-ATOUT ENTREPRISE D'INSERTION INC.,11-22-16,"197,50",,Service - Traiteur
,1158965,ECOLE NATIONALE D'ADMIN. PUBLIQUE,11-01-16,"1 190,00",,Formation en développement organisationnel et technique
"DUPLANTIE, S-ANNE",1162109,KOREM LOGICIELS ET DONNEES GEOSPATIAUX,11-15-16,"624,68",,Logiciel et progiciel
,1159393,LES EDITIONS YVON BLAIS INC,11-02-16,"129,00",,"Guide, brochure et affiche"
,1160901,LES EQUIPEMENTS D'ARPENTAGE CANSEL INC.,11-09-16,"1 826,78",,Logiciel et progiciel
,1159398,LUNCH INSOLITE,11-02-16,"187,51",,Service - Traiteur
,1112439,IMPRIMERIE MULTI-FORMAT,11-02-16,"127,03",,Service d'impression
"FORTIN, ALAIN",1164954,NORTRAX QUEBEC INC.,11-25-16,"4 098,18",,Réparation/Entretien - Véhicule lourd
,1164956,,11-25-16,"1 625,05",,Réparation/Entretien - Appareil automobile spécialisé
,1164959,,11-25-16,"1 625,05",,Réparation/Entretien - Appareil automobile spécialisé
,1164962,,11-25-16,"501,72",,Réparation/Entretien - Véhicule lourd
,1164063,PNEUS METROPOLITAINS INC.,11-29-16,"226,02",,Pneu & Jante - Véhicule lourd
,1162751,REMORQUES SYLMAR INC,11-16-16,"4 358,80",,Réparation/Entretien - Véhicule lourd
"FRAPPIER, GENEVIEVE",1163785,7761023 CANADA INC,11-21-16,"3 053,57",,Rideaux pour l'aréna Doug Harvey
,1160522,AQUATECHNO SPECIALISTES AQUATIQUES INC.,11-08-16,"1 732,29",1134273,Équipement pour piscine et jeu d'eau
,1161181,CIMCO REFRIGERATION TOROMONT INDUSTRIE,11-09-16,"1 345,43",,"Service - Installation, gestion, entretien"
,1159493,LOCATION D'AUTOS ET CAMIONS DISCOUNT,11-02-16,"1 490,82",,Location - Automobile
,1164352,,11-23-16,"745,41",,Location - Automobile
,1164090,LOCATION SAUVAGEAU INC.,11-22-16,"773,76",,Location - Automobile
,1164344,NEDCO,11-23-16,"138,46",,Lampes
,1159054,PRODUITS SANY,11-01-16,"297,06",1048199,Produit d'entretien ménager
,1159055,,11-01-16,"136,48",1048199,Produit d'entretien ménager
,1163337,,11-18-16,"541,16",1048199,Équipement et produit d'entretien ménager
,1159545,SOS CARDIAQUE INC,11-03-16,"272,97",,Formation en santé et sécurité
,1154475,SUPERIEUR PROPANE,11-07-16,"314,96",976905,Location de cylindre
,1165014,SYLPROTEC INC.,11-25-16,"1 525,99",,Équipement contre les incendies
,,,11-25-16,"1 466,52",,"Guide, brochure et affiche"
,,,11-25-16,"782,34",,Mobilier pour protection et sécurité
