,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour octobre 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,commande,,d'approbation,l'engagement,l'entente,
"ANGELY, MARION",1153651,ANTHONY BATTAH,10-05-16,"2 834,66",,Avocat
,1147642,CIEMM- COMITE INTER-E/SES DU MTL METROPOLITAIN INC.,10-10-16,"450,00",,Frais - Adhésion et cotisation
,1154307,CLINIQUE DE MEDECINE INDUSTRIELLE DES LAURENTIDES,10-07-16,"354,33",,Médecin
,1155983,"FRANCOIS LEDUC, CONSULTANTS INC.",10-18-16,"918,64",,"Psychologue, Travailleur social"
,1147644,LES CONSULTANTS LUPIEN ROULEAU INC,10-03-16,"1 675,49",,"Service - Enquêteur, détective"
"BOUTIN, PIERRE",1154849,ECOLE POLYTECHNIQUE MONTREAL (B.R.C.D.T.),10-12-16,"1 049,87",,Frais - Formation
,1154397,ELECTRONIQUE ADDISON,10-07-16,"15,71",,Étui pour iPad
,1141067,LOCATION D'AUTOS ET CAMIONS DISCOUNT,10-28-16,"2 981,64",,Location - Automobile
,1157703,TRAFFIC LOGIX,10-25-16,"11 431,04",,Mobilier pour protection et sécurité
"BROUSSEAU, HELENE",1157635,MP REPRODUCTIONS INC.,10-25-16,"1 652,40",C926254,Service - Numérisation de documents
,,,10-25-16,"584,41",,Service - Numérisation de documents
,1154411,SISCA SOLUTIONS D'AFFAIRES CANADA INC.,10-07-16,"986,88",,Service - Impression
"CARRIER, RAYMOND",1157820,BRAULT & BOUTHILLIER LTEE,10-26-16,"1 395,81",,"Matériel pour loisir, jeu"
,1158446,CARR MCLEAN LIMITED,10-28-16,"657,22",,Fourniture d'expédition et étiquette
,1158230,SERRUMAX INC,10-27-16,"164,31",,Service - Serrurier
,1158239,TECHNO-GESTASS LTEE,10-27-16,"2 409,46",,Matériel pour communication graphique
,1158458,VOXEL FACTORY INC.,10-28-16,"365,46",,"Encre, toner"
"DESJARDINS, STEVE",1153622,FRED ATOUT,10-05-16,"367,46",,Location - Outil électrique
,1157614,SERVICE D'ARBRES NATURE,10-25-16,"4 986,91",,"Service - Abattage, émondage, élagage"
,1152985,STEPHANIE GALELLA,10-03-16,"4 830,00",,Urbaniste - Aménagement du territoire
"DUPLANTIE, S-ANNE",1158135,L'ASS. DES URBANISTES ET DES AMENAGISTES MUNIC. DU QC,10-27-16,"685,00",,Frais - Adhésion et cotisation
,1156493,QVC – INSCRIPT,10-19-16,"440,95",,Frais - Inscription pour congrès
"EMOND, LISE",1125436,FONDERIE LAPERLE DIR. TUYAUTERIES CANADA LTEE,10-11-16,"202,35",1005686,Réparation de conduit d'aqueduc
"FRAPPIER, GENEVIEVE",1156006,AQUAM SPECIALISTE AQUATIQUE INC.,10-18-16,"668,63",,Équipement pour piscine et jeu d'eau
,1154785,CORPORATION D'URGENCES-SANTE,10-12-16,"126,58",,Service - Transport ambulancier
,1154834,LOCATION SAUVAGEAU INC.,10-12-16,"1 496,03",,Location - Automobile
,1155132,PRODUITS SANY,10-13-16,"160,59",,Réparation/Entretien - Appareil d'entretien
,1156466,,10-19-16,"108,92",1048199,Produits d'entretien
,1156467,,10-19-16,"457,56",1048199,Équipement et produit d'entretien
,1156468,,10-19-16,"106,09",1048199,Équipement et produit d'entretien
,1156469,,10-19-16,"106,88",1048199,Équipement et produit d'entretien
,1156487,,10-19-16,"285,61",1048199,Équipement et produit d'entretien
,1156488,,10-24-16,"106,30",1048199,Équipement d'entretien manuel
,1157448,,10-24-16,"272,06",1048199,Équipement et produit d'entretien
,1158453,ROBERT BOILEAU INC,10-28-16,"2 703,43",,"Service - Installation, gestion, entretien"
,1155870,SERVICES FINANCIERS MODSPACE CANADA LTD,10-17-16,"770,82",,Location de Roulotte
,,,10-17-16,"1 133,86",,Location - abris temporaires
,1154475,SUPERIEUR PROPANE,10-11-16,"146,98",976905,Location de cylindre
"GAUDREAULT, SONIA",1098854,AQUATECHNO SPECIALISTES AQUATIQUES INC.,10-25-16,"3 596,45",,Produit pour traitement de l'eau
,1156674,ASSOCIATION DE SOCCER NDG,10-20-16,"2 026,73",,Service - Organisation de festivals et spectacles
,1157664,BOO! DESIGN INC.,10-25-16,"708,66",,Service - Impression
,1122321,"CHARLES, CHRISTOPHER",10-18-16,"332,00",,Frais - carte Opus pour 4 mois
,1155543,COMITE JEUNESSE DE NOTRE-DAME-DE-GRACE,10-14-16,"2 498,44",,Service - Organisation d'activités sportives
,1157832,COMMISSION SPORTIVE MONTREAL CONCORDIA INC.,10-26-16,"1 049,87",,"Frais - Inscription congrès, évènements"
"GAUDREAULT, SONIA",1158237,LE MUSEE DU ROCK'N'ROLL,10-27-16,"262,47",,Service - Production d'élément d'exposition
,1151215,LES EMBALLAGES BOX PACK,10-13-16,"26,24",,Fourniture de classement et de rangement
