,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour mai 2016",,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ","Numéro de","Description"
,,"commande","d'approbation","l'engagement","l'entente",
"ANGELY, MARION","BOUTY INC",1123125,05-10-16,"1 437,12   ",1013950,"Chaise et fauteuil ergonomique"
,"BRADETTE, MICHEL",1121313,05-03-16,"95,00   ",,"Remboursement vaccin"
,"CYCLONE SANTE INC.",1125427,05-19-16,"2 021,01   ",,"Expertise médicale"
,"EDUMICRO INC",1125322,05-18-16,"950,14   ",,"Service - Formation en développement technique"
,"VINCENT ERGONOMIE INC.",1125429,05-19-16,"2 270,35   ",,"Conseiller en ergonomie"
"BOUCHER, DOMINIC","3289419 CANADA (COLLINS)",1125865,05-20-16,"271,84",,"Chaussures de sécurité"
,"ACCESS SPEC TELECOMMUNICATIONS INC.",1124211,05-25-16,"3 036,24",,"Réparation/Entretien - Outil à batterie"
,,1125724,05-30-16,"772,55",,"Réparation/Entretien - Outil à batterie"
,"ACIER LACHINE INC",1125867,05-20-16,"1 576,52",,"Matériel de fixation"
,"ALBERT VIAU DIVISION EMCO CORPORATION",1125862,05-20-16,"1 236,75",,"Produit de branchement"
,"CERTIFLO INC.",1123785,05-12-16,"536,19",,"Outil manuel"
,"CHAINES ET ELINGUES ST-PIERRE CANADA LTEE",1125855,05-20-16,"1 417,99",,"Élingue en nylon"
,"CONSTRUCTION DJL INC",1118308,05-30-16,"2 249,98",1092608,"Asphalte, bitume"
,"CORPORATE EXPRESS CANADA INC.",1125853,05-20-16,"65,25",,"Équipement d'entretien manuel"
,"ENTREPRISES FORLINI-DIVISION ",1123789,05-12-16,"44,09",,"Botte d'eau"
,,1127531,05-30-16,"965,89",,"Signalisation routière"
,"ENVELOPPE LAURENTIDE INC",1125877,05-20-16,"118,37",,"Achat d'enveloppes"
,"FONDERIE LAPERLE ",1123278,05-10-16,"6 936,21",1005686,"Puisard et chambre de vanne"
,,1123279,05-10-16,"6 936,21",1005686,"Puisard et chambre de vanne"
,,1125436,05-19-16,"1 942,73",1005686,"Réparation de conduit d'aqueduc"
,"CANADIAN TIRE",1123780,05-12-16,"104,97",,"Aménagement de véhicules"
,"HILTI CANADA LTEE",1127525,05-30-16,"778,74",,"Outil manuel"
,"INOLEC",1123318,05-20-16,"357,9",,"Réparation - Machine et équipement pour traitement de l'eau"
,"LES PAVAGES CHENAIL INC.",1124328,05-16-16,"262,66",,"Asphalte, bitume"
,"MARTECH SIGNALISATION INC.",1125868,05-20-16,"1 646,21",,"Signalisation routière"
,"PEINTURES ENNIS CANADA ULC",1125866,05-20-16,"352,76",1117207,"Peinture de signalisation"
,"PPG REVETEMENTS ARCHITE. CANADA INC.",1028918,05-04-16,"314,75",,"Peinture - résidentielle et industrielle"
,"PRESFAB RUBTECH INC.",1123276,05-10-16,"1 511,69",1043338,"Outils manuels"
,"PRODUITS SANY",1127519,05-30-16,"331,75",,"Produit d'entretien ménager"
