,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour JUILLET 2015,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Description
,,commande,d'approbation,l'engagement,
"ANGELY, MARION","BELANGER, PIERRE",1058316,07-13-15,"1 500,00 $","Frais - Règlement, réclamation"
,COLLEGE DE BOIS-DE-BOULOGNE,1058215,07-10-15,"5 364,86 $",Service - Formation en service à la clientèle
,COMPUGEN INC.,1059736,07-17-15,"1 405,47 $",Écrans.
,,,,,
"BERGERON, GILLES",CENTRE DE RESSOURCES COMMUNAUTAIRE COTE-DES-NEIGES,1061235,07-27-15,"1 080,00 $",Service - Surveillance
,CENTRE DE SERVICES PARTAGES DU QUEBEC,1059137,07-15-15,"223,07 $",Appareil de communication
,COFELY SERVICES INC.,1058062,07-10-15,"15 607,67 $",Entretien Centre sportif NDG
,COMPUGEN INC.,1061234,07-27-15,"140,55 $",Écran
,GELBER CONFERENCE CENTRE,1056569,07-03-15,"1 259,40 $",Service - Traiteur pour la rencontre de direction
,LES ENTREPRISES DE CONSTRUCTION PROFIL INC.,1058553,07-13-15,"5 448,85 $",Travaux d'aménagement de Parc
,SERVICE D'ENTRETIEN PRO-PRET INC.,1056565,07-03-15,"3 886,00 $",Entretien ménager Victoria Barclay
,TOSHIBA SOLUTIONS D'AFFAIRES,1056750,07-06-15,"131,23 $",Réparation du photocopieur
,,,,,
"BOUCHER, DOMINIC",3289419 CANADA (COLLINS),1060279,07-21-15,"357,15 $",Botte d'asphalte
,ACIER LACHINE INC,1057479,07-08-15,"1 713,98 $",Accessoire et pièce de remplacement pour outil
,ACTION R-VAC INC.,1060272,07-21-15,"308,59 $",Service - Traitement/de matières organiques
,ALBERT VIAU DIVISION EMCO CORPORATION,1061494,07-28-15,"1 953,77 $",Produit de branchement
,BURO PLUS UNE DIVISION DE NOVEXCO INC,1060863,07-23-15,"791,24 $",Papier d'impression
,CEGEP DE SAINT-LAURENT,1060179,07-21-15,"2 771,67 $",Service - Formation
,CHAUSSURES BELMONT INC,1058127,07-10-15,"167,93 $",Botte de sécurité
,,1061936,07-30-15,"138,28 $",Botte de sécurité
,ENTREPRISES FORLINI-DIVISION,1057938,07-09-15,"173,23 $",Manteau Imperméable
,,1061939,07-30-15,"131,23 $",Botte de sécurité
,FONDERIE LAPERLE,1057178,07-07-15,"8 323,45 $",Équipement pour puisard
,GENFIR INC,1060176,07-21-15,"605,77 $",Réparation de conduit d'aqueduc
,,1061500,07-28-15,"377,17 $",Tuyau d'aqueduc
,GESTIONS JEAN-MARC GAGNE LTEE (CANADIAN TIRE),1061492,07-28-15,"104,98 $",Outil manuel
,GIVESCO INC.,1057744,07-09-15,"202,19 $",Accessoire et pièce de remplacement pour outil
,,1060166,07-21-15,"2 148,30 $",Outil manuel
,LABRADOR LAURENTIENNE,1032508,07-30-15,"335,50 $",Eau potable - Mesure d'urgence
,LAFARGE CANADA INC,1035549,07-28-15,"1 294,44 $",Béton préparé
,,1038034,07-21-15,"2 706,68 $",Pierre nette
,,1060275,07-21-15,"1 657,49 $",Béton préparé
,LA MAISON DU PEINTRE,1060159,07-21-15,"42,55 $",Équipement d'entretien manuel
,L'EFFACEUR INC.,1056417,07-02-15,"6 293,74 $",Service - Nettoyage place publique
,LOCATION GAMMA INC.,1042451,07-30-15,"181,42 $",Service - Inspection de conduites
,LOCATION SAUVAGEAU INC.,1061513,07-28-15,"3 740,75 $",Location - Automobile
,LONGUS EQUIPEMENT INC.,1048614,07-30-15,"413,27 $",Outil manuel
,MARTECH SIGNALISATION INC.,1061968,07-30-15,"957,38 $",Signalisation routière
,MULTI-PRESSIONS L.C. INC.,1060164,07-21-15,"505,90 $",Réparation/Entretien - Appareil d'entretien
,PEPINIERE A. MUCCI INC.,1061944,07-30-15,"631,74 $",Terre
,PREVENTION COTE-DES-NEIGES NOTRE-DAME-DE-GRACE,1060143,07-21-15,"1 750,00 $",Gestion et entretien des sites communautaires
"BOUCHER, DOMINIC",PRODUITS SANY INC.,1057179,07-07-15,"317,33 $",Produits d'entretien ménager
,,1059907,07-20-15,"283,93 $",Équipement d'entretien manuel
,RENO-DEPOT,1057210,07-07-15,"50,24 $",Accessoire et fourniture de peinture
,,1057561,07-08-15,"130,84 $",Accessoire et pièce de remplacement pour outil
,,1061497,07-28-15,"61,42 $",Outil manuel
,SCIAGE DE BETON 2000 INC.,1060154,07-21-15,"3 790,57 $",Location - Outil électrique
,,1061965,07-30-15,"2 309,72 $",Location - Outil électrique
,SECURMAX,1052835,07-23-15,"845,15 $",Clés intelligentes
