,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour mars 2016,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Description
,,commande,d'approbation,l'engagement,
"ANGELY, MARION",CIEMM- COMITE INTER-ENTREPRISES DU MTL,1113535,24-mars-2016,300,Frais - Adhésion et cotisation
,ENTRAC INC.,1112443,21-mars-2016,"467,72",Conseiller en ergonomie
,S/ES PROF. ET ADMINISTRATIFS DRUMMOND,1110793,14-mars-2016,"813,65",Conseiller en relation de travail
,"RHEAULT, NATHALIE",1111687,22-mars-2016,"334,4",Conseiller en relation de travail
,TAXI-CHARGE.,1111669,17-mars-2016,"524,94","Frais - Transport en commun, taxi, stationnement"
"BOUCHER, DOMINIC",ABC ENVIRONNEMENT INC.,1109177,07-mars-2016,"774,41","Service - Vidange de puisards, regards et fosses septiques"
,ALESCIO PLOMBERIE INC,1111881,17-mars-2016,"2 310,21",Service - Déglaçage et nettoyage de conduites
,APSAM ASSOCIATION PARITAIRE SANTE & SECURITE AFFAIRES MUNICIPALES,1109165,07-mars-2016,"2 129,40",Service - Formation en santé et sécurité
,,1111875,17-mars-2016,200,Service - Formation en santé et sécurité
,CENTRE DE SERVICES PARTAGES DU QUEBEC,1112301,21-mars-2016,"4 702,74","Frais - Règlement, réclamation"
,COMPUGEN INC.,1108292,02-mars-2016,"421,64",Ordinateur et accessoire
,CONSTRUCTION DJL INC,1108106,01-mars-2016,"1 171,93","Asphalte, bitume"
,,1111884,17-mars-2016,"1 826,78","Asphalte, bitume"
,DESCHAMPS IMPRESSION INC.,1114054,30-mars-2016,21,Service - Impression
,ENTREPRISES FORLINI,1110054,10-mars-2016,"146,98",Équipement de protection
,EXTERMINATION INSPEX INC.,1105150,01-mars-2016,"31,5","Service - Extermination, fumigation"
,"FORMOBILE, CENTRE DE FORMATION INTEGREE INC.",1111878,17-mars-2016,570,Formation en dév. organisationnel et technique
,INOLEC,1108277,02-mars-2016,"1 183,19",Outil manuel
,LES PUBLICATIONS DU QUEBEC,1113023,23-mars-2016,"136,22",Guide
,LOCATION GAMMA INC.,1104813,17-mars-2016,"297,07",Location - Outil manuel
,PRIMO INSTRUMENT INC.,1114049,30-mars-2016,"216,27",Outil manuel
,PRODUITS AUTOMOBILES LAURENTIDE INC.,1098750,07-mars-2016,"2 099,75",Équipement - Véhicule et appareil
,,1108103,01-mars-2016,"1 049,87",Huile et liquide pour matériel roulant
,PRODUITS SANY,1113947,30-mars-2016,"39,48",Équipement d'entretien manuel
,QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC.,1096137,10-mars-2016,"40,93",Produit de branchement
,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.",1110039,10-mars-2016,"134,02",Huissier de justice
,STELEM,1108286,02-mars-2016,"440,95",Outil manuel
,,1110046,10-mars-2016,"157,48",Borne d'incendie
,SUV SOUPAPES UNIVERSELLE VALVES,1110488,11-mars-2016,"892,39",Réparation de conduit d'aqueduc
,SWISS ONE SAFETY INC.,1110056,10-mars-2016,"944,89",Équipement de protection
,TECHNOLOGIES METEOROLOGIQUES MET-TECH INC.,1095802,07-mars-2016,"3 716,56",Météorologue
,TENAQUIP LIMITED,1108095,01-mars-2016,"84,37",Pompe et compresseur
,,,01-mars-2016,"25,5",Gant
,TRANSELEC COMMMON INC.,1105198,11-mars-2016,"1 632,40",Service - Éclairage de rue et signalisation
,U. CAYOUETTE INC.,1108283,02-mars-2016,"387,21",Accessoire et pièce de remplacement pour outil
"BOUTIN, PIERRE",AXOR EXPERTS-CONSEILS INC.,1111676,17-mars-2016,"9 774,34",Service - Travail technique en architecture et génie civil
,,1111677,17-mars-2016,"9 517,12",Service - Travail technique en architecture et génie civil
,,1111678,17-mars-2016,"7 716,58",Service - Travail technique en architecture et génie civil
,,1111681,17-mars-2016,"8 218,20",Service - Travail technique en architecture et génie civil
,,1111685,17-mars-2016,"4 381,14",Service - Travail technique en architecture et génie civil
,CONSTRUCTION DJL INC,1106299,14-mars-2016,"22 824,28","Asphalte, bitume"
,DESCHAMPS IMPRESSION INC.,1109122,07-mars-2016,21,Service - Impression
,ENTREPRISE ROBERT GREEN INC,1112566,22-mars-2016,"2 755,25",Tuyauterie et raccord
,,,22-mars-2016,"8 246,88",Bois de construction
,,,22-mars-2016,"114,39",Accessoire et fourniture de plomberie
,EQUIPEMENT CON-X CANADA INC.,1108070,01-mars-2016,"2 576,34",Machine et équipement d'aménagement paysager
,,,01-mars-2016,"387,77",Outil manuel
,LES ENTREPRISES DOUGLAS POWERTECH INC,1112572,22-mars-2016,"12 031,57",Location - Appareil automobile spécialisé
,LES PAVAGES CHENAIL INC.,1094575,07-mars-2016,"1 829,93","Asphalte, bitume"
,,1109909,29-mars-2016,"22 827,43","Asphalte, bitume"
,PEPINIERE FRANCOIS LEMAY INC.,1108565,03-mars-2016,"1 880,32",Végétaux
,SOCIETE EN COMMANDITE STRONGCO,1108569,03-mars-2016,"22 828,34",Véhicule lourd et machinerie lourde
,TRANSVRAC MONTREAL LAVAL INC.,1096134,23-mars-2016,"13 648,37",Service - Collecte de matières organiques
,,1108067,01-mars-2016,"10 498,75",Service - Collecte de matières organiques
,W. COTE ET FILS LTEE,1103044,07-mars-2016,"409,57",Réparation/Entretien - Véhicule lourd et machinerie lourde
"BROUSSEAU, HELENE",CPU DESIGN INC.,1113168,23-mars-2016,"173,23",Imprimante.
"CARRIER, RAYMOND",BRAULT & BOUTHILLIER LTEE,1098765,23-mars-2016,"54,44","Papier, article de papeterie"
,COFFRES-FORTS C.B. 2000 INC.,1109373,08-mars-2016,"417,33",Service - Transport de colis
,IMPRESSION SANS LIMITE,1113202,23-mars-2016,"51,1","Papier, article de papeterie"
,LES DISTRIBUTRICES SYBCO LTEE,1113204,23-mars-2016,"3 522,28","Service - Installation, gestion, entretien"
"DESJARDINS, STEVE",COMPUGEN INC.,1110571,11-mars-2016,"140,55",Ordinateur et accessoire
,HOPITAL VETERINAIRE SHERWOOD PARK,1111258,16-mars-2016,"524,94",Vétérinaire
,MP REPRODUCTIONS INC.,1109622,09-mars-2016,"8 568,00",Service - Numérisation de documents
,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE",1098467,15-mars-2016,"1 469,82",Huissier de justice
,TOSHIBA SOLUTIONS D'AFFAIRES,1103788,15-mars-2016,"839,9",Location - Photocopieur
,TRADUCTIONS TERRY KNOWLES INC.,1111256,15-mars-2016,"44,62","Service - Rédaction, révision"
"DUPLANTIE, S-ANNE",ALERTE COURRIER P.M.E.,1108975,04-mars-2016,"629,92","Service - Postal, messagerie"
,AVEC PLAISIRS TRAITEUR,1108972,04-mars-2016,"2 099,75",Service - Traiteur
,CENTRE DE SERVICES PARTAGES DU QUEBEC,1108967,04-mars-2016,"2 267,73",Service annuel - Téléphonie cellulaire
,IMPRIMERIE MULTI-FORMAT,1112439,21-mars-2016,"1 049,87",Service d'impression
,LES EDITIONS YVON BLAIS INC,1108026,01-mars-2016,"209,97",Guide de Mise à jour.
,LINDA KEMERER,1108965,04-mars-2016,"2 766,35",Formation en développement interpersonnel et relationnel
,ORDRE DES URBANISTES DU QUEBEC.,1112170,18-mars-2016,"288,72","Frais - Inscription pour colloque, conférence et congrès"
,TAXI-CHARGE,1108966,04-mars-2016,"524,94",Service - Transport automobile
"FRAPPIER, GENEVIEVE",CORPORATION D'URGENCES-SANTE,1112043,18-mars-2016,"141,89",Service - Transport ambulancier
,GROUPE MECANO INC,1109394,08-mars-2016,"1 931,77",Équipement pour piscine et jeu d'eau
,PRODUITS SANY,1107471,09-mars-2016,"52,94",Équipement et produit d'entretien manuel
,,1107472,09-mars-2016,"140,05","Produit de papier, papier hygiénique"
,,1107473,09-mars-2016,"495,43",Équipement et produit d'entretien
,,1107474,09-mars-2016,"267,72","Produit de papier, papier hygiénique"
,,1111944,17-mars-2016,"220,64",Équipement et produit d'entretien
,,1111945,17-mars-2016,"413,04",Équipement et produit d'entretien
,TENAQUIP LIMITED,1112046,18-mars-2016,"203,15",Mobilier pour protection et sécurité
"GAUDREAULT, SONIA",9171-5169 QUEBEC INC.,1113211,23-mars-2016,"1 828,88",Accessoire de sport
,ASS. DES RESPONSABLES AQUATIQUES DU QUEBEC,1112037,18-mars-2016,245,Frais - Adhésion et cotisation
,ASS. PARITAIRE POUR LA SANTE ET SECURITE TRAVAIL,1112033,18-mars-2016,200,Service - Formation en santé et sécurité
,COMMISSION SCOLAIRE DE MONTREAL (CSDM),1112057,18-mars-2016,"4 585,25",Location - Édifice
,,1113232,23-mars-2016,"622,85",Location - Salle
,DISCOVER COMMUNICATIONS INC,1112042,18-mars-2016,"813,65",Appareil de communication
,PHILIPPE VAN EETVELT,1107643,09-mars-2016,"5 695,57",Service - Artiste de la scène
,PRODUITS SANY,1113227,23-mars-2016,"167,55",Équipement et produit d'entretien
,,1113525,24-mars-2016,"71,18",Poubelle et conteneur
"GENDRON, DENIS",ADDENERGIE TECHNOLOGIES INC.,1111020,15-mars-2016,"1 286,10",Réparation/Entretien - Sys. et équipement d'automatisation
,"ANGELY, MARION",1112436,21-mars-2016,"1 297,42",Frais annuel - Stationnement et frais de kilométrage
,CENTRE DE SERVICES PARTAGES DU QUEBEC,1112440,21-mars-2016,"2 601,59",Service annuel - Téléphonie cellulaire-DSAG
,,1112442,21-mars-2016,"447,25",Service annuel - Téléphonie cellulaire-Actifs immobiliers
,CIEMM- COMITE INTER-ENTREPRISES DU MTL,1113539,24-mars-2016,450,Frais - Adhésion et cotisation
,CPU DESIGN INC.,1110802,14-mars-2016,"347,77",Imprimante.
,EXPERTISE NEUROSCIENCES INC.,1113543,24-mars-2016,"3 569,57","Psychologue, Travailleur social"
,GEOPOSITION ARPENTEURS-GEOMETRES INC.,1108970,04-mars-2016,"4 724,44",Arpenteur-géomètre
,LEDUC SECURITE,1110572,11-mars-2016,"495,53",Réparation/Entretien - Sys. de contrôle et de surveillance.
,LES CONSTRUCTIONS TREMCO INC.,1108294,02-mars-2016,"591,99","Matériel de fixation, clou, vis"
,LES ENTREPRISES DE CONSTRUCTION PROFIL INC.,1108969,04-mars-2016,"2 866,73",Entrepreneur en petits bâtiments
,MBI EXPERTS-CONSEILS,1113540,24-mars-2016,"3 149,62",Ingénieur mécanique - Matériaux
,PRESTIGE SECURKEY INC,1109627,09-mars-2016,"138,99",Réparation/Entretien - Porte et fenêtre
,TESSIER RECREO-PARC INC,1107678,08-mars-2016,"22 287,85",Mobilier pour protection et sécurité
"LEGER, APRIL",G & L THIVIERGE INC,1113521,24-mars-2016,"94,49","Service - Installation, gestion, entretien"
,SERVICES ENTRETIEN ALPHANET INC.,1113530,24-mars-2016,"986,66",Service - Entretien d'immeuble
,SODEM INC.,1113214,23-mars-2016,"3 291,36",Location - Équipement de sport
,,1113215,23-mars-2016,"3 291,36",Location - Équipement de sport
"OUELLET, MARIE-CLAUDE",OMNISON ET LUMIERES,1113207,23-mars-2016,"4 429,92",Accessoire et pièce de remplacement pour équip. Tech.
"PLANTE, STÉPHANE",ASS. DES COMMUNICATEURS MUNICIPAUX DU QUEBEC,1109711,09-mars-2016,"262,47",Frais - Adhésion et cotisation
,CENTRE DE SERVICES PARTAGES DU QUEBEC,1107626,10-mars-2016,"23 097,25",Service annuel - Téléphonie cellulaire-Travaux publics
,,1110794,14-mars-2016,"705,52",Service - Téléphonie cellulaire-Direction
,FACTORIE L'AGENCE,1110573,11-mars-2016,"10 446,26","Concepteur graphique, infographiste"
,MORNEAU SHEPELL LTD.,1109219,07-mars-2016,"10 000,00","Conseiller, programme d'aide aux employés"
,SOLUTIONS INFORMATIQUES INSO INC.,1109689,09-mars-2016,"33,6",Composante électronique
,"VALIQUETTE, MARTIN, MONTMARQUET ET ASSOCIES",1104869,11-mars-2016,"18 262,67",Évaluateur agréé
"POLISENO, MARTIN",9028-3870 QUEBEC INC.,1110478,11-mars-2016,"482,38",Réparation/Entretien - Pompe et compresseur
,ABC RECREATION QUEBEC INC.,1111511,16-mars-2016,"178,48",Outil manuel
,ACKLANDS - GRAINGER INC.,1111849,17-mars-2016,"219,91",Équipement de protection
,ARBO-DESIGN INC.,1112561,22-mars-2016,"1 045,68","Service - Abattage, émondage, élagage"
,EQUIPEMENTS DE SECURITE HOTTE INC,1111846,17-mars-2016,"498,49",Accessoire vestimentaire
,LA CORDEE PLEIN AIR INC.,1111851,17-mars-2016,"209,72",Accessoire vestimentaire
,LE GROUPE J.S.V. INC,1113188,23-mars-2016,"164,41",Outil manuel
,LES SERRES VAN MORELL INC.,1113194,23-mars-2016,"4 718,65",Végétaux
,NADEAU FORESTERIE URBAINE INC.,1110486,11-mars-2016,"261,29","Service - Abattage, émondage, élagage"
,NORSECO INC,1111507,16-mars-2016,"839,89","Graine, semence, bulbe et bouture"
,PRODUITS SANY,1112688,22-mars-2016,"253,01",Équipement et produit d'entretien
,PUROLATOR COURRIER LTEE,1113639,29-mars-2016,"38,39","Service - Postal, messagerie"
,SECURITE LANDRY INC,1111842,17-mars-2016,"200,14",Accessoire vestimentaire
,,1111859,17-mars-2016,"64,05",Équipement de protection
,,1113641,29-mars-2016,"1 913,93",Outil manuel
,SERRUMAX INC,1111162,15-mars-2016,"736,38",Service - Serrurier
,SOCIETE INTERNATIONALE D'ARBORICULTURE-QUEBEC,1111160,15-mars-2016,"500,79","Frais - Inscription pour colloque, conférence et congrès"
,TECHSPORT INC.,1113634,29-mars-2016,"7 246,76","Service - Installation, gestion, entretien"
,TOSHIBA DU CANADA LIMITEE,1097155,15-mars-2016,"312,89",location - Photocopieur
"REEVES, GENEVIÈVE",2946-8980 QUEBEC INC.,1111364,16-mars-2016,"328,73",Location - Espace de stationnement
,CENTRE DE SERVICES PARTAGES DU QUEBEC,1108968,04-mars-2016,"2 740,17",Service annuel - Téléphonie cellulaire-Cabinet des Élus
,COMPUGEN INC.,1114044,30-mars-2016,"70,55",Ordinateur et accessoire
,LA NOUVELLE TABLEE (1996) INC,1109222,07-mars-2016,"134,91",Accessoire et fourniture de décoration
,LES EDITIONS YVON BLAIS INC,1112978,23-mars-2016,"68,45",Guide
"THERRIEN, MICHEL",BENOIT GIGNAC,1113876,29-mars-2016,"393,7","Service - Rédaction, révision"
,CENTRE DE SERVICES PARTAGES DU QUEBEC,1109615,09-mars-2016,"2 047,26",Service annuel - Téléphonie cellulaire-Communications
,FOURCHETTE & CIE CUISINE COMMUNAUTAIRE,1110804,14-mars-2016,"3 500,00",Service - Traiteur
,JEAN BEAUDIN,1113544,24-mars-2016,"5 000,00","Service - Infographie, graphisme"
,KOPEL INC.,1112112,18-mars-2016,"884,52","Service - Postal, messagerie"
,LA NOUVELLE TABLEE (1996) INC,1110798,29-mars-2016,"280,84",Location - Meuble
,MEDIAS TRANSCONTINENTAL S.E.N.C,1109623,09-mars-2016,"1 102,37",Service - Placement média publicitaire
,MONTREAL STENCIL INC,1108669,03-mars-2016,"149,44",Article et accessoire de bureau
,SUBSTANCE STRATEGIES NUMERIQUES INC.,1113878,29-mars-2016,"5 196,88",Spécialiste des médias sociaux
"TROTTIER, PASCAL",HYDRO-QUEBEC,1113321,24-mars-2016,"2 429,12",Électricité
,LES PUBLICATIONS DU QUEBEC,1107537,23-mars-2016,"90,81",Guide
,MARTECH SIGNALISATION INC.,1110018,10-mars-2016,"396,32",Signalisation routière
,PRO SOLAIRE,1110010,10-mars-2016,"724,41",Signalisation routière
,SOLUTIONS & CO.,1113203,23-mars-2016,"330,71",Formation en développement interpersonnel/relationnel
