,,,,,
"VILLE DE MONTRÉAL  ",,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,
"Listes des bons de commandes approuvés pour JANVIER 2015",,,,,
,,,,,
,,,,,
,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ","Description"
,,"commande","d'approbation","l'engagement",
,,,,,
"BERGERON, GILLES","BIBLIOFICHE","1013289",21/01/15,"94,49","FRAIS DE POSTES"
,"C.C. COPY","1015578",08/01/15,"209,97","SERVICES TECHNIQUES"
,"CENTRE DE SERVICES PARTAGES DU QUEBEC","1016786",13/01/15,"10 498,75","TÉLÉPHONIE"
,"COOP DE L'EST TAXI","1015585",08/01/15,"839,90","FRAIS DE TRANSPORT"
,"COPIBEC","1016793",13/01/15,"566,93","COTISATION PROFESSIONNELLE"
,"DESCHAMPS IMPRESSION INC.","1019622",21/01/15,"75,60","BIENS NON DURABLES"
,"DISCOVER COMMUNICATIONS INC","1019619",21/01/15,"215,21","TÉLÉPHONIE"
,"L'EMPREINTE IMPRIMERIE INC.","1015574",08/01/15,"1 259,85","SERVICES TECHNIQUES"
,"LES INDUSTRIES GARANTIES LIMITEE","1020262",23/01/15,"13 249,42","SERVICES TECHNIQUES"
,"MP REPRODUCTIONS INC.","1015584",08/01/15,"1 574,81","SERVICES TECHNIQUES"
,"QUINCAILLERIE COTE-DES-NEIGES","1015579",08/01/15,"1 049,87","BIENS NON DURABLES"
,,"1015592",08/01/15,"1 259,85","BIENS NON DURABLES"
,"ROGERS AT & T COMMUNICATIONS SANS FIL","1015587",08/01/15,"661,42","TÉLÉAVERTISSEURS"
,"SERVICES ENTRETIEN ALPHANET INC.","1020260",23/01/15,"12 598,50","ENT. RÉP. - IMMEUBLES ET TERRAINS"
,"TAXI-CHARGE.L'ASSOCIATION DE TAXI DIAMOND DE MONTREAL LTEE","1015591",08/01/15,"4 199,50","FRAIS DE TRANSPORT"
,"TOSHIBA SOLUTION D'AFFAIRES","1015602",08/01/15,"1 049,87","LOC.- AMEUBLEMENT, ÉQUIP. DE BUREAU"
,,"1016782",13/01/15,"3 426,79","LOC.- AMEUBLEMENT, ÉQUIP. DE BUREAU"
,"VIDEOTRON S.E.N.C","1016789",13/01/15,"843,47","TÉLÉAVERTISSEURS"
,,"1016790",13/01/15,"843,47","TÉLÉAVERTISSEURS"
"BOILEAU, LINDA","CARR MCLEAN LIMITED","996957",21/01/15,"1 133,86","FOURNITURES DE BUREAUX"
,"CHARLES BOIVIN","1015575",08/01/15,"1 259,85","SERVICES TECHNIQUES"
,,"1015581",08/01/15,"1 259,85","SERVICES TECHNIQUES"
,"EMBALLAGE PAK TEK INC.","1015985",09/01/15,"1 064,58","BIENS NON DURABLES"
,"ROULEAUX DE PAPIER & RUBANS J.L. INC.","1015986",09/01/15,"248,82","BIENS NON DURABLES"
,"TOSHIBA SOLUTION D'AFFAIRES","1015594",08/01/15,"1 467,55","LOC.- AMEUBLEMENT, ÉQUIP. DE BUREAU"
,,"1015595",09/01/15,"1 572,54","LOC.- AMEUBLEMENT, ÉQUIP. DE BUREAU"
,,"1015600",08/01/15,"262,47","LOC.- AMEUBLEMENT, ÉQUIP. DE BUREAU"
,,"1015604",08/01/15,"2 154,34","LOC.- AMEUBLEMENT, ÉQUIP. DE BUREAU"
"BOUCHER, DOMINIC","CHAUSSURES BELMONT INC","1022463",30/01/15,"112,81","VÊTEMENT, CHAUSSURES ET ACC."
"BOUCHER, DOMINIC","ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC","1018111",15/01/15,"167,98","VÊTEMENT, CHAUSSURES ET ACC."
,"HERCULES SLR INC","1022468",30/01/15,"929,90","PIECES & ACCESSOIRES"
,"ONOMAT CANADA INC.","1019021",20/01/15,"768,51","BIENS NON CAPITALISÉS"
,"PRESFAB RUBTECH INC.","1014952",06/01/15,"802,38","PIECES & ACCESSOIRES"
,"PRODUITS AUTOMOBILES LAURENTIDE INC.","935626",20/01/15,"317,36","PIECES & ACCESSOIRES"
,,"944451",20/01/15,"425,51","PIECES & ACCESSOIRES"
,"TECH-MIX DIV BAU-VAL INC","1001572",14/01/15,"3 427,20","AGRÉGATS ET MAT. DE CONSTRUCTION"
,"U. CAYOUETTE INC.","1022465",30/01/15,"97,93","PIECES & ACCESSOIRES"
"BOUTIN, PIERRE","ARBO-DESIGN INC.","1018439",16/01/15,"16 798,00","LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,"CENTRE DE SERVICES PARTAGES DU QUEBEC","1015965",09/01/15,"877,50","TÉLÉPHONIE"
,,"1015968",09/01/15,"281,17","TÉLÉPHONIE"
,,"1018012",15/01/15,"22 782,29","TÉLÉPHONIE"
,"CENTRE DE TELEPHONE MOBILE LTEE","1017479",14/01/15,"3 779,55","RADIOS MOBILES"
,"DISCOVER COMMUNICATIONS INC","1016121",09/01/15,"1 049,87","TÉLÉPHONIE"
,"NORTRAX QUEBEC INC.","1018119",15/01/15,"22 828,34","ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
,"SOCIETE EN COMMANDITE STRONGCO","1018114",15/01/15,"22 828,34","ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
"CHAURET, DANIELLE","MAERIX INC.","1004626",15/01/15,"312,78","FOURNITURES DE BUREAUX"
"DESJARDINS, STEVE","COLLEGE DE BOIS-DE-BOULOGNE","1018775",19/01/15,"409,45","FORMATION"
,"SINISTRE MONTREAL","1019771",22/01/15,"1 784,79","SERVICES TECHNIQUES"
"DUPLANTIE, SYLVIA-ANNE","ALERTE COURRIER P.M.E.","1018761",19/01/15,"48,54","FRAIS DE POSTES"
,,"1018927",20/01/15,"36,22","FRAIS DE POSTES"
,"LAFOND, DANIEL","1018982",20/01/15,"204,59","FRAIS DE DÉPLACEMENT"
,"LEMIEUX, JACQUES","1018960",20/01/15,"317,80","FRAIS DE DÉPLACEMENT"
"FORTIN, ALAIN","LES EQUIPEMENTS TWIN (1980) LTEE.","1022289",30/01/15,"1 531,98","ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
"GAUDREAULT, SONIA","1-800-GOT-JUNK","1018818",20/01/15,"760,11","BIENS NON DURABLES"
,"AQUATECHNO SPECIALISTES AQUATIQUES INC.","1018670",19/01/15,"524,94","PRODUITS CHIMIQUES"
,"BOO! DESIGN INC.","1018819",20/01/15,"971,13","BIENS NON DURABLES"
,"CENTAURECOM INC.","1020837",27/01/15,"816,81","SERVICES TECHNIQUES"
,"CHAUSSURES BELMONT INC","1019362",21/01/15,"262,47","BIENS NON DURABLES"
"GAUDREAULT, SONIA","COMMISSION SCOLAIRE DE MONTREAL (CSDM)","1016795",13/01/15,"7 205,84","LOCATION IMMEUBLES ET TERRAINS"
,"COMPUGEN INC.","1018676",19/01/15,"709,79","FOURNITURES DE BUREAUX"
,"DEV-ID INC.","1020258",23/01/15,"2 099,75","HONORAIRES PROFESSIONNELS"
,"FIXAIR INC.","1018678",19/01/15,"293,96","ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
,,"1018681",19/01/15,"342,26","ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
