,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour JUIN 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"commande","d'approbation","l'engagement",,
,,,,,,
"BERGERON, GILLES","A.D.I. ART DESIGN INTERNATIONAL INC.","971414",19/06/14,"284,50",,"BIENS NON DURABLES"
,"ASSOCIATION DES BIBLIOTHEQUES PUBLIQUES DU QUEBEC","966942",05/06/14,"2 197,77",,"COTISATION PROFESSIONNELLE"
,"BUI, PATRICK THE TRUC","972117",23/06/14,"125,05",,"BIENS NON DURABLES"
,"CHARLES, CHRISTOPHER","966218",03/06/14,"79,50",,"FRAIS DE TRANSPORT"
,"CORBEIL ELECTROMENAGERS","973345",30/06/14,"1 659,33",,"BIENS NON DURABLES"
,"CULTURAL ASSET MANAGEMENT GROUP","971964",23/06/14,"31,06",,"FOURNITURES DE BUREAU"
,"CULTURE MONTREAL","966197",03/06/14,"50,00",,"COTISATION PROFESSIONNELLE"
,"GUILLAUME VOISIN","965876",02/06/14,"79,50",,"FRAIS DE TRANSPORT"
,"JULIE-BLANCHE VANDENBROUCQUE","972133",23/06/14,"400,00",,"BIENS NON DURABLES"
,"JULIEN LEBLOND","963587",20/06/14,"7 560,51",,"BIENS NON DURABLES"
,"LOCATION JEAN LEGARE LTEE","971485",19/06/14,"3 268,50",,"BIENS NON DURABLES"
,"MARTIN, PIERRE","971802",20/06/14,"43,92",,"BIENS NON DURABLES"
,"MEILLEUR M, NATHALIE","970753",18/06/14,"56,85",,"FRAIS DE RECEPTION"
,"MONTREAL STENCIL INC","968076",10/06/14,"53,66",,"FOURNITURES DE BUREAU"
,"RESEAU INDEPENDANT DES DIFFUSEURS D'EVENEMENTS ARTISTIQUES UNIS (RIDEAU) INC","969168",12/06/14,"311,13",,"COTISATION PROFESSIONNELLE"
,"R.M. LEDUC & CIE INC.","971957",23/06/14,"1 012,36",,"FOURNITURES DE BUREAU"
,"ROULEAUX DE PAPIER & RUBANS J.L. INC.","971994",23/06/14,"510,26",,"BIENS NON DURABLES"
,"SOCIETE CANADIENNE DES AUTEURS, COMPOSITEURS & EDITEURS DE MUSIQUE (SOCAN)","970729",18/06/14,"297,65",,"COTISATION PROFESSIONNELLE"
,"TENAQUIP LIMITED",969384,20/06/14,"745,29",,"BIENS NON DURABLES"
,"THIBAULT, YANICK","969779",16/06/14,"705,02",,"FRAIS DE DÉPLACEMENT"
,"UNIVERSITE DE MONTREAL","972011",23/06/14,"1 180,00",,"CACHETS D'ARTISTE"
,"VIDEOTRON S.E.N.C","966261",03/06/14,"69,43",,"RADIOCOMMUNICATIONS"
,,"966263",03/06/14,"69,43",,"RADIOCOMMUNICATIONS"
"BOILEAU, LINDA","ASSOCIATION DES BIBLIOTHEQUES PUBLIQUES DU QUEBEC","966947",05/06/14,"179,42",,"BIENS NON DURABLES"
,,"966958",05/06/14,"2 308,08",,"BIENS NON DURABLES"
,"BRAULT & BOUTHILLIER LTEE","969883",17/06/14,"342,30",,"FOURNITURES DE BUREAU"
,"CARR MCLEAN LIMITED","962582",12/06/14,"11,62",,"FOURNITURES DE BUREAU"
,,"971954",23/06/14,"178,38",,"FOURNITURES DE BUREAU"
,"INTELCOM EXPRESS","967768",09/06/14,"11,66",,"FRAIS DE POSTES"
,,"967769",09/06/14,"149,42",,"FRAIS DE POSTES"
"BOILEAU, LINDA","LOCATION JEAN LEGARE LTEE","967368",06/06/14,"93,12",,"FRAIS DE TRANSPORT"
,"PEAUSEIDON EAU DE SOURCE NATURELLE","969251",12/06/14,"360,00",,"BIENS NON DURABLES"
,"PLANTE, MARIE-EVE","967778",09/06/14,"224,36",,"BIENS NON DURABLES"
,,"967822",09/06/14,"95,35",,"BIENS NON DURABLES"
,"PPG REVETEMENTS ARCHITECTURAUX CANADA INC.","966179",03/06/14,"407,29",,"BIENS NON DURABLES"
,"R.M. LEDUC & CIE INC.","965718",02/06/14,"309,93",,"FOURNITURES DE BUREAU"
,"TEKNION ROY ET BRETON INC.","958839",19/06/14,"625,38",,"FOURNITURES DE BUREAU"
"BOUTIN, PIERRE","AXOR EXPERTS-CONSEILS INC.","969225",12/06/14,"4 825,85",,"SERVICES TECHNIQUES"
,"GROUPE ABS INC.","972456",25/06/14,"7 311,66",,"SERVICES TECHNIQUES"
,"LOCATION SAUVAGEAU INC.","947579",12/06/14,"1 952,87",,"LOC. VÉHICULES-OUTILLAGE-EQUIPEMENT"
"BROUSSEAU, HELENE","MONTREAL STENCIL INC","969605",16/06/14,"32,28",,"FOURNITURES DE BUREAU"
"CHAMPOUX, MARTIN","9259-5834 QUEBEC INC.","968458",20/06/14,"304,67",,"SERVICES TECHNIQUES"
,"ALUVERTECH INC.","972955",26/06/14,"1 410,47",,"HONORAIRES PROFESSIONNELS"
,"FORGES URBAINES INC","969505",20/06/14,"592,19",,"HONORAIRES PROFESSIONNELS"
,,"971819",20/06/14,"510,26",,"HONORAIRES PROFESSIONNELS"
,"IMAGINEO INC.","968901",11/06/14,"1 473,73",,"SERVICES TECHNIQUES"
,"INSPEC-SOL INC","966780",10/06/14,"595,71",,"SERVICES TECHNIQUES"
,"LES INDUSTRIES SIMEXCO INC","969387",13/06/14,"1 451,95",,"HONORAIRES PROFESSIONNELS"
,"LES TERMINAUX KENMONT INC.","970495",17/06/14,"606,71",,"SERVICES TECHNIQUES"
,"MICHEL DESMEULES","971809",20/06/14,"2 500,00",,"HONORAIRES PROFESSIONNELS"
,"QUALINET ENVIRONNEMENT INC.","967816",09/06/14,"2 980,27",,"SERVICES TECHNIQUES"
,"SPI SANTE SECURITE INC.","962650",09/06/14,"524,55",,"SERVICES TECHNIQUES"
,"TANKNOLOGY CANADA INC.","966574",20/06/14,"466,70",,"ENT. RÉP. VÉH.-OUT,-ÉQUIPEMENT"
,"TECHNORM INC.","966084",03/06/14,"2 592,77",,"HONORAIRES PROFESSIONNELS"
"DESJARDINS, STEVE","CEGEP DU VIEUX MONTREAL","970817",18/06/14,"4 978,11",,"FORMATION"
,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE","936816",11/06/14,"1 037,11",,"SERVICES TECHNIQUES"
"DULIEPRE, JEAN-FRANCOIS","AQUAM SPECIALISTE AQUATIQUE INC.","967461",06/06/14,"3 224,51",,"BIENS NON DURABLES"
,"AQUATECHNO SPECIALISTES AQUATIQUES INC.","972176",23/06/14,"1 711,23",,"PRODUITS CHIMIQUES"
,,"972177",23/06/14,"1 283,42",,"PRODUITS CHIMIQUES"
,"COLLEGE JEAN-DE-BREBEUF","971894",20/06/14,"435,58",,"BIENS NON DURABLES"
,"DESCHAMPS IMPRESSION INC.","971896",20/06/14,"22,82",,"BIENS NON DURABLES"
,"FRAPPIER, GENEVIEVE","972111",23/06/14,"66,94",,"BIENS NON DURABLES"
"DULIEPRE, JEAN-FRANCOIS","LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","966696",04/06/14,"566,59",,"BIENS NON DURABLES"
,"PRODUITS SANY INC.","967062",05/06/14,"761,46",,"PRODUITS CHIMIQUES"
