,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour DÉCEMBRE 2015,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Description
,,commande,d'approbation,l'engagement,
"ANGELY, MARION","CHAMPAGNE, SYLVIE",1089607,08/12/2015,"1 622,76","Frais - Règlement, réclamation"
"BOUTIN, PIERRE",TOSHIBA SOLUTIONS D'AFFAIRES,1025047,22/12/2015,"122,09",Frais des copies
,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,1028918,08/12/2015,"386,4",Peinture - résidentielle et industrielle
,SHRED-IT INTERNATIONAL ULC,1030656,01/12/2015,"126,99",Service - Destruction de documents
,LAFARGE CANADA INC,1035549,23/12/2015,"2 099,48",Béton préparé
,PEPINIERE A. MUCCI INC.,1040730,08/12/2015,"4 704,75","Terre, terreau, compost et engrais"
,LOCATION GAMMA INC.,1042451,22/12/2015,"362,84","Équipement de détection, inspection"
,MICHELIN AMERIQUE DU NORD (CANADA INC.),1048420,16/12/2015,"3 543,85",Réparation/Entretien - Automobile et camionnette
,LES PAVAGES CHENAIL INC.,1055992,23/12/2015,"5 864,71","Asphalte, bitume"
,SCIAGE DE BETON 2000 INC.,1060154,23/12/2015,"5 368,53",Location - Outil manuel
,LOCATION SAUVAGEAU INC.,1061513,22/12/2015,"3 869,84",Location - Automobile et camionnette
,KERR NORTON INC.,1073327,10/12/2015,"124,94","Encre, toner"
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1073928,23/12/2015,"113,39",Palette pour manutention
,CHAINES ET ELINGUES ST-PIERRE CANADA LTEE,1081154,04/12/2015,"616,07","Crochet, goupille, manille et poulie"
,TRANSELEC COMMMON INC.,1081697,22/12/2015,"1 683,84",Signalisation routière
,ABC ENVIRONNEMENT INC.,1085434,23/12/2015,"1 214,71","Service - Vidange de puisards, regards et fosses septiques"
,DASSYLOI 9031-1796 QUEBEC INC.,1087783,01/12/2015,"13 438,40",Réparation de conduit d'aqueduc
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1089269,07/12/2015,"3 459,34","Puisard, chambre de vanne, trou d'homme et regard"
,ARBO-DESIGN INC.,1089569,08/12/2015,"10 337,84","Service - Abattage, émondage, élagage"
,DASSYLOI 9031-1796 QUEBEC INC.,1089588,08/12/2015,"15 139,20",Réparation de conduit d'aqueduc
,DUFRESNE STANDARD & SPECIAL INC.,1089591,08/12/2015,"87,1","Matériel de fixation, clou, vis"
,MULTI-PRESSIONS L.C. INC.,1089592,08/12/2015,"394,48",Réparation/Entretien - Appareil spécialisé pour la mécanique
,LES PAVAGES CHENAIL INC.,1089760,23/12/2015,"1 199,23","Asphalte, bitume"
,HEWITT EQUIPEMENT LTEE,1089962,09/12/2015,"350,66","Huile, graisse et lubrifiant"
,ELECTROMEGA LTEE,1090217,16/12/2015,"5 164,34",Logiciel et progiciel
,SUV SOUPAPES UNIVERSELLE VALVES,1090223,10/12/2015,"1 753,82","Puisard, chambre de vanne, trou d'homme et regard"
,EQUIPEMENT NCN LTEE,1090227,10/12/2015,"1 196,86",Réparation de conduit d'aqueduc
,PRODUITS SANY INC.,1090746,14/12/2015,"708,35",Produits et équipement d'entretien ménager
,3289419 CANADA (COLLINS),1091628,16/12/2015,"94,25",Vêtements de sécurité
,GAZTEK INC,1091637,21/12/2015,"311,55",Gaz comprimé
,REAL HUOT INC.,1091651,16/12/2015,"1 234,24",Produit de branchement
,GESTIONS JEAN-MARC GAGNE LTEE,1091655,16/12/2015,"299,46",Outil manuel
"BOUTIN, PIERRE",U. CAYOUETTE INC.,1091677,16/12/2015,"196,03","Huile, graisse et lubrifiant"
,U. CAYOUETTE INC.,1091677,16/12/2015,"393,6",Bois de construction
,PRESFAB RUBTECH INC.,1091837,16/12/2015,"314,96",Produit de branchement
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1091838,16/12/2015,"1 538,91","Puisard, chambre de vanne, trou d'homme et regard"
,LES PAVAGES DANCAR (2009) INC.,1092731,18/12/2015,"2 572,19",Service - Travail technique en architecture et génie civil
,ELECTRICITE PLUS,1092857,21/12/2015,"1 412,61",Service - Formation en santé et sécurité
,U. CAYOUETTE INC.,1092859,21/12/2015,"554,96",Accessoires aqueduc
,SERRURIER LACROIX,1092861,21/12/2015,"3 422,59",Produit de cadenassage
,DESCHAMPS IMPRESSION INC.,1093203,22/12/2015,21,Service - Impression
,LOCATION HEWITT INC,1093216,22/12/2015,"476,64","Frais - Règlement, réclamation"
,CONSTRUCTION DJL INC,1093433,23/12/2015,"2 494,25","Asphalte, bitume"
,ACTION R-VAC INC.,1093531,23/12/2015,"208,82",Service - Traitement/valorisation de matières organiques
,SOCIETE XYLEM CANADA,1093532,23/12/2015,"352,75",Pompe et compresseur
,SNAP ON DU CANADA LTEE,1093533,23/12/2015,"973,15",Outil électrique
"BROUSSEAU, HELENE",CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.,1092980,21/12/2015,"29,76",Service - Destruction de documents
,CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.,1093188,22/12/2015,"17,17",Service - Destruction de documents
"CARRIER, RAYMOND",R.M. LEDUC & CIE INC.,1088514,03/12/2015,"350,61","Papier, article de papeterie"
,BIBLIO RPL LTEE,1089001,04/12/2015,"152,55","Adhésif, colle"
,ASSOCIATION DES BIBLIOTHEQUES PUBLIQUES DU QUEBEC,1089002,04/12/2015,"1 409,56","Livres, sacs en polypropylène et CD"
,AUVENTS ET ABRIS GMS,1092270,17/12/2015,"803,15","Démontage, Entreposage et Installation d'abris"
