,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour JUIN 2015,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon de,Date d'approbation,Montant,Description
,,commande,,Engagement,
"ANGELY, MARION",DESCHAMPS IMPRESSION INC.    ,1055822,29-juin-15,"21,00",Carte professionnelles
,SERVICES PROFESSIONNELS ET ADMINISTRATIFS DRUMMOND,1055796,29-juin-15,"787,41",Conseiller en relation de travail
"BERGERON, GILLES",COMMISSION SCOLAIRE DE MONTREAL (CSDM),1052417,12-juin-15,"7 319,72",Location - Installation sportive
,COMPUGEN INC.,1055687,26-juin-15,"2 129,37",Ordinateur
,FDL COMPAGNIE LTEE,1055117,23-juin-15,"81,89",Installation de chaîne pour hotte de cuisine Centre Appleton
,LES TRANSPORTS LACOMBE INC,1049389,02-juin-15,"6 164,06",Transport de livres
,,1052925,15-juin-15,"2 099,75",Service - Déménagement
,LOCATION SAUVAGEAU INC.,1052924,15-juin-15,"1 236,75",Location - Camionnette
,MONTREAL STENCIL INC,1052037,11-juin-15,"88,77",Article de bureau
,SERVICE D'ENTRETIEN PRO-PRET INC.,1052415,12-juin-15,"4 079,81",Service - Entretien d'immeuble
"BOUCHER, DOMINIC",3289419 CANADA (COLLINS),1049880,03-juin-15,"48,61",Bottes
,BURO PLUS UNE DIVISION DE NOVEXCO INC,1054546,22-juin-15,"370,61","Papier, article de papeterie"
,CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QC,1054543,22-juin-15,"86,78",Service - Formation en santé et sécurité
,COMPUGEN INC.,1054864,23-juin-15,"140,55",Ordinateur
,CONSTRUCTION DJL INC,1050701,05-juin-15,"33,60",Pesée de camion
,CORPORATION D'URGENCES-SANTE,1049266,01-juin-15,"134,80",Service - Transport ambulancier
,DEMIX,1046448,01-juin-15,"3 830,47",Béton préparé
,DESCHAMPS IMPRESSION INC.,1050992,08-juin-15,"26,25",Cartes professionnelles
,ELECTRONIQUE ADDISON LTEE,1047453,17-juin-15,"104,78",Composante électronique
,ENTREPRISE ROBERT GREEN INC,1055698,26-juin-15,"1 572,71",Bois de construction
,ENTREPRISES FORLINI-DIVISION EQUIP. DE SECUR. UNIVERSEL,1051868,10-juin-15,"449,32",Vêtements de travail
,ENVIROSERVICES INC,1024606,01-juin-15,"782,64",Service - Analyse et essai en laboratoire
,FONDERIE LAPERLE,1048413,16-juin-15,"8 323,45",Matériaux pour égouts et aqueducs
,HERCULES SLR INC,1055896,29-juin-15,"3 452,89","Corde, chaîne et câble"
,HILTI CANADA LTEE,1049255,01-juin-15,"341,23",Outil manuel
,,1050145,04-juin-15,"1 623,63",Outil manuel
,LAFARGE CANADA INC,1038034,01-juin-15,"1 032,52",Pierre
,LES INDUSTRIES MC ASPHALT LTEE,1048451,10-juin-15,"1 889,77","Asphalte, bitume"
,MONTREAL STENCIL INC,1049899,03-juin-15,"135,22",Signalisation routière
,PRODUITS SANY INC.,1049904,03-juin-15,"270,87",Produit d'entretien ménager
,,1055900,29-juin-15,"224,00",Produit d'entretien ménager
,SCIAGE DE BETON 2000 INC.,1049270,01-juin-15,"587,93",Location - Scie à béton
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1054056,18-juin-15,"5 783,97",Matériaux pour égouts et aqueducs
,TENAQUIP LIMITED,1049898,03-juin-15,"263,86",Pulvérisateur
,U. CAYOUETTE INC.,1049882,03-juin-15,"136,44",Accessoire et pièce de remplacement pour outil
,,1050694,05-juin-15,"157,46",Outil manuel
"BOUTIN, PIERRE",CONSTRUCTION DJL INC,1038047,23-juin-15,"1 951,02","Asphalte, bitume"
,LOCATION DE CAMIONS PACLEASE,1031702,09-juin-15,"64,23","Entretien/réparation Véhicule lourd, machinerie lourde"
"BROUSSEAU, HELENE",BOUTY INC,1055951,29-juin-15,"291,03",Chaise et fauteuil ergonomique
,DISCOVER COMMUNICATIONS INC,1055761,29-juin-15,"162,72",Appareil de communication
"CARRIER, RAYMOND",R.M. LEDUC & CIE INC.,1050105,03-juin-15,"297,57","Article, accessoire et équipement de bureau"
