,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour FÉVRIER 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"commande","d'approbation","l'engagement",,
,,,,,,
"BERGERON, GILLES","A.D.I. ART DESIGN INTERNATIONAL INC.","936069",12/02/14,"1 415,40",,"ENT.-RÉP. AMEUBLEMENT-ÉQUIP. DE BUREAU"
,"ASTED INC.","933807",05/02/14,"600,00",,"COTISATION PROFESSIONNELLE"
,"COMPUGEN INC.","940849",26/02/14,"1 977,61",,"FOURNITURES DE BUREAU"
,"ECOLE DES HAUTES ETUDES COMMERCIALES (HEC)","933864",03/02/14,"1 127,85",,"FORMATION "
,,"933887",03/02/14,"1 127,85",,"FORMATION "
,"LES IMPRESSIONS PLASTIMAX","934278",04/02/14,"3 568,17",,"LOC. AMEUBLEMENT-ÉQUIPEMENT DE BUREAU"
,"LOISIRS SPORTIFS COTE-DES-NEIGES - NOTRE-DAME-DE-GRACE","940235",24/02/14,"2 488,50",,"SERVICES TECHNIQUES"
,"MARIO COTE","935301",12/02/14,"1 555,66",,"CACHET D'ARTISTE"
,"PUROLATOR COURRIER LTEE","933761",03/02/14,"21,84",,"FRAIS DE POSTES"
,"RESEAU QUEBECOIS DE VILLES & VILLAGES EN SANTE","940401",25/02/14,"100,00",,"COTISATION PROFESSIONNELLE"
"BOILEAU, LINDA","ACRIFAB INC.","940162",24/02/14,"383,73",,"BIENS NON DURABLES"
,"FERO TRANSPORT INC.","937615",13/02/14,"181,49",,"FRAIS DE POSTES"
,"INTELCOM EXPRESS","936391",11/02/14,"45,84",,"FRAIS DE POSTES"
,,"940033",24/02/14,"20,90",,"FRAIS DE POSTES"
,,"940408",25/02/14,"24,70",,"FRAIS DE POSTES"
,"PUROLATOR COURRIER LTEE","940659",26/02/14,"21,90",,"FRAIS DE POSTES"
,"SOCIETE CANADIENNE DES AUTEURS, COMPOSITEURS & EDITEURS DE MUSIQUE (SOCAN)","941508",27/02/14,"461,51",,"CACHET D'ARTISTE"
,"SOLOTECH INC","927778",13/02/14,"2 364,64",,"BIENS NON DURABLES"
"BROUSSEAU, HELENE","SHRED-IT INTERNATIONAL INC.","933758",04/02/14,"1 555,66",,"SERVICES TECHNIQUES"
"CHAMPOUX, MARTIN","CIMA+ S.E.N.C.","917882",05/02/14,"2 281,64",,"HONORAIRES PROFESSIONNELS"
,"COFFRES-FORTS C.B. 2000 INC.","938863",20/02/14,"886,73",,"BIENS NON DURABLES"
,"GEOPOSITION ARPENTEURS-GEOMETRES INC.","899015",05/02/14,"2 650,53",,"HONORAIRES PROFESSIONNELS"
,"GROUPE ABS INC.","892034",04/02/14,"3 153,29",,"HONORAIRES PROFESSIONNELS"
,"LES ENTREPRISES ARCHEOTEC INC.","922832",05/02/14,"829,69",,"HONORAIRES PROFESSIONNELS"
,"LES EQUIPEMENTS D'ARPENTAGE CANSEL INC.","936034",11/02/14,"3 575,25",,"SERVICES TECHNIQUES"
,"PORTA SERVICE INC.","874384",05/02/14,"2 518,10",,"ENT. REP. D'IMMEUBLES"
,"SERRURERIE M. GREENE LOCKSMITH INC.","935272",07/02/14,"300,76",,"SERVICES TECHNIQUES"
,"SIGNALISATION S.A.I.C. INC","940689",26/02/14,"355,73",,"BIENS NON DURABLES"
,"UNIVERSITE LAVAL","940871",26/02/14,"565,22",,"FORMATION "
"DESJARDINS, STEVE","ECHAFAUDS PLUS (LAVAL) INC","936828",13/02/14,"5 185,53",,"ENT. REP. D'IMMEUBLES"
,"MONTREAL STENCIL INC","936822",13/02/14,"311,13",,"FOURNITURES DE BUREAU"
,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE","936816",13/02/14,"1 555,66",,"SERVICES TECHNIQUES"
"DULIEPRE, JEAN-FRANCOIS","FIXAIR INC.","933849",04/02/14,"3 631,53",,"BIENS NON DURABLES"
,,"938026",14/02/14,"242,68",,"BIENS NON DURABLES"
,,"938031",14/02/14,"1 008,19",,"BIENS NON DURABLES"
,,"940079",24/02/14,"624,34",,"BIENS NON DURABLES"
,,"940096",24/02/14,"242,68",,"BIENS NON DURABLES"
,,"940130",24/02/14,"338,10",,"BIENS NON DURABLES"
,,"940394",26/02/14,"493,66",,"BIENS NON DURABLES"
"FORTIN, ALAIN","MICHEL GOHIER LTEE","925878",05/02/14,"834,87",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,"MICHELIN AMERIQUE DU NORD (CANADA INC.)","919407",03/02/14,"2 574,93",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,,"928262",03/02/14,"721,16",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
"GAUDREAULT, SONIA","COMMISSION SCOLAIRE DE MONTREAL (CSDM)","935224",10/02/14,"5 655,29",,"LOCATION D'IMMEUBLES"
,"LES AUTOBUS LA MONTREALAISE INC","937769",17/02/14,"948,95",,"ÉVÉNEMENT PUBLIC"
,"LES TRANSPORTS LACOMBE INC","940171",27/02/14,"2 325,71",,"FRAIS DE TRANSPORT"
,"LOISIRS SPORTIFS COTE-DES-NEIGES - NOTRE-DAME-DE-GRACE","940420",27/02/14,"2 309,98",,"SERVICES TECHNIQUES"
,"TRADUCTIONS TOM DONOVAN","940594",25/02/14,"195,84",,"HONORAIRES PROFESSIONNELS"
"GENDRON, DENIS","CENTRE DE SERVICES PARTAGES DU QUEBEC","932652",10/02/14,"8 934,69",,"TÉLÉPHONIE"
,"DISCOVER COMMUNICATIONS INC","938200",20/02/14,"693,82",,"BIENS NON CAPITALISÉS"
"GERVAIS, ROBERT","BRAULT DRAIN","940510",26/02/14,"1 373,13",,"SERVICES TECHNIQUES"
,"CHAUSSURES BELMONT INC","939417",20/02/14,"155,51",,"VÊTEMENT-CHAUSSURES-ACCESSOIRES"
,"CONTENEURS EXPERTS S.D. INC.","939245",20/02/14,"3 889,15",,"BIENS NON DURABLES"
,"DISTRIBUTION BRUNET INC.","935838",11/02/14,"3 268,57",,"PIÈCES ET ACCESSOIRES"
,"GASTON CONTANT INC.","938530",18/02/14,"157,13",,"PIÈCES ET ACCESSOIRES"
,"HEWITT EQUIPEMENT LTEE","940051",25/02/14,"667,22",,"PIÈCES ET ACCESSOIRES"
,"INOLEC","935913",11/02/14,"445,54",,"PIÈCES ET ACCESSOIRES"
,"LES INDUSTRIES IVERCO INC.","934006",05/02/14,"2 931,90",,"BIENS NON CAPITALISÉS"
,"LES MAGASINS COLLINS","939839",21/02/14,"116,66",,"VÊTEMENT-CHAUSSURES-ACCESSOIRES"
"GERVAIS, ROBERT","LES MAGASINS COLLINS","940604",26/02/14,"187,95",,"VÊTEMENT-CHAUSSURES-ACCESSOIRES"
,"L.L. LOZEAU LTEE.","935598",06/02/14,"328,67",,"BIENS NON DURABLES"
,"MULTI-PRESSIONS L.C. INC.","935925",11/02/14,"69,26",,"PIÈCES ET ACCESSOIRES"
