,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour NOVEMBRE 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"commande","d'approbation","l'engagement",,
,,,,,,
"BERGERON, GILLES","AQUEST DESIGN","1005816",11/20/14,"2 445,49",,"BIENS NON CAPITALISÉS"
,"BERGERON, GILLES","1001135",11/03/14,"94,61",,"FRAIS DE DÉPLACEMENT"
,"CANADIAN TIRE","1005815",11/20/14,"362,93",,"BIENS NON CAPITALISÉS"
,"COFELY SERVICES INC.","1007442",11/27/14,"11 194,76",,"SERVICES TECHNIQUES"
,"COMMISSION SCOLAIRE DE MONTREAL (CSDM)","1007889",11/28/14,"7 184,31",,"LOCATION D'IMMEUBLES"
,"COMPUGEN INC.","1007436",11/27/14,"865,05",,"FOURNITURES DE  BUREAU"
,"CORBEIL ELECTROMENAGERS","1005811",11/20/14,"3 113,34",,"BIENS NON CAPITALISÉS"
,"DISTRIBUTION SPORTS LOISIRS G.P. INC.","1004112",11/13/14,"920,39",,"BIENS NON DURABLES"
,"DIVISION SPORTS-REP INC.","1005809",11/20/14,"13 787,60",,"BIENS NON DURABLES"
,"DUGUAY, CATHERINE","1001113",11/03/14,"44,67",,"FRAIS DE DÉPLACEMENT"
,"FOURNITURES DE BUREAU DENIS INC.","1005788",11/20/14,"1 228,94",,"BIENS NON CAPITALISÉS"
,"GROUPE LINCORA INC","1005086",11/18/14,"535,15",,"BIENS NON CAPITALISÉS"
,"LA CORPORATION DES BIBLIOTHECAIRES PROF.DU QUEBEC","1005818",11/20/14,"31,11",,"FORMATION"
,"LES INDUSTRIES GARANTIES LIMITEE","1000826",11/03/14,"5 849,28",,"SERVICES TECHNIQUES"
,"LES INDUSTRIES TRANS CANADA INC","1005082",11/18/14,"703,68",,"BIENS NON CAPITALISÉS"
,"MOHAMMED, NADIA","1001126",11/03/14,"46,22",,"FRAIS DE DÉPLACEMENT"
,"OMNISON ET LUMIERES","1003965",11/13/14,"21 891,96",,"BIENS NON CAPITALISÉS"
,"OUELLET, MARIE-CLAUDE","1001139",11/03/14,"78,02",,"FRAIS DE RÉCEPTION"
,"PREVENTION COTE-DES-NEIGES NOTRE-DAME-DE-GRACE","1001302",11/03/14,"72,02",,"ÉVÉNEMENT PUBLIC"
,"SERVICES ENTRETIEN ALPHANET INC.","951365",11/27/14,"622,26",,"ENT. RÉP. - IMMEUBLES ET TERRAINS"
,"THEATRE DE LA VILLE","1002626",11/07/14,"200,00",,"FORMATION"
,"TRADUCTIONS TOM DONOVAN","1003974",11/13/14,"187,97",,"HONORAIRES PROFESSIONNELS"
,"VIDEOTRON S.E.N.C","1001401",11/04/14,"69,43",,"TÉLÉPHONIE"
,,"1001550",11/04/14,"69,43",,"TÉLÉPHONIE"
"BOILEAU, LINDA","AUVENTS ET ABRIS GMS","1005442",11/19/14,"808,94",,"BIENS NON DURABLES"
,"BRODART CANADA COMPAGNY","961455",11/26/14,"7,23",,"FRAIS DE POSTES"
,"CARR MCLEAN LIMITED","1002148",11/06/14,"654,93",,"FOURNITURES DE  BUREAU"
,"CHARLES BOIVIN","1003601",11/12/14,"207,42",,"SERVICES TECHNIQUES"
,,"1005009",11/18/14,"124,45",,"SERVICES TECHNIQUES"
"BOILEAU, LINDA","CHARLES BOIVIN","1005436",11/19/14,"280,02",,"BIENS NON DURABLES"
,"CONSEIL DU LOISIR SCIENTIFIQUE DE LA REGION METROPOLITAINE","1000255",11/03/14,"311,22",,"SERVICES TECHNIQUES"
,"EQUIPEMENT DE THEATRE G.C. LTEE","1005444",11/19/14,"67,41",,"SERVICES TECHNIQUES"
,"GESTION FRANCOIS LEVEILLE INC.","1001227",11/03/14,"1 140,82",,"SERVICES TECHNIQUES"
,"GROUPE SANI-TECH","1001107",11/03/14,"420,03",,"BIENS NON DURABLES"
,"INTELCOM EXPRESS","1005449",11/19/14,"20,27",,"FRAIS DE POSTES"
,"LES INDUSTRIES SCRIPTAM (1998) INC.","1003369",11/11/14,"2 669,51",,"BIENS NON DURABLES"
,"OMNISON ET LUMIERES","1003386",11/11/14,"5 475,60",,"BIENS NON DURABLES"
,"R.M. LEDUC & CIE INC.","1001411",11/04/14,"345,92",,"FOURNITURES DE  BUREAU"
,"ROBILLARD, MYLENE","1002645",11/07/14,"130,72",,"FOURNITURES DE  BUREAU"
,"TOSHIBA SOLUTION D'AFFAIRES","924927",11/20/14,"14,88",,"LOC.- AMEUBLEMENT, ÉQUIP. DE BUREAU"
,"TRANSPORT & ACCORD","1002190",11/06/14,"331,88",,"BIENS NON DURABLES"
"BOUCHER, DOMINIC","CHAUSSURES BELMONT INC","985454",11/03/14,"7,78",,"VÊTEMENT, CHAUSSURES ET ACC."
,"DUFRESNE STANDARD & SPECIAL  INC.","1007411",11/27/14,"631,60",,"PIECES & ACCESSOIRES"
,"ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC","1001385",11/04/14,"129,64",,"VÊTEMENT, CHAUSSURES ET ACC."
,,"1001388",11/04/14,"933,40",,"VÊTEMENT, CHAUSSURES ET ACC."
,"EQUIPEMENT ROBERT NADEAU INC","1004559",11/17/14,"139,01",,"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
,"GAZTEK INC","1003561",11/12/14,"1 169,86",,"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
,"INOLEC","1007313",11/26/14,"815,30",,"PIECES & ACCESSOIRES"
,"LOCATION D'AUTOS ET CAMIONS DISCOUNT","1001837",11/05/14,"500,92",,"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,,"1001887",11/05/14,"213,64",,"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,"LOCATION GAMMA INC.","1003649",11/12/14,"67,20",,"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,"MARTECH SIGNALISATION INC.","1002795",11/10/14,"46,67",,"BIENS NON DURABLES"
,"PRODUITS SANY INC.","1004497",11/17/14,"327,89",,"BIENS NON DURABLES"
,"REAL HUOT INC.","1007406",11/27/14,"381,66",,"PIECES & ACCESSOIRES"
,"SECURITE LANDRY INC","1005484",11/19/14,"108,12",,"SERVICES TECHNIQUES"
,"SERRURIER LACROIX","1007413",11/27/14,"188,75",,"PIECES & ACCESSOIRES"
,"ST-GERMAIN EGOUTS ET AQUEDUCS INC.","1005728",11/20/14,"352,62",,"PIECES & ACCESSOIRES"
,,"1006348",11/24/14,"3 400,67",,"PIECES & ACCESSOIRES"
"BOUCHER, DOMINIC","ST-GERMAIN EGOUTS ET AQUEDUCS INC.","1007739",11/27/14,"396,21",,"PIECES & ACCESSOIRES"
,"U. CAYOUETTE INC.","1007412",11/27/14,"490,03",,"PIECES & ACCESSOIRES"
,"WOLSELEY CANADA INC","1004553",11/17/14,"1 338,91",,"PIECES & ACCESSOIRES"
"BOUTIN, PIERRE","EMILIEN JACQUES","1005014",11/18/14,"4 297,77",,"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
