,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour AVRIL 2015,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,,Description
,,commande,d'approbation,l'engagement,,
,,,,,,
"BERGERON, GILLES",CPU DESIGN INC.,1037416,10/04/15,"145,93",,Frais de transport
,LES AUTOBUS LA MONTREALAISE INC,1038419,15/04/15,"944,89",,Service - Transport autobus
,MONTREAL STENCIL INC,1028040,15/04/15,"65,34",,Article et accessoire de bureau
,SERVICE D'ENTRETIEN PRO-PRET INC.,1038803,16/04/15,"4 079,81",,Service - Entretien d'immeuble
,,,,,,
"BOUCHER, DOMINIC",3289419 CANADA (COLLINS),1040564,24/04/15,"228,18",,Botte soulier et couvre-chaussure
,BARRIAULT ELECTRIQUE INC.,1040553,24/04/15,"671,92",,Entrepreneur en électricité
,CREUSAGE RL,1038461,16/04/15,"439,95",,Vidange de puisards
,DISTRIBUTION BRUNET INC.,1040556,04/05/15,"786,27",,Produit de branchement
,ENVIROSERVICES INC,1024606,21/04/15,"1 565,28",,Analyse et essai en laboratoire
,GAZTEK INC,1036614,08/04/15,"119,69",,Frais de transport
,HACH SALES & SERVICE CANADA LTD,1036621,07/04/15,"84,20",,Frais de transport
,HERCULES SLR INC,1040572,24/04/15,"629,92",,Inspection de véhicules
,LABRADOR LAURENTIENNE,1036307,02/04/15,"1 124,30",,Eau potable 
,LANGE PATENAUDE EQUIPEMENT LTEE (KUBOTA MONTREAL),1040569,24/04/15,"344,61",,Pile batterie
,LES PUBLICATIONS DU QUEBEC,1038460,15/04/15,"156,17",,Guide brochure et affiche
,L.L. LOZEAU LTEE.,1037027,09/04/15,"506,28",,Appareil électronique
,MARTECH SIGNALISATION INC.,1036612,07/04/15,"256,17",,outils
,,1038465,15/04/15,"41,58",,Signalisation routière
,"MORISSETTE, CHRISTIAN",1037526,13/04/15,"118,00",,Formation
,PRODUITS AUTOMOBILES LAURENTIDE INC.,1038468,15/04/15,"1 364,84",,Huile et liquide
,PRODUITS DE SERVICES PUBLICS INNOVA INC.,1038992,17/04/15,"2 706,00",,Réparation de conduit
,PRODUITS SANY INC.,1036617,07/04/15,"325,55",,Produit d'entretien ménager
,"RENAUD, PATRICK",1037516,13/04/15,"111,00",,Formation
,RENO-DEPOT,1036624,07/04/15,"241,16",,outils
,,1037030,09/04/15,"52,48",,Outil électrique
,SCIAGE DE BETON 2000 INC.,1038994,17/04/15,"1 745,42",,Location - Outil électrique
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1038463,15/04/15,"725,98",,Puisard
,TENAQUIP LIMITED,1036608,07/04/15,"263,85",,Équipement d'entretien manuel
,,1036611,07/04/15,"83,94",,Outil manuel
,U. CAYOUETTE INC.,1040566,24/04/15,"299,42",,Agrégat en vrac
,,,,,,
"BOUTIN, PIERRE",CPU DESIGN INC.,1036341,09/04/15,"499,48",,Imprimante
,,,,,,
"BROUSSEAU, HELENE",COMPUGEN INC.,1037015,09/04/15,"738,43",,Ordinateur
,MONTREAL STENCIL INC,1037164,09/04/15,"21,85",,Article de bureau
,LES CONSTRUCTIONS ARGOZY INC.,1040739,27/04/15,"524,94",,Service - Entreposage
,,,,,,
"CARRIER, RAYMOND",BRODART CANADA COMPAGNY,1039558,21/04/15,"132,28",,Article de bureau
,,,,,,
"FORTIN, ALAIN",ATELIER N. C. LAMOUREUX,1041460,29/04/15,"1 126,56",,Aménagement de véhicules
,,1041461,29/04/15,"1 126,56",,Aménagement de véhicules
,CITE NISSAN - GABRIEL S.E.C.,1040902,28/04/15,"470,27",,Réparation/Entretien - Appareil spécialisé
,EXPERITEC,1037614,13/04/15,"183,73",,Aménagement de véhicules
,LE GROUPE SIMONEAU INC.,1040913,28/04/15,"388,35",,Réparation/Entretien - Appareil spécialisé
,LOCATION HEWITT INC,1040471,24/04/15,"2 099,75",,Réparation/Entretien - Véhicule
,NORTRAX QUEBEC INC.,1037544,13/04/15,"1 178,33",,Réparation/Entretien - Véhicule
,REMORQUES SYLMAR INC,1040904,28/04/15,"1 546,17",,Réparation/Entretien - Appareil spécialisé
,,,,,,
"FRAPPIER, GENEVIEVE",ECOLAB,1036524,07/04/15,"359,13",,Produit d'entretien ménager
,PRODUITS SANY INC.,1038731,16/04/15,"698,90",,Produit d'entretien
,,,,,,
"GAUDREAULT, SONIA",COMMISSION SCOLAIRE DE MONTREAL (CSDM),1036903,08/04/15,"6 943,55",,Location - Installation sportive
,SERVICE D'ENTRETIEN PRO-PRET INC.,1035975,01/04/15,"4 079,81",,Service - Entretien d'immeuble
,,,,,,
"GENDRON, DENIS",CIMA +,982500,02/04/15,"141,73",,Service Professionnel
,GROUPE ABS INC.,997093,02/04/15,"3 149,62",,Service Professionnel
,LES ENTREPRISES ARCHEOTEC INC.,922832,02/04/15,"1 943,53",,Aménagement paysager
,L.L. LOZEAU LTEE.,1036040,01/04/15,"205,11",,Appareil électronique
,META + FORME PAYSAGES INC.,1016663,10/04/15,"3 170,62",,Service Professionnel
,QUADRICYCLE INTERNATIONAL,999578,10/04/15,"3 097,13",,Piste de ski de fonds
,SYSTEMES DE CONTROLE ACTIF SOFT DB INC.,1021040,09/04/15,"2 572,19",,Service Professionnel
,TAXI-CHARGE.L'ASSOCIATION DE TAXI DIAMOND DE MONTREAL LTEE,1018863,09/04/15,"524,94",,Service - Transport automobile
,TECHNORM INC.,1036042,01/04/15,"4 461,97",,Service Professionnel
,,,,,,
"LEGER, APRIL",LUMIFAB,1036919,08/04/15,"392,65",,Accessoire et fourniture de décoration
,,,,,,
"OUELLET, MARIE-CLAUDE",1-800-GOT-JUNK,1038417,15/04/15,"303,41",,Collecte de déchets
,AUDIO CINE FILMS INC,1037176,09/04/15,"236,22",,Achat de licence
,BRAULT & BOUTHILLIER LTEE,1033432,15/04/15,"5,25",,Messagerie
,BRODART CANADA COMPAGNY,1037177,09/04/15,"476,64",,Équipement de scène
,EQUIPEMENT DE THEATRE G.C. LTEE,1040550,24/04/15,"236,44",,Équipement de scène
,LA MAISON DU PEINTRE,1040664,27/04/15,"154,92",,Peinture
,OMNISON ET LUMIERES,1040534,24/04/15,"1 601,74",,Équipement de scène
,,1040666,27/04/15,"393,70",,Équipement de scène
,,,,,,
"PLANTE, STÉPHANE",AECOM CONSULTANTS INC,1035959,01/04/15,"10 300,32",,Service Professionnel
,ALERTE COURRIER P.M.E.,1037122,09/04/15,"157,48",,Messagerie
,BOO! DESIGN INC.,1040301,23/04/15,"10 498,75",,Infographie graphisme
,ENSEIGNES LANDREVILLE,1037412,10/04/15,"22 782,28",,Signalisation routière
,"GENDRON, DENIS",1040312,23/04/15,"2 500,00",,Dépenses de fonction
,LA BOITE - ARCHITECTURE DESIGN INC.,984520,02/04/15,"12 139,18",,Service Professionnel
,MARCHAND HOULE & ASSOCIES INC,941030,01/04/15,"524,94",,Service Professionnel
,TECHNIPARC,1010242,09/04/15,"4 782,18",,Entrepreneur en équipements et produits spéciaux
,ULYSSE LEMERISE BOUCHARD,1040302,23/04/15,"288,71",,Photographe
,,,,,,
