,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour FÉVRIER 2015",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"commande","d'approbation","l'engagement",,
,,,,,,
"BERGERON, GILLES","BIBLIO RPL LTEE","1029121",27/02/15,"592,58",,"BIENS NON DURABLES"
,"COMMISSION SCOLAIRE DE MONTREAL (CSDM)","1023912",05/02/15,"454,24",,"LOCATION D'IMMEUBLES"
,"CONSEIL DES ARTS DE MONTREAL","1028745",26/02/15,"1 102,37",,"COTISATION PROFESSIONNELLE"
,"MONTREAL STENCIL INC","1028040",24/02/15,"21,65",,"FOURNITURES DE BUREAU"
,"PRODUITS SANY INC.","1023910",05/02/15,"215,38",,"BIENS NON DURABLES"
,"R.M. LEDUC & CIE INC.","1023908",05/02/15,"2 044,92",,"FOURNITURES DE BUREAU"
,"RONALD C. LISTER  CANADA INC.","1022573",05/02/15,"181,63",,"BIENS NON DURABLES"
"BOILEAU, LINDA","BRODART CANADA COMPAGNY","1025916",13/02/15,"154,64",,"BIENS NON DURABLES"
,"CARR MCLEAN LIMITED","1028923",26/02/15,"795,39",,"BIENS NON DURABLES"
,,"1029112",27/02/15,"42,19",,"FOURNITURES DE BUREAU"
,"CULTURAL ASSET MANAGEMENT GROUP","1029123",27/02/15,"35,49",,"FOURNITURES DE BUREAU"
,"EMBALLAGE PAK TEK INC.","1029115",27/02/15,"698,17",,"FOURNITURES DE BUREAU"
,"JOSE LUIS TORRES","1024615",09/02/15,"262,47",,"FRAIS DE TRANSPORT"
,"OMNISON ET LUMIERES","1025920",13/02/15,"1 478,57",,"BIENS NON DURABLES"
,"R.M. LEDUC & CIE INC.","1027787",23/02/15,"1 840,44",,"FOURNITURES DE BUREAU"
,,"1029119",27/02/15,"782,18",,"FOURNITURES DE BUREAU"
"BOUCHER, DOMINIC","ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC","1024191",06/02/15,"115,49",,"VÊTEMENT-CHAUSSURES-ACCESSOIRES"
,"EXTERMINATION INSPEX INC.","1025633",12/02/15,"1 196,85",,"SERVICES TECHNIQUES"
,"KRONOS LES SYSTEMES DE POINTAGE INFORMATISES INC.","1028089",24/02/15,"405,00",,"ENT.-RÉP. AMEUBL. ÉQUIP. DE BUREAU"
,"PRODUITS SANY INC.","1022399",10/02/15,"204,06",,"BIENS NON DURABLES"
,,"1028035",24/02/15,"265,24",,"BIENS NON DURABLES"
,"REAL HUOT INC.","1024199",06/02/15,"389,93",,"BIENS NON DURABLES"
,"SERRURIER LACROIX","1028106",24/02/15,"150,97",,"BIENS NON DURABLES"
,"SPI SANTE SECURITE INC.","1028090",24/02/15,"241,47",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,"STELEM.","1025629",12/02/15,"178,48",,"PIÈCES ET ACCESSOIRES"
,"TENAQUIP LIMITED","1028112",24/02/15,"193,51",,"BIENS NON DURABLES"
,"TRANSVAC MONTREAL LAVAL INC.","1028114",24/02/15,"2 698,04",,"SERVICES TECHNIQUES"
"BOUTIN, PIERRE","EXP GESTION DE PROJETS INC.","1023553",04/02/15,"10 183,79",,"SERVICES TECHNIQUES"
,"TOSHIBA SOLUTION D'AFFAIRES","1025047",10/02/15,"2 637,28",,"LOC. AMEUBLEMENT-ÉQUIPEMENT DE BUREAU"
"BOUTIN, PIERRE","TOSHIBA SOLUTION D'AFFAIRES","1025070",10/02/15,"5 228,37",,"LOC. AMEUBLEMENT-ÉQUIPEMENT DE BUREAU"
"BROUSSEAU, HELENE","DESCHAMPS IMPRESSION INC.","1027446",19/02/15,"524,94",,"SERVICES TECHNIQUES"
"DESJARDINS, STEVE","CENTRE DE SERVICES PARTAGES DU QUEBEC","1024374",06/02/15,"4 724,44",,"TÉLÉPHONIE"
,"ETUDE DE HUISSIER DE JUSTICE ODMAN INC.","1028030",24/02/15,"1 049,87",,"SERVICES TECHNIQUES"
,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE","1026051",13/02/15,"1 574,81",,"SERVICES TECHNIQUES"
,,"1028032",24/02/15,"262,47",,"SERVICES TECHNIQUES"
,"TOSHIBA SOLUTION D'AFFAIRES","1024376",06/02/15,"6 950,17",,"LOC. AMEUBLEMENT-ÉQUIPEMENT DE BUREAU"
"FORTIN, ALAIN","LE GROUPE SIMONEAU INC.","1023947",24/02/15,"1 596,15",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,"NORTRAX QUEBEC INC.","1025030",10/02/15,"1 037,31",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,,"1026337",16/02/15,"793,71",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,"REMORQUES SYLMAR INC","1026176",16/02/15,"1 049,61",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,,"1027450",19/02/15,"1 049,61",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,,"1028640",25/02/15,"1 049,61",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,,"1028788",26/02/15,"997,71",,"ENT.-RÉP. VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
"FRAPPIER, GENEVIEVE","AESL INSTRUMENTATION INC.","1026050",13/02/15,"1 072,98",,"PRODUITS CHIMIQUES"
,"CHAUSSURES BELMONT INC","1026455",17/02/15,"262,47",,"VÊTEMENT-CHAUSSURES-ACCESSOIRES"
,,"1027047",18/02/15,"262,47",,"VÊTEMENT-CHAUSSURES-ACCESSOIRES"
,"PRODUITS SANY INC.","1018802",16/02/15,"21,67",,"BIENS NON DURABLES"
,,"1025392",11/02/15,"132,95",,"BIENS NON DURABLES"
,,"1025395",11/02/15,"349,89",,"BIENS NON DURABLES"
,"PRODUITS SANY INC.","1025396",11/02/15,"114,45",,"BIENS NON DURABLES"
,,"1026656",17/02/15,"127,32",,"BIENS NON DURABLES"
,"TENAQUIP LIMITED","1027049",18/02/15,"1 024,01",,"BIENS NON DURABLES"
"GAUDREAULT, SONIA","CANADIAN TIRE","1026320",16/02/15,"29,39",,"BIENS NON DURABLES"
,"CENTAURECOM INC.","1024538",09/02/15,"2 821,23",,"VÊTEMENT-CHAUSSURES-ACCESSOIRES"
,"COMMISSION SCOLAIRE DE MONTREAL (CSDM)","1026321",16/02/15,"5 059,19",,"LOCATION D'IMMEUBLES"
,"COMPUMEDIA DESIGN ( CMD )  INC","1026318",16/02/15,"340,69",,"BIENS NON DURABLES"
,"LES AUTOBUS LA MONTREALAISE INC","1026324",16/02/15,"944,89",,"ÉVÉNEMENT PUBLIC"
,"LOCATION SAUVAGEAU INC.","1024071",05/02/15,"1 236,75",,"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
"GAUDREAULT, SONIA","LVM, UNE DIVISION D'ENGLOBE CORP.","1025918",13/02/15,"3 148,37",,"HONORAIRES PROFESSIONNELS"
