,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour décembre 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,commande,,d'approbation,l'engagement,l'entente,
"ANGELY, MARION",1168320,GAZTEK INC,12-08-16,"4 738,95",,"Installation, programmation et livraison d'un détecteur de gaz"
,1171182,SERVICE D'ARBITRAGE DIANE SABOURIN INC,12-20-16,"36,75",,Conseiller en relation de travail
"BOUTIN, PIERRE",1171785,EQUIPEMENTS TWIN INC.,12-22-16,"13 554,20",,Équipement - Véhicule et appareil
,1171787,,12-22-16,"21 327,06",,Équipement - Véhicule et appareil
,1141067,LOCATION D'AUTOS ET CAMIONS DISCOUNT,12-13-16,"2 981,64",,Location - Automobile
,1170042,MONTREAL STENCIL INC,12-15-16,"44,54",,Plaquette d'identification
,1171790,REMORQUAGE BL,12-22-16,"6 803,19",,Service - Remorquage pour opération de déneigement
,1151019,SAKO ELECTRIQUE LTEE,12-07-16,"1 049,87",,Équipement - Véhicule et appareil
,1167555,TRANSPORT MOTTILLO ET FILS INC.,12-06-16,"18 897,75",,Travaux d'excavation
,1168297,,12-08-16,"22 572,31",,Réparation de conduit d'aqueduc
"BROUSSEAU, HELENE",1171165,ICO TECHNOLOGIES INC.,12-21-16,"2 267,73",,Licences et contrat de support annuel
,1169319,MONTREAL STENCIL INC,12-13-16,"261,86",,Étampes dateur
"CARRIER, RAYMOND",1169704,7322046 CANADA INCORPORATED,12-14-16,"6 131,27",,Service - Soutien informatique
,1166708,BRAULT & BOUTHILLIER LTEE,12-02-16,"928,04",,"Matériel pour loisir, jeu"
,1167860,,12-07-16,"571,40",,Chaises
,1167873,BRODART CANADA COMPAGNY,12-07-16,"2 043,01",,Bac à chute
,1170236,DEMENAGEMENT LA CAPITALE,12-15-16,"2 597,92",,Service - Déménagement
,1170036,LAPS SON ET MUSIQUE INC,12-15-16,"1 178,32",,Équipement d'éclairage et de sonorisation
,1168248,NUSPASCE MOBILIER INC,12-08-16,"3 836,24",,Ameublement
,1171055,THE SENIOR TIMES,12-19-16,"655,12",,"Journal, magazine et revue"
,1163791,ULINE CANADA,12-20-16,"31,72",,Service - Frais de transport
"DESJARDINS, STEVE",1166159,9184-3326 QUÉBEC INC.,12-01-16,"246,72",,Service - Impression
,1171330,,12-20-16,"21,52",,Service - Impression
,1166552,ARBO-DESIGN INC.,12-02-16,"7 559,10",,Service - Abattage
,1171779,CENTRE VETERINAIRE DMV,12-22-16,"755,57",,Vétérinaire
,1171334,"INGETEC, EXPERTS-CONSEILS EN BATIMENT INC.",12-20-16,"839,90",,Ingénieur civil - Structure de bâtiment
,1171336,VINACOUSTIK INC.,12-20-16,"1 207,36",,Conseiller - Protection et contrôle de la qualité de l'air
,1101765,LINDE CANADA LIMITEE,12-09-16,"391,58",,Équipement de protection
"DUPLANTIE, S-ANNE",1167000,AMENAGEMENT PAYSAGER UNI-VERT,12-05-16,"5 774,31",,Service - Aménagement paysager
,1171161,CUISINE-ATOUT ENTREPRISE D'INSERTION INC.,12-20-16,"170,00",,Service - Traiteur
"FORTIN, ALAIN",1164409,LE GROUPE SIMONEAU INC.,12-13-16,"387,05",,Réparation/Entretien - Appareil automobile spécialisé
,1164056,MICHELIN AMERIQUE DU NORD (CANADA INC.),12-20-16,"1 512,70",1114428,Pneu et Jante - Véhicule lourd
,923319,NORTRAX QUEBEC INC.,12-02-16,"1 293,53",,Entretien Chargeur Ville
,1166716,REMORQUES SYLMAR INC,12-02-16,"4 552,77",,Réparation/Entretien - Véhicule lourd
"FRAPPIER, GENEVIEVE",1169014,AQUAM SPECIALISTE AQUATIQUE INC.,12-12-16,"2 151,52",,Équipement pour piscine et jeu d'eau
,1161181,CIMCO REFRIGERATION TOROMONT INDUSTRIE,12-15-16,"386,35",,"Service - Installation, gestion, entretien"
,1166625,DUBO ELECTRIQUE LTEE,12-02-16,"2 540,70",,Équipement de sport
,1168304,,12-08-16,"59,97",,Tubes fluorescents
,1171841,ENGIE,12-22-16,"1 734,63",,Réparation/Entretien - Équipement de sport et terrain de jeux
,1168323,EQUIPEMENT MEDICAL RCL INC.,12-08-16,"1 557,13",,Défibrilateur
,1169885,LOCATION SAUVAGEAU INC.,12-14-16,"773,86",,Location - Automobile
,1171221,MAHEU & MAHEU INC.,12-20-16,"83,36",,"Service - Extermination, fumigation"
,1166724,POCHES & FILS,12-02-16,"675,60",,Vêtements de travail
,1166459,PRODUITS SANY,12-01-16,"646,66",1048199,Équipements et produits d'entretien
,1167658,,12-06-16,"507,57",1048199,Équipements et produits d'entretien
,1169483,,12-13-16,"1 978,61",,Hors entente Appareil d'entretien
,1171562,,12-21-16,"411,03",,Produit d'entretien ménager
,1171164,RINKBOARDS INC.,12-20-16,"2 099,75",,Vinyle pour basse température
,1168308,ROBERT BOILEAU INC,12-08-16,"2 449,36",,Système d'irrigation et d'arrosage
,1170947,SERRURERIE M. GREENE LOCKSMITH INC.,12-19-16,"131,23",,Service - Serrurier
,1171877,SERVICES D'ENTRETIEN ALPHANET INC.,12-22-16,"2 078,31",,Service - Entretien d'immeuble
,1155870,SERVICES FINANCIERS MODSPACE CANADA LTD,12-14-16,"356,75",,Location de Roulotte
,1166617,TENAQUIP LIMITED,12-02-16,"880,09",,Accessoire et pièce de remplacement pour outil
"GAUDREAULT, SONIA",1171741,CINEMA LE CLAP INC,12-21-16,"183,73",,Service - Artiste visuel
,1171193,COMMISSION SCOLAIRE ENGLISH-MONTREAL,12-20-16,"1 437,19",,Réparation/Entretien - Terrain de jeux
,1099242,"FRANCK, AMELIE",12-08-16,"6,00",,Frais - Transport en commun
,1099239,"HILL PAQUIN, MICHAEL",12-08-16,"6,00",,Frais - Transport en commun
,1168277,PUBLICITE SAUVAGE INC.,12-08-16,"341,21",,Service - Impression
,1146486,ROGERS COMMUNICATIONS CANADA INC.,12-21-16,"452,61",1137408,Service - Téléphonie cellulaire
,1170770,SODEM INC.,12-19-16,"2 362,22",,"Service - Installation, gestion, entretien"
,1166653,TERRASSEMENT JOPAT INC.,12-02-16,"9 711,34",,Réparation/Entretien - Terrain de jeux
,1171739,YANNICK BROSSEAU,12-21-16,"1 500,00",,Service - Artiste visuel
,1168281,IDENCO CANADA LTEE,12-08-16,"181,63",,Service - Impression
"GENDRON, DENIS",1171278,2946-8980 QUEBEC INC.,12-20-16,"54,78",,Frais de stationnement
