,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour avril 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Numéro de,Description
,,commande,d'approbation,l'engagement,l'entente,
"ANGELY, MARION",CLINIQUE DE MED. INDUST. DES LAURENTIDES,1120479,04-28-16,"1 696,60",,Médecin
,CYCLONE SANTE INC.,1116317,04-08-16,"1 758,54",,Expertise médicale.
,DANIELLE RENE,1115298,04-05-16,"158,20",,Frais de déplacement
"BOUCHER, DOMINIC",3289419 CANADA (COLLINS),1116522,04-11-16,"595,20",,Bottes de sécurité
,AEROCHEM INC.,1116518,04-11-16,"1 833,76",,Équipement d'entretien manuel
,CHAINES ET ELINGUES ST-PIERRE CANADA LTEE,1116520,04-11-16,"314,96",,Inspection des chaines et élingues
,,1120965,04-29-16,"1 293,83",,Réparation Véhicule lourd / machinerie lourds
,GIVESCO INC.,1120829,04-29-16,"1 419,22",,Bloc de béton
,PRODUITS SANY,1116443,04-11-16,"669,35",1048199,Équipement et produit d'entretien
,,1120266,04-27-16,"139,42",1048199,Produit d'entretien ménager
,SOCIETE XYLEM CANADA,1116525,04-11-16,"335,96",,Pompe et compresseur
,STELEM,1116001,04-07-16,"2 128,10",,Outil manuel
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1116446,04-11-16,"1 902,37",989948,"Puisard, chambre de vanne et regard"
,TENAQUIP LIMITED,1120937,04-29-16,"685,04",,Outil manuel
,U. CAYOUETTE INC.,1116524,04-11-16,"592,55",,Bois de construction
,,1120939,04-29-16,"732,99",,Huile et liquide pour matériel roulant
"BOUTIN, PIERRE",GIVESCO INC.,1118471,04-19-16,"193,60",,"Matériel de fixation, clou, vis"
,PEPINIERE AUCLAIR ET FRERES (1991) INC.,1118795,04-20-16,"18 128,71",,Fourniture horticole
,PEPINIERES Y. YVON AUCLAIR ET FILS ENR.,1118658,04-20-16,"11 196,92",,Fourniture horticole
