,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour MAI 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"commande","d'approbation","l'engagement",,
,,,,,,
"BERGERON, GILLES","A.D.I. ART DESIGN INTERNATIONAL INC.","965071",30/05/14,"284,50",,"BIENS NON DURABLES"
,"COFELY SERVICES INC.","963967",30/05/14,"10 619,98",,"SERVICES TECHNIQUES"
,"COMMISSION SCOLAIRE DE MONTREAL (CSDM)","958078",08/05/14,"9 761,41",,"LOCATION D'IMMEUBLES"
,"COMPUGEN INC.","958094",08/05/14,"2 179,79",,"FOURNITURES DE BUREAU"
,"INTELCOM EXPRESS","957467",05/05/14,"43,40",,"FRAIS DE POSTES"
,"LABORATOIRES CHOISY LTEE","957437",05/05/14,"132,26",,"BIENS NON DURABLES"
,"LOISIRS SPORTIFS COTE-DES-NEIGES - NOTRE-DAME-DE-GRACE","959116",12/05/14,"519,96",,"EVENEMENTS PUBLICS"
,"PUROLATOR COURRIER LTEE","957553",08/05/14,"13,65",,"FRAIS DE POSTES"
,"SIMON   GAUTHIER","956342",05/05/14,"24,50",,"FRAIS DE TRANSPORT"
,,"957081",05/05/14,"30,50",,"FRAIS DE TRANSPORT"
,,"957538",05/05/14,"24,50",,"FRAIS DE TRANSPORT"
,,"958291",08/05/14,"24,50",,"FRAIS DE TRANSPORT"
,"VIDEOTRON S.E.N.C","958494",08/05/14,"69,43",,"TÉLÉPHONIE"
,,"958501",08/05/14,"69,43",,"TÉLÉPHONIE"
"BOILEAU, LINDA","BRAULT & BOUTHILLIER LTEE","955429",23/05/14,"518,67",,"BIENS NON DURABLES"
,"BRODART CANADA COMPAGNY","961455",16/05/14,"100,81",,"BIENS NON DURABLES"
,"CARR MCLEAN LIMITED","962582",22/05/14,"212,61",,"FOURNITURES DE BUREAU"
,"COOPERATIVE DE TAXI MONTREAL","958229",07/05/14,"26,63",,"FRAIS DE TRANSPORT"
,,"958239",07/05/14,"28,58",,"FRAIS DE TRANSPORT"
,"EQUIPEMENT DE THEATRE G.C. LTEE","963372",23/05/14,"98,53",,"SERVICES TECHNIQUES"
,"FERO TRANSPORT INC.","960569",14/05/14,"259,28",,"FRAIS DE TRANSPORT"
,"LES TRANSPORTS LACOMBE INC","950198",14/05/14,"2 504,61",,"FRAIS DE TRANSPORT"
,"OMNISON ET LUMIERES","958798",08/05/14,"777,50",,"BIENS NON DURABLES"
,,"958812",08/05/14,"1 022,21",,"BIENS NON DURABLES"
,"QUINCAILLERIE COTE-DES-NEIGES","958825",08/05/14,"1 649,00",,"BIENS NON DURABLES"
,"SOCIETE CANADIENNE DES AUTEURS, COMPOSITEURS & EDITEURS DE MUSIQUE (SOCAN)","960260",13/05/14,"72,60",,"SERVICES TECHNIQUES"
,"TEKNION ROY ET BRETON INC.","958839",08/05/14,"625,38",,"FOURNITURES DE BUREAU"
,"TOSHIBA SOLUTION D'AFFAIRES","960562",23/05/14,"772,93",,"LOCATION AMEUBLEMENT-EQUIP. BUREAU"
"BUI, PATRICK THE TRUC","PRODUITS SANY INC.","961941",23/05/14,"153,50",,"BIENS NON DURABLES"
"CHAMPOUX, MARTIN","AIRMAX ENVIRONNEMENT INC.","957690",06/05/14,"1 257,49",,"HONORAIRES PROFESSIONNELS"
,"CONCEPTION PAYSAGE INC.","956932",01/05/14,"1 763,08",,"SERVICES TECHNIQUES"
,,"958614",07/05/14,"1 037,11",,"HONORAIRES PROFESSIONNELS"
,"CONTECH LTEE","956742",01/05/14,"513,37",,"FORMATION"
,"IRRIGLOBE","958307",06/05/14,"2 172,64",,"SERVICES TECHNIQUES"
,"LEOGRAPHIC","961362",15/05/14,"77,78",,"SERVICES TECHNIQUES"
,"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","956631",01/05/14,"1 229,44",,"ENT. RÉP. IMMEUBLES"
,,"956890",01/05/14,"3 715,04",,"SERVICES TECHNIQUES"
,,"960867",14/05/14,"1 182,77",,"SERVICES TECHNIQUES"
,"MAHEU ET MAHEU INC.","961430",15/05/14,"684,49",,"SERVICES TECHNIQUES"
"DESJARDINS, STEVE","DISCOVER COMMUNICATIONS INC","964483",28/05/14,"8,82",,"FOURNITURES DE BUREAU"
"DULIEPRE, JEAN-FRANCOIS","DUBO ELECTRIQUE LTEE","960591",14/05/14,"268,20",,"BIENS NON DURABLES"
,"FIXAIR INC.","957651",05/05/14,"338,10",,"BIENS NON DURABLES"
,"LOCATION SAUVAGEAU INC.","961734",21/05/14,"1 771,38",,"LOC. VÉHICULES-OUTILLAGE-EQUIPEMENT"
,,"961745",21/05/14,"1 416,93",,"LOC. VÉHICULES-OUTILLAGE-EQUIPEMENT"
,"ROBERT BOILEAU INC","960119",14/05/14,"233,35",,"BIENS NON DURABLES"
,,"960507",14/05/14,"233,35",,"BIENS NON DURABLES"
"FORTIN, ALAIN","ACE ACCENT CONTROLES ELECTRONIQUES INC","959007",08/05/14,"1 166,75",,"ENT. RÉP. VÉH.-OUT,-ÉQUIPEMENT"
,"MICHELIN AMERIQUE DU NORD (CANADA INC.)","952744",02/05/14,"657,11",,"ENT. RÉP. VÉH.-OUT,-ÉQUIPEMENT"
,"PNEUS METROPOLITAINS INC.","953177",06/05/14,"1 860,57",,"ENT. RÉP. VÉH.-OUT,-ÉQUIPEMENT"
,"REMORQUES SYLMAR INC","956918",01/05/14,"4 173,62",,"ENT. RÉP. VÉH.-OUT,-ÉQUIPEMENT"
,,"958250",06/05/14,"2 300,88",,"ENT. RÉP. VÉH.-OUT,-ÉQUIPEMENT"
,,"963350",26/05/14,"4 372,56",,"ENT. RÉP. VÉH.-OUT,-ÉQUIPEMENT"
"GAUDREAULT, SONIA","LES ARTS ET LA VILLE","957051",07/05/14,"350,00",,"COTISATION PROFESSIONNELLE"
,"LES TRANSPORTS LACOMBE INC","956311",15/05/14,"508,18",,"FRAIS DE TRANSPORT"
,"LOISIRS SPORTIFS COTE-DES-NEIGES - NOTRE-DAME-DE-GRACE","959664",13/05/14,"5 078,59",,"LOCATION D'IMMEUBLES"
"GENDRON, DENIS","AXOR EXPERTS-CONSEILS INC.","955272",07/05/14,"4 117,31",,"ENT. RÉP. INFRASTRUCTURES MUNICIPALES"
,"EQUIPEMENT NCN LTEE","960045",13/05/14,"16 842,62",,"PIÈCES & ACCESSOIRES"
"GERVAIS, ROBERT","ACKLANDS - GRAINGER INC.","957656",05/05/14,"310,76",,"PIÈCES & ACCESSOIRES"
"GERVAIS, ROBERT","APSAM ASSOCIATION PARITAIRE SANTE & SECURITE AFFAIRES MUNICIPALES","942380",20/05/14,"228,21",,"FORMATION"
,"CANTOL CORP","965367",30/05/14,"352,72",,"PRODUITS CHIMIQUES"
,"DISCOVER COMMUNICATIONS INC","957212",02/05/14,"20,72",,"TÉLÉPHONIE"
,,"961787",16/05/14,"10,36",,"TÉLÉPHONIE"
,"ECO-QUARTIER NDG","960232",13/05/14,"160,00",,"SERVICES TECHNIQUES"
