NUMEROTATION,TYPE_DE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,"Soins physiques et psychiatriques de courte durée","01 Bas-Saint-Laurent",114946,51,16894,75,72,859,130,2,73,10,74,589,24,14,16,129,1,0,133959,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
2,"Soins physiques et psychiatriques de courte durée","02 Saguenay-Lac-Saint-Jean",22,179850,9718,47,89,2286,16,18,105,3,4,77,15,52,14,61,0,1,192378,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
3,"Soins physiques et psychiatriques de courte durée","03 Capitale-Nationale",217,311,563361,558,479,4132,13,18,240,8,44,2073,17,47,45,217,3,1,571784,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
4,"Soins physiques et psychiatriques de courte durée","04 Mauricie et Centre-du-Québ",139,2021,11965,337637,10190,16971,65,58,46,2,31,949,122,501,207,2546,1,0,383451,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
5,"Soins physiques et psychiatriques de courte durée","05 Estrie",39,61,629,1450,339211,11580,22,27,119,10,30,1327,106,136,89,4238,1,0,359075,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
6,"Soins physiques et psychiatriques de courte durée","06 Montréal",380,95,676,942,662,1633748,167,101,65,13,64,83,12570,8538,2459,5703,48,6,1666320,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
7,"Soins physiques et psychiatriques de courte durée","07 Outaouais",32,21,335,53,165,13967,206107,87,10,0,0,14,114,50,1040,263,0,1,222259,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
8,"Soins physiques et psychiatriques de courte durée","08 Abitibi-Témiscamingue",7,13,186,71,329,15656,268,92762,11,26,0,35,32,40,133,40,0,7,109616,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
9,"Soins physiques et psychiatriques de courte durée","09 Côte-Nord",195,1401,16896,30,100,2282,0,5,70203,0,22,19,0,10,10,9,0,0,91182,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
10,"Soins physiques et psychiatriques de courte durée","10-17 ET 18",0,1254,750,14,175,21465,43,3949,3,7717,0,4,6,2,0,1,6813,2332,44528,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
