NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01 Bas-Saint-Laurent,119051,70,19880,49,123,2355,37,11,130,1,132,773,26,35,22,206,0,0,142901,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
2,Soins physiques et psychiatriques de courte durée,02 Saguenay-Lac-Saint-Jean,38,212190,10603,94,139,3103,23,102,97,9,10,53,32,13,28,104,0,1,226639,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
3,Soins physiques et psychiatriques de courte durée,03 Capitale-Nationale,247,595,622508,754,517,3304,57,17,109,0,72,2385,34,60,47,345,0,2,631053,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
4,Soins physiques et psychiatriques de courte durée,04 Mauricie et Centre-du-Québ,94,2496,13135,348175,11635,15604,76,30,42,1,39,977,71,393,464,3784,0,0,397016,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
5,Soins physiques et psychiatriques de courte durée,05 Estrie,28,127,676,1681,336944,8396,60,17,37,2,61,1563,72,124,46,3669,0,0,353503,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
6,Soins physiques et psychiatriques de courte durée,06 Montréal,108,258,890,520,806,1816224,846,38,28,0,81,109,12309,9803,2082,6411,0,12,1850525,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
7,Soins physiques et psychiatriques de courte durée,07 Outaouais,51,127,434,95,150,11627,227241,289,14,3,12,28,114,38,1284,217,0,2,241726,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
8,Soins physiques et psychiatriques de courte durée,08 Abitibi-Témiscamingue,22,26,173,178,82,16494,535,100271,0,27,0,21,5,30,162,282,0,11,118319,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
9,Soins physiques et psychiatriques de courte durée,09 Côte-Nord,268,1639,19486,68,82,777,20,6,72955,0,13,113,8,6,2,136,0,2,95581,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
10,Soins physiques et psychiatriques de courte durée,10-17 ET 18,6,1085,900,1,43,15002,67,4213,8,7846,0,12,28,4,16,6,6320,3059,38616,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
