NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,136181,18,18240,51,125,2360,4,0,46,0,138,917,15,28,43,64,0,0,158230,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,12,229615,11552,72,192,2759,19,31,114,20,5,55,9,22,9,52,0,1,244539,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,224,691,625363,560,245,9403,79,14,157,8,57,3818,44,36,96,313,0,1,641109,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,44,4263,12344,354052,9660,30277,21,32,90,1,27,1463,103,249,137,3479,0,0,416242,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
5,Soins physiques et psychiatriques de courte durée,05--Estrie,13,123,767,2048,236374,4494,211,13,11,4,14,1981,14,21,123,1547,0,0,247758,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
6,Soins physiques et psychiatriques de courte durée,06--Montréal,90,510,829,525,979,1852232,729,43,23,0,74,179,12426,9875,2050,6989,0,0,1887553,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,17,52,248,89,191,9718,241047,190,0,1,29,62,101,12,1644,289,0,0,253690,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,5,22,412,51,163,14281,308,125461,6,23,3,19,41,4,151,120,0,11,141081,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,581,1762,16391,46,92,967,29,0,79029,5,44,144,9,209,16,41,0,0,99365,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,2,1239,949,3,12,14640,49,5410,0,8139,0,6,0,3,6,54,5876,4533,40921,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,3441,29,15074,71,126,1689,0,6,26,0,69927,310,16,110,32,169,0,0,91026,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,714,180,50507,354,1869,2443,0,5,56,4,12,200925,6,58,28,210,0,0,257371,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
13,Soins physiques et psychiatriques de courte durée,13--Laval,39,97,103,51,173,138454,23,28,1,0,12,2,185200,1786,7345,631,0,0,333945,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,22,314,564,2270,187,67474,43,33,34,1,54,28,12419,233245,12478,1203,0,0,330369,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,104,291,262,166,237,78360,915,72,13,7,22,53,20679,2178,287412,1365,0,1,392137,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,192,449,1281,3437,20722,212809,142,108,91,9,68,154,917,882,1061,818941,0,0,1061263,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
17,Soins physiques et psychiatriques de courte durée,Non-Attribuée,251,185,5789,345,855,19069,1237,233,133,5,131,191,383,146,625,959,5,6,30548,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
18,Soins physiques et psychiatriques de courte durée,Total région de traitement,141932,239840,760675,364191,272202,2461429,244856,131679,79830,8227,70617,210307,232382,248864,313256,836426,5881,4553,6627147,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
19,Soins en chirurgie d'un jour,01--Bas-Saint-Laurent,10856,0,602,8,18,57,0,1,8,0,38,224,1,1,4,9,0,,11827,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
