NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,129070,47,19010,28,160,4171,10,2,49,,71,638,12,22,38,140,,,153468,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,22,219039,12351,214,208,3028,10,44,51,10,21,89,9,19,22,94,,,235231,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,223,460,644349,754,260,3805,177,15,121,1,97,3102,46,28,122,189,,,653749,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,60,2445,12825,350999,10783,18928,11,42,13,3,31,1264,53,419,141,3583,,,401600,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
5,Soins physiques et psychiatriques de courte durée,05--Estrie,38,235,1131,2254,332014,13039,31,3,7,,64,1890,147,48,59,4341,,,355301,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
6,Soins physiques et psychiatriques de courte durée,06--Montréal,132,468,735,479,899,1913833,1184,56,38,6,126,169,13199,8633,2141,6276,2,70,1948446,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,13,42,538,50,163,11858,256996,116,2,,23,43,93,15,1521,272,,,271745,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,24,19,576,37,82,17265,383,112105,7,41,6,2,11,17,297,152,2,3,131029,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,314,1698,16898,63,91,1875,19,6,69007,,34,141,19,17,19,90,,,90291,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,6,1094,1125,17,2,14180,182,5376,3,11454,2,3,2,38,30,46,6443,3895,43898,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,3575,42,15165,28,97,2667,22,18,16,,65180,408,21,44,56,93,,,87432,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,679,128,47291,572,1564,2477,8,16,32,,34,193491,28,74,21,153,,,246568,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
13,Soins physiques et psychiatriques de courte durée,13--Laval,13,120,247,35,134,138921,39,19,,,18,19,196502,1355,6383,674,,,344479,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,59,272,391,2311,275,71048,7,22,6,1,34,108,10855,239849,12580,1193,,1,339012,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,67,427,318,308,293,76871,644,86,30,1,21,28,18825,2766,294365,1458,,,396508,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,194,426,1509,3139,11407,199821,67,56,117,,89,98,708,633,763,724005,2,2,943036,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
17,Soins physiques et psychiatriques de courte durée,Non-Attribuée,453,219,5645,372,1062,17997,1454,187,162,9,160,180,378,356,534,1230,6,,30404,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
18,Soins physiques et psychiatriques de courte durée,Total région de traitement,134942,227181,780104,361660,359494,2511784,261244,118169,69661,11526,66011,201673,240908,254333,319092,743989,6455,3971,6672197,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
19,Soins en chirurgie d'un jour,01--Bas-Saint-Laurent,9751,5,560,4,16,60,,,8,,112,216,,7,2,12,,,10753,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
20,Soins en chirurgie d'un jour,02--Saguenay - Lac-Saint-Jean,,16286,772,4,13,84,2,3,4,4,,32,1,1,2,4,,,17212,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
21,Soins en chirurgie d'un jour,03--Capitale-Nationale,48,78,30566,163,55,134,10,2,9,,2,1407,6,4,5,38,,,32527,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
22,Soins en chirurgie d'un jour,04--Mauricie et Centre-du-Québec,3,179,1207,24872,649,731,7,4,1,,,230,12,82,17,333,,,28327,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
23,Soins en chirurgie d'un jour,05--Estrie,5,3,110,681,22224,853,2,4,,2,1,326,15,16,13,659,,,24914,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
