NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,139574,96,18533,31,136,2071,2,12,127,1,71,1088,11,18,47,185,0,0,162003,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,5,242402,11533,83,93,3107,13,19,104,22,16,58,29,5,16,132,1,1,257639,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,198,778,627971,540,316,4213,88,38,204,15,106,3503,9,37,75,280,1,0,638372,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,56,2331,12905,355584,11326,25901,29,29,57,4,40,1289,92,430,211,3990,0,0,414274,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
5,Soins physiques et psychiatriques de courte durée,05--Estrie,9,57,1022,2405,238343,5368,6,16,23,12,9,1952,24,34,55,1778,0,0,251113,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
6,Soins physiques et psychiatriques de courte durée,06--Montréal,104,597,1167,440,648,1840465,556,28,29,4,131,169,14802,10147,2544,7943,3,3,1879780,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,4,99,277,73,164,9707,248439,177,15,9,20,96,99,18,1496,210,0,0,260903,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,3,42,156,51,92,15497,312,128113,13,33,8,27,36,24,124,118,0,1,144650,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,826,2259,17299,78,119,2106,2,12,73970,3,39,250,1,25,6,156,0,0,97151,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,6,1633,1050,21,25,13559,114,5234,2,9385,0,7,0,0,8,21,6547,2440,40052,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
