NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,135168,71,17970,175,44,1466,1,5,61,0,69,1011,2,19,27,99,0,0,156188,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,12,218707,11233,90,58,3229,59,20,38,19,5,103,4,29,15,224,0,2,233847,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,260,633,623136,882,458,4443,25,39,134,4,58,2809,20,67,75,214,0,0,633257,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,22,2117,13573,345954,10240,18440,31,23,45,7,26,1202,52,382,90,4374,0,0,396578,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
5,Soins physiques et psychiatriques de courte durée,05--Estrie,25,117,1446,2026,233718,5389,20,9,3,0,22,1787,55,52,53,1850,0,2,246574,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
6,Soins physiques et psychiatriques de courte durée,06--Montréal,127,554,1733,352,685,1876248,214,24,62,10,137,80,11829,9742,2020,6680,1,39,1910537,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,22,101,390,78,109,10035,244082,110,4,0,22,52,53,60,1644,243,0,9,257014,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,10,6,683,14,177,12362,438,115361,20,41,0,5,14,18,160,142,0,0,129451,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,494,1580,16128,62,68,2336,1,6,84767,3,35,114,12,24,3,77,0,0,105710,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,11,1505,1105,8,11,14650,105,5105,8,8405,1,7,40,19,13,31,7190,3241,41455,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
