NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,141148,57,15073,87,141,1995,0,8,118,1,122,1289,7,16,26,120,0,1,160209,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,4,247813,12019,92,117,2858,11,8,52,17,6,58,3,15,51,160,0,0,263284,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,222,994,627725,512,237,1993,10,27,221,7,112,2730,46,218,118,131,0,0,635303,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,180,2718,13137,349819,10320,21886,78,39,43,8,40,1760,61,471,252,3900,0,0,404712,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
5,Soins physiques et psychiatriques de courte durée,05--Estrie,25,135,770,2558,240918,5610,22,10,9,3,8,2618,9,10,20,2164,0,0,254889,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
6,Soins physiques et psychiatriques de courte durée,06--Montréal,118,742,662,384,996,1873324,164,95,34,18,131,197,15173,9864,2506,7560,0,1,1911969,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,14,73,415,57,147,11214,239969,173,2,15,21,83,87,44,1332,341,0,0,253987,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,0,20,424,43,296,14801,391,120341,3,32,0,3,28,13,193,64,1,2,136655,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,612,2224,16266,37,60,1680,2,6,81928,0,24,225,3,26,1,113,0,0,103207,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,1,1334,799,9,53,11117,11,5414,1,10691,0,32,2,4,41,23,5054,2828,37414,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,5395,18,13909,76,77,2453,2,0,22,0,75562,332,14,23,45,103,0,0,98031,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,785,369,55801,600,2326,2958,12,17,41,2,11,209042,27,11,21,187,0,0,272210,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
13,Soins physiques et psychiatriques de courte durée,13--Laval,32,147,101,107,312,146603,57,14,8,4,36,38,184302,1496,6787,614,0,1,340659,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,101,335,360,2063,281,71432,37,70,8,0,45,41,14262,215893,13282,1351,0,0,319561,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,57,611,421,274,490,90716,1198,60,29,4,45,37,22501,2270,255120,870,0,0,374703,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,284,616,1535,3602,17863,215310,130,51,50,7,78,228,951,846,668,796025,0,3,1038247,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
17,Soins physiques et psychiatriques de courte durée,Non-Attribuée,356,188,5028,222,887,17938,1368,295,133,22,288,111,276,262,421,1459,0,0,29254,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
18,Soins physiques et psychiatriques de courte durée,Total région de traitement,149334,258394,764445,360542,275521,2493888,243462,126628,82702,10831,76529,218824,237752,231482,280884,815185,5055,2836,6634294,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
19,Soins en chirurgie d'un jour,01--Bas-Saint-Laurent,10346,1,592,8,7,59,1,0,4,0,50,238,2,2,7,10,0,,11327,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
20,Soins en chirurgie d'un jour,02--Saguenay - Lac-Saint-Jean,2,15383,828,4,7,127,3,1,5,4,0,27,2,2,6,10,0,,16411,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
21,Soins en chirurgie d'un jour,03--Capitale-Nationale,38,39,33482,105,30,124,3,1,6,0,8,1103,3,5,7,25,0,,34979,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
22,Soins en chirurgie d'un jour,04--Mauricie et Centre-du-Québec,11,170,1381,24211,448,1820,4,3,4,2,0,274,13,55,29,460,0,,28885,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
23,Soins en chirurgie d'un jour,05--Estrie,6,4,78,701,12484,417,4,2,0,0,1,438,7,3,13,366,0,,14524,S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,, 3 octobre 2012
