"annee-mois","nombre-echantillon","presence-ecoli","presence-coli-totaux","nombre-depassement"
"2016-01-01","161","0","0","0"
"2016-02-01","160","0","0","0"
"2016-03-01","180","0","1","0"
"2016-04-01","152","0","0","0"
"2016-05-01","175","0","0","0"
"2016-06-01","164","0","0","0"
"2016-07-01","163","0","0","0"
"2016-08-01","177","0","0","0"
"2016-09-01","161","0","0","0"
"2016-10-01","173","0","0","0"
"2016-11-01","204","0","0","0"
"2016-12-01","153","0","0","0"
"2017-01-01","166","0","0","0"
"2017-02-01","176","0","0","0"
"2017-03-01","178","0","0","0"
"2017-04-01","143","0","0","0"
"2017-05-01","179","0","0","0"
"2017-06-01","174","0","0","0"
"2017-07-01","180","0","0","0"
