Code de postes,Sous-section,Sujet,Facettes (exercice - type de données - consolidation - compétences - spécifique)
CPALX01642,S35,Attestation de transmission et de consentement à la diffusion - Nom du signataire,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX01778,S35,Attestation de transmission et de consentement à la diffusion - Fonction du signataire,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX02105,S35,Attestation de transmission et de consentement à la diffusion - Consentement à la diffusion,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX02106,S35,Attestation de transmission et de consentement à la diffusion - Certification de la validité,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00015,S55,Analyse des revenus - Taxes,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00016,S55,Analyse des revenus - Taxes - Sur la valeur foncière,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00018,S55,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxe foncière générale,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00020,S55,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00021,S55,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00022,S55,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00025,S55,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes de secteur - Taxes spéciales - Service de la dette,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00026,S55,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes de secteur - Taxes spéciales - Activités de fonctionnement,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00027,S55,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes de secteur - Taxes spéciales - Activités d'investissement,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00028,S55,Analyse des revenus - Taxes - Sur la valeur foncière - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00029,S55,Analyse des revenus - Taxes - Sur une autre base,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00030,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00032,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Eau",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00033,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Égout",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00034,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Traitement des eaux usées",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00035,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Matières résiduelles",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00036,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Autres (1 à x)",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00037,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Centres d'urgence 9-1-1",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00038,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Service de la dette",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00039,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Pouvoir général de taxation",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00040,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Activités de fonctionnement",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00041,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Activités d'investissement",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00042,S55,Analyse des revenus - Taxes - Sur une autre base - Taxes d'affaires,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00043,S55,Analyse des revenus - Taxes - Sur une autre base - Taxes d'affaires - Sur l'ensemble de la valeur locative,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00044,S55,Analyse des revenus - Taxes - Sur une autre base - Taxes d'affaires - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX01898,S55,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxes spéciales - Réserve financière pour le service de l'eau,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX01899,S55,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxes spéciales - Réserve financière pour le service de la voirie,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
LPALX00036,S55,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Autres (1 à x)",Libellé - Prévisionnel - Administration municipale - Nature locale
CPAAA00036,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Autres (1 à x)",Exercice en cours - Prévisionnel - Administration municipale - Agglomération - 
CPAAX00015,S55-A,Analyse des revenus - Taxes,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00016,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00018,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxe foncière générale,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00020,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00021,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00022,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00025,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes de secteur - Taxes spéciales - Service de la dette,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00026,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes de secteur - Taxes spéciales - Activités de fonctionnement,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00027,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes de secteur - Taxes spéciales - Activités d'investissement,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00028,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière - Autres,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00029,S55-A,Analyse des revenus - Taxes - Sur une autre base,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00030,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00032,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Eau",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00033,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Égout",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00034,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Traitement des eaux usées",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00035,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Matières résiduelles",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00036,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Autres (1 à x)",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00037,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Centres d'urgence 9-1-1",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00038,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Service de la dette",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00039,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Pouvoir général de taxation",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00040,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Activités de fonctionnement",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00041,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Activités d'investissement",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00042,S55-A,Analyse des revenus - Taxes - Sur une autre base - Taxes d'affaires,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00043,S55-A,Analyse des revenus - Taxes - Sur une autre base - Taxes d'affaires - Sur l'ensemble de la valeur locative,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00044,S55-A,Analyse des revenus - Taxes - Sur une autre base - Taxes d'affaires - Autres,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX01898,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxes spéciales - Réserve financière pour le service de l'eau,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX01899,S55-A,Analyse des revenus - Taxes - Sur la valeur foncière - Taxes générales - Taxes spéciales - Réserve financière pour le service de la voirie,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
LPAAA00036,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Autres (1 à x)",Libellé - Prévisionnel - Administration municipale - Agglomération - 
LPAAX00036,S55-A,"Analyse des revenus - Taxes - Sur une autre base - Taxes, compensations et tarification - Services municipaux - Autres (1 à x)",Libellé - Prévisionnel - Administration municipale - Agglomération
CPALX00045,S56,Analyse des revenus - Compensations tenant lieu de taxes,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00046,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00052,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Compensations pour les terres publiques,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00054,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles des réseaux - Santé et services sociaux,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00055,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles des réseaux - Cégeps et universités,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00056,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles des réseaux - Écoles primaires et secondaires,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00058,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles de certains gouvernements et d'organismes internationaux,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00063,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Canada et ses entreprises,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00064,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Canada et ses entreprises - Taxes sur la valeur foncière,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00066,S56,"Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Canada et ses entreprises - Taxes sur une autre base - Taxes, compensations et tarification",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00067,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Canada et ses entreprises - Taxes sur une autre base - Taxes d'affaires,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00068,S56,Analyse des revenus - Compensations tenant lieu de taxes - Organismes municipaux,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00069,S56,Analyse des revenus - Compensations tenant lieu de taxes - Organismes municipaux - Taxes sur la valeur foncière,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00071,S56,"Analyse des revenus - Compensations tenant lieu de taxes - Organismes municipaux - Taxes sur une autre base - Taxes, compensations et tarification",Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00072,S56,Analyse des revenus - Compensations tenant lieu de taxes - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00073,S56,Analyse des revenus - Compensations tenant lieu de taxes - Autres - Taxes foncières des entreprises autoconsommatrices d'électricité,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX00074,S56,Analyse des revenus - Compensations tenant lieu de taxes - Autres - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
