cod_geo,nom_organisme,desi_org,cod_mrc,nom_mrc,cod_cm,nom_cm,no_reg,desc_reg,type_org,population,no_occur,CBAAX00036,CBAIX00036,CBALX00036,CRAAX00036,CRAIX00036,CRALX00036,CRIIX00036,LRAAX00036,LRALX00036,LRIIX00036,PRAAX00036,PRALX00036,PRIIX00036,CBAAA00316,CBAIA00316,CBALA00316,CRAAA00316,CRAIA00316,CRAIB00316,CRAIX00316,CRALA00316,CRIIX00316,LRAAA00316,LRALA00316,LRIIX00316,PRAAA00316,PRALA00316,PRIIX00316,CRIIX00489,LRIIX00489,PRIIX00489,CRIIX00491,LRIIX00491,PRIIX00491,CRIIX00501,LRIIX00501,PRIIX00501,CRIIX00528,LRIIX00528,PRIIX00528,CBAAX00688,CBAIX00688,CBALX00688,CRAAX00688,CRAIX00688,CRALX00688,CRIIX00688,LRAAX00688,LRALX00688,LRIIX00688,PRAAX00688,PRALX00688,PRIIX00688,CRIIX00771,LRIIX00771,PRIIX00771,CRAAX00812,CRAIX00812,CRALX00812,LRAAX00812,LRAIX00812,LRALX00812,PRAAX00812,PRAIX00812,PRALX00812,CROIX00822,LROIX00822,PROIX00822,CRAAX00828,CRAIX00828,CRALX00828,LRAAX00828,LRAIX00828,LRALX00828,PRAAX00828,PRAIX00828,PRALX00828,CROIX00834,LROIX00834,PROIX00834,CRAAX00844,CRALX00844,CRIIX00844,LRAAX00844,LRALX00844,LRIIX00844,PRAAX00844,PRALX00844,PRIIX00844,CRAAX00860,CRALX00860,CRIIX00860,LRAAX00860,LRALX00860,LRIIX00860,PRAAX00860,PRALX00860,PRIIX00860,CRAAX00870,CRALX00870,CRIIX00870,LRAAX00870,LRALX00870,LRIIX00870,PRAAX00870,PRALX00870,PRIIX00870,CRAAX00876,CRALX00876,CRIIX00876,LRAAX00876,LRALX00876,LRIIX00876,PRAAX00876,PRALX00876,PRIIX00876,CRAAX00883,CRALX00883,CRIIX00883,LRALX00883,LRIIX00883,PRAAX00883,PRALX00883,PRIIX00883,CRIIX00942,LRIIX00942,PRIIX00942,CRIIX00966,LRIIX00966,PRIIX00966,CRIIX01005,LRIIX01005,PRIIX01005,CRIIX01030,LRIIX01030,PRIIX01030,CRIIX01082,LRIIX01082,PRIIX01082,CRIIX01096,LRIIX01096,PRIIX01096,CRIIX01107,LRIIX01107,PRIIX01107,CRIIX01142,LRIIX01142,PRIIX01142,CRIIX01158,LRIIX01158,PRIIX01158,CRIIA01193,CRIIB01193,CRIIC01193,CRIIX01193,LRIIX01193,CRIIA01209,CRIIB01209,CRIIC01209,CRIIX01209,LRIIX01209,CRIIX01231,LRIIX01231,PRIIX01231,CRIIX01234,LRIIX01234,PRIIX01234,CRAAX01362,CRAIX01362,CRALX01362,LRAIX01362,CRAAX01372,CRAIX01372,CRALX01372,LRAIX01372,CRIAX01618,LRIAX01618,CRAAA01616,CRAAX01616,LRAAA01616,LRAAX01616,CRAAA01617,CRAAX01617,LRAAA01617,LRAAX01617,CRALA01567,CRALB01567,CRALC01567,CRALD01567,CRALE01567,LRALX01567,CRIIX01815,LRIIX01815,PRIIX01815,CRIIA01865,CRIIB01865,CRIIC01865,CRIIX01865,LRIIX01865,CRIIA01866,CRIIB01866,CRIIC01866,CRIIX01866,LRIIX01866,CRIIA02111,CRIIB02111,LRIIX02111,PRIIB02111,CRIIA02113,CRIIB02113,LRIIX02113,PRIIB02113,CRIIX02134,LRIIX02134,PRIIX02134
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3427,1,,,,,,,,,,,,,,,71300,,,94301,20540,114841,,114841,,,Autres,,,108434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,,,Projet aqueduc rue du Moulin,,,50000,,98000,Coût de fermeture du site,98000,,314893,,,Membrane pour usine,,,277648,,,,,,,,,,,,,,,,-61800,,,Autres,,,-67205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166441,Autres débiteurs,194296,,Coop Habitation Aster,5033,10554,Autres - Organismes municipaux,17916,11753,Déneigement,11753,1304061,805437,,2109498,Autres,101786,52738,,154524,Autres,56259,Assurances et formation,29338,1179,Régie,1179,,,,,,,,,,,,,,,,,,,Maire,29222,14611,,,Gino Cyr,,,,,,,,,,,,,,,,,,,,,,2623204,MAPAQ - Projet municipalisation Parc Industriel ,
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3427,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,Développement économique,,,,,,,,,241325,,,Eaux usées,,,206649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211159,Autres - Intérêts courus sur la dette à long terme,106907,,,,457501,,,457501,Lieu enfouissement,309526,4575,,314101,Lieu enfouissement,,,,,,,,,,,,,,,,,,,,,,,,,Conseiller,10039,5020,,,Gaston Leblanc,,,,,,,,,,,,,,,,,,,,,,6679,RÉGIM - Projet abribus,10763
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3427,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25046,,,Rue du Moulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11865,Autres,10460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conseiller,11173,5587,,,Denis Beaudin,,,,,,,,,,,,,,,,,,,,,,1115181,MAMH - Projet d'habitation,1115181
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3427,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226,Conso-Régie,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conseiller,9741,4870,,,Lucie Nicolas,,,,,,,,,,,,,,,,,,,,,,,,
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3427,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conseiller,9900,4950,,,Léopold Briand,,,,,,,,,,,,,,,,,,,,,,,,
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3427,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conseiller,9741,4870,,,Denis Anderson,,,,,,,,,,,,,,,,,,,,,,,,
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3427,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conseiller,9741,4870,,,Carol Moreau,,,,,,,,,,,,,,,,,,,,,,,,
02028,Chandler,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,7405,1,,,,,,,,,,,,,,,360973,,,474708,,474708,,474708,,,Autres,,,478776,,,,,,,-319692,Gain sur cession d'immobilisations corporelles,-65000,582658,Encaissement de subvention liée à la dette long terme ,,,,,,,,,,,,,,40636,,,,,98,,,Affectation budget Pabos-Mills,,,98,,,,224000,,,,,,,,,,,,,,,772,,,S.Q.A.E,,,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468313,Autres ,422276,,,,115104,Intérêts et autres,115104,87066,Revenus perçus d'avance,156185,20514915,,,20514915,Loisir et stationnement,6433842,753391,,7187233,Loisir et stationnement,,Frais d'utilisation logiciel,90187,,Acompte propriété destinée à la revente,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154252,Subventions reportées,226675
02028,Chandler,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,7405,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173046,,,Affectation budget Chandler,,,173046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6897,Dû sur immobilisations croporelles,222416,,,,1045717,,,1045717,Site d'enfouissement,707489,10457,,717946,Site d'enfouissement,2694,Assurance payées d'avances,2694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02028,Chandler,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,7405,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,,Affectation budget St-François,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22888,Organismes municipaux,109625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02028,Chandler,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,7405,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,,,Affectation budget Newport,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02028,Chandler,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,7405,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319319,,,Assainissement des eaux,,,284319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
